STATE,RURAL ,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,INTERSTATE ,OTHER FREEWAYS AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,
Alabama,"2,401 ",-,"5,933 ",46 ,10 ,-,-,"8,391 ","2,157 ",126 ,"4,438 ",162 ,30 ,-,16 ,"6,928 ","15,320 "
Alaska,"2,044 ",-,"1,623 ",306 ,67 ,2 ,1 ,"4,043 ",242 ,-,487 ,38 ,6 ,-,0 ,773 ,"4,815 "
Arizona,"3,708 ",70 ,"3,304 ",11 ,50 ,-,-,"7,143 ","1,462 ","1,515 ","2,633 ",66 ,7 ,-,-,"5,683 ","12,826 "
Arkansas,"1,638 ",339 ,"4,959 ",16 ,6 ,1 ,0 ,"6,960 ","1,353 ",482 ,"1,897 ",109 ,21 ,-,7 ,"3,868 ","10,828 "
California,"5,387 ","1,668 ","8,121 ",42 ,76 ,-,20 ,"15,315 ","9,656 ","9,405 ","22,830 ",214 ,59 ,-,69 ,"42,232 ","57,547 "
Colorado,"2,628 ",112 ,"5,730 ",-,3 ,-,-,"8,472 ","1,512 ","1,363 ","3,996 ",44 ,11 ,-,-,"6,928 ","15,400 "
Connecticut,150 ,141 ,239 ,-,-,-,-,530 ,"1,718 ",996 ,"1,865 ",3 ,1 ,-,0 ,"4,583 ","5,113 "
Delaware,-,108 ,403 ,20 ,-,-,-,531 ,256 ,139 ,745 ,23 ,-,-,-,"1,163 ","1,693 "
Dist. of Columbia,-,-,-,-,-,-,-,-,78 ,69 ,441 ,-,-,-,-,589 ,589 
Florida,"3,376 ",673 ,"7,235 ",11 ,14 ,-,-,"11,309 ","4,774 ","2,839 ","16,677 ",535 ,62 ,14 ,15 ,"24,916 ","36,225 "
Georgia,"2,559 ",-,"7,593 ","1,673 ",137 ,-,2 ,"11,964 ","4,419 ",751 ,"8,358 ","1,065 ",71 ,1 ,39 ,"14,703 ","26,667 "
Hawaii,-,-,157 ,2 ,-,-,2 ,161 ,342 ,152 ,821 ,7 ,2 ,-,25 ,"1,349 ","1,510 "
Idaho,"2,084 ",-,"3,965 ",22 ,-,-,-,"6,071 ",447 ,-,"1,109 ",29 ,1 ,-,-,"1,586 ","7,657 "
Illinois,"5,042 ",120 ,"5,027 ",36 ,31 ,-,5 ,"10,261 ","4,880 ",456 ,"10,277 ",466 ,143 ,0 ,19 ,"16,241 ","26,502 "
Indiana,"3,111 ",545 ,"3,849 ",92 ,104 ,-,7 ,"7,709 ","2,459 ",660 ,"5,138 ",582 ,77 ,2 ,4 ,"8,921 ","16,630 "
Iowa,"2,443 ",-,"8,840 ",1 ,-,-,-,"11,284 ",830 ,-,"3,105 ",59 ,1 ,-,2 ,"3,997 ","15,280 "
Kansas,"2,580 ","1,602 ","5,455 ",-,-,-,-,"9,638 ","1,128 ",758 ,"1,124 ",12 ,3 ,1 ,-,"3,026 ","12,663 "
Kentucky,"2,897 ","1,895 ","3,452 ",14 ,16 ,-,0 ,"8,275 ","1,231 ",290 ,"2,387 ",20 ,12 ,3 ,8 ,"3,951 ","12,226 "
Louisiana,"2,215 ",97 ,"3,238 ",103 ,65 ,-,2 ,"5,720 ","1,831 ",296 ,"3,653 ",256 ,29 ,0 ,20 ,"6,084 ","11,804 "
Maine,"1,277 ",-,"1,624 ",12 ,-,-,2 ,"2,915 ",274 ,68 ,351 ,24 ,15 ,-,0 ,732 ,"3,647 "
Maryland,673 ,-,"1,086 ",53 ,3 ,-,-,"1,815 ","2,145 ","1,385 ","4,307 ",112 ,23 ,-,13 ,"7,985 ","9,800 "
Massachusetts,278 ,35 ,224 ,10 ,-,-,-,547 ,"2,925 ","1,326 ","4,526 ",100 ,16 ,-,15 ,"8,909 ","9,457 "
Michigan,"2,369 ","1,378 ","4,524 ",9 ,15 ,-,-,"8,296 ","3,706 ","1,592 ","8,938 ",36 ,10 ,-,1 ,"14,283 ","22,579 "
Minnesota,"2,385 ",13 ,"8,643 ",0 ,-,-,1 ,"11,042 ","1,645 ",732 ,"2,763 ",23 ,9 ,-,5 ,"5,178 ","16,220 "
Mississippi,"2,219 ",-,"6,522 ",54 ,16 ,-,3 ,"8,815 ","1,139 ",252 ,"3,200 ",39 ,-,-,0 ,"4,631 ","13,446 "
Missouri,"3,390 ","3,701 ","4,681 ",62 ,11 ,-,1 ,"11,845 ","2,920 ","2,037 ","3,149 ",13 ,10 ,-,1 ,"8,130 ","19,975 "
Montana,"4,377 ",-,"5,925 ",-,-,-,-,"10,302 ",391 ,-,700 ,-,-,-,-,"1,091 ","11,393 "
Nebraska,"1,715 ","1,312 ","4,852 ",122 ,8 ,-,-,"8,009 ",384 ,505 ,"1,284 ",21 ,4 ,-,-,"2,198 ","10,207 "
