STATE,RURAL,,,,,,,,URBAN,,,,,,,,TOTAL
,INTERSTATE ,OTHER FREEWAYS  AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,INTERSTATE ,OTHER FREEWAYS  AND EXPRESSWAYS ,OTHER PRINCIPAL ARTERIAL ,MINOR ARTERIAL ,MAJOR COLLECTOR ,MINOR COLLECTOR ,LOCAL ,TOTAL ,
Alabama,"6,012 ",-,"5,286 ",34 ,4 ,-,-,"11,336 ","8,736 ",532 ,"8,734 ",183 ,24 ,-,10 ,"18,219 ","29,555 "
Alaska,835 ,-,305 ,32 ,11 ,0 ,0 ,"1,183 ",750 ,-,924 ,44 ,3 ,-,0 ,"1,721 ","2,904 "
Arizona,"6,361 ",30 ,"3,198 ",16 ,23 ,-,-,"9,629 ","7,468 ","7,517 ","5,708 ",159 ,17 ,-,-,"20,868 ","30,497 "
Arkansas,"3,860 ",369 ,"3,554 ",11 ,4 ,0 ,0 ,"7,799 ","5,072 ","1,041 ","3,143 ",88 ,12 ,-,3 ,"9,359 ","17,158 "
California,"15,463 ","5,217 ","9,546 ",65 ,66 ,-,14 ,"30,370 ","72,627 ","60,234 ","51,941 ",380 ,90 ,-,97 ,"185,368 ","215,739 "
Colorado,"4,444 ",236 ,"4,034 ",-,1 ,-,-,"8,715 ","9,030 ","5,218 ","8,906 ",58 ,11 ,-,-,"23,223 ","31,938 "
Connecticut,469 ,297 ,420 ,-,-,-,-,"1,186 ","9,926 ","4,142 ","3,764 ",3 ,0 ,-,0 ,"17,835 ","19,021 "
Delaware,-,610 ,865 ,20 ,-,-,-,"1,495 ","1,351 ",603 ,"2,093 ",51 ,-,-,-,"4,099 ","5,593 "
Dist. of Columbia,-,-,-,-,-,-,-,-,457 ,374 ,991 ,-,-,-,-,"1,822 ","1,822 "
Florida,"9,589 ","1,815 ","7,565 ",15 ,6 ,-,-,"18,990 ","28,456 ","13,360 ","41,455 ","1,146 ",73 ,6 ,6 ,"84,502 ","103,492 "
Georgia,"7,091 ",-,"5,868 ",966 ,86 ,-,0 ,"14,011 ","23,497 ","3,526 ","15,584 ","1,534 ",71 ,0 ,22 ,"44,235 ","58,245 "
Hawaii,-,-,323 ,2 ,-,-,0 ,325 ,"1,877 ",505 ,"2,083 ",12 ,4 ,-,1 ,"4,482 ","4,807 "
