,STATE,GASOLINE,DIESEL,LIQUEFIED PETROLEUM GAS,GASOHOL (2),RATE (3),EFFECTIVE DATE ,RATE (3).1,EFFECTIVE DATE .1,RATE (3).2,EFFECTIVE DATE,RATE (3).3,EFFECTIVE DATE.1
0,Alabama,18.0,10/02/95,19.0,10/01/95,0.0,-,18.0,10/02/95,,,,
1,Alaska,8.0,09/01/09,8.0,09/01/09,0.0,-,8.0,09/01/09,,,,
2,Arizona,18.0,07/01/00,26.0,07/01/00,0.0,-,18.0,07/01/00,,,,
3,Arkansas,21.5,07/01/01,22.5,07/01/01,16.5,04/01/91,21.5,07/01/01,,,,
4,California,30.0,07/01/15,13.0,07/01/15,6.0,10/01/66,30.0,07/01/15,,,,
5,Colorado,22.0,01/01/91,20.5,01/01/92,5.0,01/01/15,22.0,01/01/91,,,,
6,Connecticut,25.0,07/01/04,54.5,07/01/14,0.0,-,25.0,01/01/05,,,,
7,Delaware,23.0,01/01/95,22.0,01/01/95,22.0,01/01/95,23.0,01/01/95,,,,
8,D.C.,23.5,10/01/09,23.5,10/01/09,0.0,-,23.5,10/01/09,,,,
9,Florida,17.3,01/01/15,17.3,01/01/15,0.0,01/01/65,17.3,01/01/15,,,,
10,Georgia,26.0,07/01/15,29.0,07/01/15,26.0,07/01/15,26.0,07/01/15,,,,
11,Hawaii,17.0,07/01/07,17.0,07/01/07,5.2,07/01/04,16.0,07/01/91,,,,
12,Idaho,32.0,07/01/15,32.0,07/01/15,23.2,07/01/15,32.0,07/01/15,,,,
13,Illinois,19.0,01/01/90,21.5,01/01/90,19.0,01/01/90,19.0,01/01/90,,,,
14,Indiana,18.0,01/01/03,16.0,01/01/97,0.0,-,18.0,01/01/03,,,,
15,Iowa,30.8,07/01/15,32.5,03/01/15,30.0,03/01/15,29.3,07/01/15,,,,
16,Kansas,24.0,07/01/03,26.0,07/01/03,23.0,07/01/03,24.0,07/01/03,,,,
17,Kentucky,24.6,04/01/15,21.6,04/01/15,24.6,04/01/15,24.6,04/01/15,,,,
18,Louisiana,20.0,01/01/90,20.0,01/01/90,16.0,07/01/93,20.0,01/01/90,,,,
19,Maine,30.0,07/01/11,31.2,07/01/11,0.0,-,23.0,08/01/99,,,,
20,Maryland,32.1,07/01/15,32.9,07/01/15,0.0,-,0.0,-,,,,
21,Massachusetts,24.0,07/30/13,24.0,07/30/13,24.0,07/01/15,24.0,07/30/13,,,,
22,Michigan,19.0,08/01/97,15.0,04/01/03,15.0,01/01/84,0.0,-,,,,
23,Minnesota,28.5,07/01/12,28.5,07/01/12,21.4,07/01/12,28.5,07/01/12,,,,
24,Mississippi,18.4,08/01/00,18.4,08/01/00,17.0,01/31/89,18.4,08/01/00,,,,
25,Missouri,17.0,04/01/96,17.0,04/01/96,17.0,04/01/96,17.0,04/01/96,,,,
