,STATE,MAJOR COLLECTOR,MINOR COLLECTOR,LOCAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY .1,COUNTY .1,"TOWN, TOWNSHIP, MUNICIPAL (2).1",OTHER JURIS- DICTIONS (3).1,FEDERAL AGENCY (4).1,TOTAL.1,STATE HIGHWAY AGENCY .2,COUNTY .2,"TOWN, TOWNSHIP, MUNICIPAL (2).2",OTHER JURIS- DICTIONS (3).2,FEDERAL AGENCY (4).2,TOTAL.2
0,Alabama,3151,14544,1940,-,-,19635,51,9985,644,-,-,10680,2,71982,7425,272,1319,80999,,,
1,Alaska,2184,90,203,38,57,2572,1191,249,406,18,81,1945,946,3380,1790,3710,3458,13283,,,
2,Arizona,2889,2388,275,13,1202,6766,334,1544,112,81,958,3029,550,17963,3502,6409,20315,48739,,,
3,Arkansas,13414,5408,225,-,-,19047,384,10361,342,-,-,11087,166,88132,6890,-,3458,98645,,,
4,California,1219,16918,294,-,585,19016,-,11629,142,21,926,12717,-,72088,1309,1517,14677,89592,,,
5,Colorado,2134,5660,174,40,760,8768,191,11910,378,114,1684,14278,33,64102,2757,1155,7989,76035,,,
6,Connecticut,1189,-,191,-,-,1379,35,-,636,-,-,672,12,-,5976,425,32,6445,,,
7,Delaware,700,-,-,-,-,700,443,-,-,-,-,443,3030,-,84,66,116,3296,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
9,Florida,652,5748,71,-,-,6470,-,5124,36,-,-,5160,0,30973,4026,131,2789,37919,,,
10,Georgia,8161,10166,449,-,1,18777,-,10619,227,2,29,10876,3,72876,5848,143,4436,83307,,,
11,Hawaii,300,51,-,3,-,355,20,122,-,-,-,142,-,1413,-,75,162,1651,,,
12,Idaho,1789,4305,243,3179,45,9561,-,3207,105,2789,163,6264,11,18219,2474,17274,12981,50959,,,
13,Illinois,3401,16209,1491,8,5,21114,60,3259,2382,6,11,5718,499,2686,110798,550,332,114865,,,
14,Indiana,6902,8721,294,-,-,15917,51,13697,222,7,-,13977,119,64211,4008,688,477,69502,,,
15,Iowa,142,22111,656,2,0,22910,-,25529,256,0,0,25785,1,93913,7861,700,183,102659,,,
16,Kansas,2813,32660,575,-,79,36127,12,15024,82,-,-,15117,7,131391,7549,-,1096,140043,,,
17,Kentucky,9257,15,1,-,68,9342,14975,25,1,-,14,15014,7713,59745,3020,778,1197,72453,,,
18,Louisiana,7582,9,1,2,3,7597,4915,336,3,-,-,5253,2798,44657,3552,5,1041,52052,,,
19,Maine,5280,-,0,-,-,5280,3461,-,-,-,-,3461,13,595,18897,251,261,20016,,,
20,Maryland,1593,529,12,0,-,2135,497,2116,39,0,3,2655,287,12831,536,152,1131,14937,,,
21,Massachusetts,242,-,1141,5,8,1396,7,-,980,4,1,992,27,-,6637,380,21,7065,,,
22,Michigan,663,25080,605,-,-,26347,1,6738,65,-,-,6804,16,82914,3836,119,2910,89795,,,
23,Minnesota,1602,23799,207,101,2,25711,32,18256,605,134,125,19152,6,25945,93395,2460,3941,125747,,,
24,Mississippi,5705,13038,410,-,63,19216,109,3495,77,16,30,3727,178,64282,4607,990,64,70122,,,
25,Missouri,25970,308,139,1,0,26419,9564,430,11,0,-,10004,1492,111380,8609,125,1905,123510,,,
26,Montana,4981,4700,11,672,699,11064,176,11563,36,830,1621,14226,1039,52286,1854,5300,17409,77888,,,
27,Nebraska,3620,14369,365,-,47,18402,4,13376,649,-,105,14134,6,69647,26421,183,107,96363,,,
28,Nevada,2432,1020,5,29,51,3537,422,3492,5,-,2,3920,434,37543,264,-,5139,43381,,,
29,New Hampshire,1638,-,34,-,-,1672,1204,-,497,-,15,1717,538,-,11905,8,224,12676,,,
30,New Jersey,3,1166,74,-,-,1243,-,389,145,-,4,538,10,746,4638,848,276,6518,,,
31,New Mexico,5894,1035,135,-,250,7314,3620,1110,43,2,296,5071,381,57502,2174,246,16910,77212,,,
32,New York,5688,3081,174,39,14,8996,777,12296,1821,140,7,15041,66,9555,59503,415,533,70073,,,
33,North Carolina,12030,-,3,-,26,12058,9704,-,7,-,-,9711,64947,-,3812,1637,4241,74637,,,
34,North Dakota,1859,16909,426,-,99,19293,-,-,-,-,-,-,65,12,105367,31,2389,107865,,,
35,Ohio,12151,5186,414,-,-,17750,1722,7726,648,-,-,10096,4,27475,56246,1349,299,85373,,,
36,Oklahoma,9298,23569,1106,32,-,34005,-,4723,79,4,-,4806,-,93041,10960,763,21,104784,,,
37,Oregon,2121,9056,107,34,1828,13146,123,7733,80,32,4967,12935,143,29462,1826,2141,26065,59637,,,
