STATE,MAJOR COLLECTOR,,,,,,MINOR COLLECTOR,,,LOCAL,,
,UNPAVED,PAVED (2),,,,TOTAL,UNPAVED,PAVED (2),TOTAL,UNPAVED,PAVED (2),TOTAL
,,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,,,,,,,
Alabama,-,"11,108 ",-,588 ,"11,696 ","11,696 ",322 ,"6,314 ","6,636 ","21,714 ","28,617 ","50,331 "
Alaska,673 ,925 ,-,-,925 ,"1,598 ",743 ,466 ,"1,209 ","7,540 ",714 ,"8,254 "
Arizona,129 ,"3,969 ",10 ,97 ,"4,075 ","4,204 ",427 ,"1,455 ","1,882 ","20,547 ","9,738 ","30,285 "
Arkansas,764 ,"10,646 ",-,426 ,"11,071 ","11,835 ","3,742 ","3,147 ","6,889 ","51,347 ","9,949 ","61,296 "
California,-,"11,816 ",-,-,"11,816 ","11,816 ","1,343 ","6,559 ","7,902 ","11,134 ","44,536 ","55,670 "
Colorado,978 ,"4,469 ",1 ,-,"4,470 ","5,448 ","6,498 ","2,373 ","8,871 ","42,313 ","4,933 ","47,246 "
Connecticut,-,834 ,-,23 ,857 ,857 ,9 ,409 ,418 ,609 ,"3,396 ","4,005 "
Delaware,-,188 ,4 ,243 ,435 ,435 ,-,275 ,275 ,65 ,"1,983 ","2,048 "
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-
Florida,-,"4,020 ",-,-,"4,020 ","4,020 ",58 ,"3,149 ","3,207 ","14,656 ","8,906 ","23,562 "
Georgia,-,"2,499 ",-,-,"2,499 ","2,499 ","1,051 ","5,707 ","6,758 ","25,864 ","25,900 ","51,764 "
Hawaii,-,219 ,1 ,-,220 ,220 ,-,88 ,88 ,163 ,863 ,"1,026 "
Idaho,"1,339 ","4,601 ",-,-,"4,601 ","5,940 ","2,110 ","1,783 ","3,893 ","21,405 ","10,259 ","31,664 "
Illinois,"3,463 ","6,082 ",129 ,"3,444 ","9,656 ","13,120 ","2,823 ",729 ,"3,552 ","66,212 ","5,162 ","71,374 "
Indiana,-,"9,890 ",-,-,"9,890 ","9,890 ",-,"8,685 ","8,685 ",-,"43,187 ","43,187 "
Iowa,"1,418 ","4,019 ","5,443 ","3,348 ","12,810 ","14,228 ","11,882 ","4,140 ","16,022 ","57,920 ","5,870 ","63,790 "
Kansas,"9,675 ","12,249 ",309 ,216 ,"12,774 ","22,449 ","8,334 ","1,060 ","9,394 ","80,812 ","6,207 ","87,019 "
