,"OWNERSHIP/ 
        FUNCTIONAL SYSTEM",UNPAVED,PAVED (2),TOTAL,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL.1
0,Rural:,,,,,,,
1,State Highway Agency: (3),,,,,,,
2,Interstate,0,26452,9104,8957,44514,44514,
3,Other Freeways & Expressways,0,5340,2595,1290,9225,9225,
4,Other Principal Arterial,453,110350,8300,22984,141634,142087,
5,Minor Arterial,130,163436,3759,29501,196696,196827,
6,Major Collector,1974,318738,7342,18592,344673,346646,
7,Subtotal,2557,624317,31100,81324,736742,739299,
8,Other Jurisdictions:,,,,,,,
9,Interstate,-,939,169,932,2039,2039,
10,Other Freeways & Expressways,-,53,162,24,239,239,
11,Other Principal Arterial,22,1143,457,71,1671,1693,
12,Minor Arterial,445,10540,109,687,11337,11782,
13,Major Collector,66145,199717,11378,12420,223515,289659,
14,Subtotal,66612,212392,12274,14134,238800,305412,
15,Federal Agency:,,,,,,,
16,Interstate,-,-,-,-,-,-,
17,Other Freeways & Expressways,-,-,-,-,-,-,
18,Other Principal Arterial,-,104,3,-,107,107,
19,Minor Arterial,-,1271,-,-,1271,1271,
20,Major Collector,658,3221,9,71,3300,3958,
21,Subtotal,658,4596,11,71,4678,5336,
22,Subtotal,69827,841305,43386,95529,980220,1050047,
23,Minor Collector,134103,,,,281093,415196,
24,Local,1937319,,,,1314002,3251321,
25,Total Rural,2141249,,,,2575315,4716563,
26,Urban:,,,,,,,
27,State Highway Agency: (3),,,,,,,
28,Interstate,-,12682,7706,7910,28298,28298,
29,Other Freeways & Expressways,2,8364,4830,4055,17249,17252,
30,Other Principal Arterial,29,51371,7972,22923,82266,82295,
31,Minor Arterial,2,43946,2272,15886,62104,62105,
32,Major Collector,4,33232,2183,3868,39283,39287,
33,Minor Collector,3,2308,213,138,2659,2662,
34,Subtotal,40,151903,25175,54781,231858,231899,
35,Other Jurisdictions:,,,,,,,
36,Interstate,24,664,260,1012,1936,1960,
37,Other Freeways & Expressways,8,933,632,167,1731,1739,
38,Other Principal Arterial,0,18201,3149,3074,24424,24424,
39,Minor Arterial,1208,89294,11019,11437,111750,112958,
40,Major Collector,2838,134791,11791,11038,157621,160459,
41,Minor Collector,484,14833,412,440,15684,16168,
42,Subtotal,4561,258716,27263,27167,313146,317707,
43,Federal Agency:,,,,,,,
44,Interstate,-,-,-,-,-,-,
45,Other Freeways & Expressways,-,49,2,-,52,52,
46,Other Principal Arterial,-,19,-,3,21,21,
47,Minor Arterial,-,407,-,2,409,409,
48,Major Collector,13,166,9,3,179,192,
49,Minor Collector,13,39,-,-,39,52,
50,Subtotal,26,680,12,8,700,725,
51,Subtotal,4627,411299,52450,81955,545704,550331,
52,Local,93675,,,,1280870,1374546,
53,Total Urban,98303,,,,1826574,1924877,
54,Total Rural and Urban,2239551,1252604,95835,177485,4401889,6641440,
