STATE,INTERSTATE,,,,OTHER FREEWAYS    AND EXPRESSWAYS,,,,OTHER PRINCIPAL    ARTERIAL,,,,MINOR ARTERIAL,,,
,PAVED (2),,,,PAVED (2),,,,PAVED (2),,,,PAVED (2),,,
,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL,BITUMINOUS,CONCRETE,COMPOSITE,TOTAL
Alabama,481 ,10 ,64 ,556 ,-,-,-,-,"1,943 ",-,84 ,"2,027 ","3,561 ",-,432 ,"3,993 "
Alaska,"1,002 ",-,-,"1,002 ",-,-,-,-,520 ,-,-,520 ,350 ,-,-,350 
Arizona,889 ,-,27 ,916 ,18 ,-,-,18 ,"1,210 ",0 ,-,"1,210 ","1,276 ",0 ,8 ,"1,284 "
Arkansas,212 ,102 ,95 ,410 ,27 ,56 ,1 ,84 ,"1,592 ",24 ,280 ,"1,896 ","2,889 ",21 ,161 ,"3,070 "
California,923 ,284 ,-,"1,206 ",291 ,117 ,-,408 ,"3,049 ",238 ,-,"3,287 ","6,040 ",17 ,-,"6,057 "
Colorado,370 ,278 ,-,648 ,21 ,7 ,-,28 ,"2,420 ",149 ,-,"2,569 ","3,109 ",75 ,-,"3,184 "
Connecticut,13 ,-,16 ,29 ,21 ,-,14 ,36 ,64 ,-,55 ,119 ,195 ,-,26 ,221 
Delaware,-,-,-,-,3 ,14 ,7 ,25 ,28 ,2 ,91 ,121 ,14 ,14 ,78 ,105 
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,615 ,-,102 ,717 ,172 ,-,-,172 ,"2,619 ",-,-,"2,619 ","2,191 ",-,-,"2,191 "
Georgia,280 ,254 ,-,534 ,-,-,-,-,"2,302 ",43 ,-,"2,345 ","2,548 ",-,-,"2,548 "
Hawaii,-,-,-,-,-,-,-,-,77 ,1 ,-,78 ,255 ,0 ,-,255 
Idaho,408 ,105 ,8 ,521 ,-,-,-,-,"1,735 ",11 ,4 ,"1,751 ","1,461 ",-,-,"1,461 "
Illinois,15 ,109 ,"1,119 ","1,243 ",-,-,-,-,267 ,15 ,"2,011 ","2,293 ",121 ,9 ,"4,429 ","4,558 "
Indiana,535 ,171 ,61 ,768 ,112 ,29 ,-,141 ,"1,240 ",125 ,83 ,"1,448 ","2,163 ",75 ,-,"2,238 "
Iowa,35 ,289 ,289 ,612 ,-,-,-,-,113 ,"1,017 ","2,285 ","3,415 ",371 ,973 ,"2,546 ","3,889 "
Kansas,388 ,209 ,43 ,640 ,82 ,214 ,108 ,404 ,"2,082 ",122 ,423 ,"2,627 ","4,082 ",2 ,164 ,"4,249 "
Kentucky,490 ,64 ,68 ,622 ,381 ,56 ,54 ,491 ,"1,112 ",12 ,93 ,"1,216 ","1,760 ",5 ,573 ,"2,338 "
Louisiana,226 ,208 ,68 ,502 ,16 ,8 ,-,24 ,333 ,204 ,481 ,"1,017 ","1,070 ",32 ,784 ,"1,887 "
Maine,299 ,-,-,299 ,-,-,-,-,789 ,-,-,789 ,953 ,-,-,953 
Maryland,105 ,-,37 ,142 ,-,-,-,-,222 ,2 ,112 ,335 ,448 ,-,278 ,726 
Massachusetts,-,-,60 ,60 ,-,-,6 ,6 ,-,-,104 ,104 ,-,0 ,315 ,315 
Michigan,109 ,311 ,144 ,564 ,148 ,96 ,100 ,344 ,"1,214 ",27 ,824 ,"2,065 ","3,270 ",203 ,"1,257 ","4,730 "
