STATE,RURAL,,,,,,,URBAN,,,,,,,RURAL AND URBAN,,,,,,
,MILES ,LANE- MILES  (3),DVMT (4),AADT/ LANE (5),%  OF  STATEWIDE  TOTAL  RURAL (2),,,MILES ,LANE- MILES (3),DVMT (4),AADT/ LANE (5),%  OF  STATEWIDE  TOTAL  URBAN (2),,,MILES ,LANE- MILES (3),DVMT (4),AADT/ LANE (5),%  OF  STATEWIDE  TOTAL   (2),,
,,,,,MILES ,LANE- MILES ,DVMT ,,,,,MILES ,LANE- MILES ,DVMT ,,,,,MILES ,LANE- MILES ,DVMT 
Alabama,"8,362 ","20,442 ","45,596 ","2,231 ",11.0 ,13.2 ,58.8 ,"2,558 ","9,126 ","56,084 ","6,146 ",9.8 ,15.8 ,52.5 ,"10,920 ","29,568 ","101,680 ","3,439 ",10.7 ,13.9 ,55.2 
Alaska,"4,917 ","10,187 ","4,146 ",407 ,37.0 ,37.8 ,71.2 ,694 ,"1,719 ","5,930 ","3,450 ",24.5 ,28.4 ,74.1 ,"5,611 ","11,906 ","10,076 ",846 ,34.8 ,36.1 ,72.9 
Arizona,"5,577 ","14,158 ","32,686 ","2,309 ",14.0 ,17.1 ,76.5 ,"1,245 ","5,454 ","50,334 ","9,228 ",4.7 ,8.9 ,37.1 ,"6,822 ","19,612 ","83,021 ","4,233 ",10.3 ,13.6 ,46.6 
Arkansas,"14,082 ","30,622 ","36,493 ","1,192 ",16.5 ,17.7 ,79.0 ,"2,341 ","7,018 ","33,725 ","4,806 ",13.7 ,19.0 ,68.3 ,"16,423 ","37,640 ","70,218 ","1,866 ",16.0 ,17.9 ,73.4 
California,"10,407 ","26,704 ","100,786 ","3,774 ",12.1 ,14.9 ,68.5 ,"4,686 ","24,982 ","400,961 ","16,050 ",4.3 ,9.9 ,51.9 ,"15,093 ","51,686 ","501,747 ","9,708 ",7.7 ,12.0 ,54.6 
Colorado,"7,538 ","17,158 ","29,709 ","1,732 ",11.0 ,12.4 ,73.7 ,"1,523 ","5,771 ","54,143 ","9,383 ",7.4 ,12.5 ,55.3 ,"9,061 ","22,928 ","83,852 ","3,657 ",10.2 ,12.4 ,60.7 
Connecticut,"1,170 ","2,517 ","6,400 ","2,543 ",20.6 ,21.8 ,74.0 ,"2,550 ","7,315 ","58,870 ","8,048 ",16.1 ,21.3 ,75.6 ,"3,720 ","9,832 ","65,271 ","6,638 ",17.3 ,21.5 ,75.4 
Delaware,"2,845 ","5,936 ","6,583 ","1,109 ",94.5 ,94.7 ,80.1 ,"2,558 ","5,923 ","16,424 ","2,773 ",75.1 ,77.7 ,86.5 ,"5,402 ","11,859 ","23,007 ","1,940 ",84.2 ,85.4 ,84.6 
Dist. of Columbia, , , , , , , ,"1,374 ","3,138 ","6,961 ","2,219 ",91.2 ,91.3 ,71.4 ,"1,374 ","3,138 ","6,961 ","2,219 ",91.2 ,91.3 ,71.4 
Florida,"5,643 ","15,748 ","60,344 ","3,832 ",15.5 ,20.3 ,66.5 ,"6,473 ","28,011 ","247,977 ","8,853 ",7.5 ,14.3 ,52.1 ,"12,116 ","43,759 ","308,321 ","7,046 ",9.9 ,16.0 ,54.4 
Georgia,"12,588 ","30,189 ","58,323 ","1,932 ",16.2 ,18.8 ,74.5 ,"5,361 ","18,884 ","135,799 ","7,191 ",10.6 ,17.0 ,55.4 ,"17,949 ","49,074 ","194,122 ","3,956 ",14.0 ,18.1 ,60.0 
Hawaii,483 ,968 ,"2,500 ","2,581 ",29.0 ,29.0 ,51.5 ,459 ,"1,518 ","13,155 ","8,663 ",16.5 ,23.7 ,56.3 ,942 ,"2,487 ","15,655 ","6,295 ",21.2 ,25.5 ,55.5 
Idaho,"4,597 ","10,937 ","16,377 ","1,497 ",10.2 ,11.9 ,62.7 ,395 ,"1,405 ","8,497 ","6,048 ",6.7 ,11.1 ,43.5 ,"4,992 ","12,341 ","24,873 ","2,015 ",9.8 ,11.8 ,54.5 
Illinois,"10,432 ","23,982 ","47,765 ","1,992 ",10.8 ,12.3 ,69.7 ,"5,535 ","18,253 ","109,258 ","5,986 ",11.1 ,16.5 ,49.7 ,"15,967 ","42,235 ","157,023 ","3,718 ",10.9 ,13.8 ,54.5 
Indiana,"8,794 ","20,733 ","50,215 ","2,422 ",13.3 ,15.2 ,64.9 ,"2,374 ","8,037 ","53,966 ","6,715 ",7.9 ,12.2 ,38.9 ,"11,169 ","28,769 ","104,181 ","3,621 ",11.6 ,14.2 ,48.2 
Iowa,"7,828 ","18,953 ","37,183 ","1,962 ",7.7 ,9.1 ,70.4 ,"1,051 ","3,786 ","18,866 ","4,983 ",8.4 ,13.8 ,49.6 ,"8,880 ","22,739 ","56,049 ","2,465 ",7.8 ,9.7 ,61.7 
Kansas,"9,480 ","21,015 ","25,862 ","1,231 ",7.5 ,8.2 ,63.0 ,812 ,"2,981 ","18,510 ","6,209 ",5.9 ,9.6 ,41.2 ,"10,292 ","23,996 ","44,372 ","1,849 ",7.3 ,8.4 ,51.6 
Kentucky,"24,518 ","52,885 ","56,914 ","1,076 ",37.8 ,39.6 ,79.5 ,"3,118 ","9,102 ","49,174 ","5,403 ",20.7 ,27.5 ,79.6 ,"27,636 ","61,987 ","106,088 ","1,711 ",34.6 ,37.2 ,79.6 
Louisiana,"12,963 ","28,544 ","41,121 ","1,441 ",29.6 ,31.6 ,81.0 ,"3,726 ","10,789 ","64,331 ","5,963 ",21.2 ,27.1 ,79.2 ,"16,689 ","39,332 ","105,452 ","2,681 ",27.2 ,30.2 ,79.9 
Maine,"7,395 ","15,323 ","19,453 ","1,269 ",37.1 ,37.7 ,67.3 ,963 ,"2,225 ","9,185 ","4,129 ",32.1 ,35.0 ,82.2 ,"8,358 ","17,548 ","28,638 ","1,632 ",36.5 ,37.4 ,71.4 
Maryland,"2,659 ","6,104 ","19,427 ","3,183 ",19.8 ,22.0 ,68.4 ,"2,495 ","8,659 ","83,004 ","9,586 ",13.4 ,20.3 ,64.3 ,"5,154 ","14,763 ","102,432 ","6,939 ",16.1 ,21.0 ,65.0 
Massachusetts,564 ,"1,317 ","4,355 ","3,307 ",8.9 ,10.2 ,56.3 ,"2,381 ","7,985 ","82,697 ","10,356 ",7.9 ,12.5 ,53.5 ,"2,945 ","9,302 ","87,052 ","9,358 ",8.1 ,12.1 ,53.6 
Michigan,"6,853 ","16,067 ","45,605 ","2,838 ",8.1 ,9.4 ,57.2 ,"2,815 ","11,377 ","95,279 ","8,375 ",7.4 ,13.2 ,50.6 ,"9,668 ","27,444 ","140,885 ","5,134 ",7.9 ,10.7 ,52.6 
Minnesota,"10,257 ","23,464 ","40,066 ","1,708 ",8.8 ,9.9 ,62.4 ,"1,554 ","5,796 ","50,721 ","8,751 ",7.0 ,11.9 ,54.5 ,"11,811 ","29,260 ","90,787 ","3,103 ",8.5 ,10.3 ,57.7 
Mississippi,"9,499 ","23,299 ","40,143 ","1,723 ",14.9 ,17.6 ,66.1 ,"1,402 ","4,776 ","25,704 ","5,382 ",10.9 ,16.8 ,52.9 ,"10,901 ","28,075 ","65,846 ","2,345 ",14.2 ,17.5 ,60.2 
Missouri,"30,762 ","65,811 ","62,769 ",954 ,28.7 ,30.1 ,77.8 ,"3,110 ","10,478 ","70,972 ","6,774 ",12.8 ,19.3 ,61.0 ,"33,873 ","76,289 ","133,741 ","1,753 ",25.7 ,27.9 ,67.9 
Montana,"10,502 ","23,607 ","18,010 ",763 ,14.8 ,16.4 ,77.1 ,512 ,"1,518 ","5,513 ","3,630 ",12.2 ,17.0 ,52.7 ,"11,014 ","25,125 ","23,523 ",936 ,14.7 ,16.4 ,69.5 
Nebraska,"9,491 ","20,737 ","24,992 ","1,205 ",10.9 ,11.8 ,80.1 ,450 ,"1,771 ","10,823 ","6,110 ",6.3 ,11.3 ,45.3 ,"9,941 ","22,508 ","35,816 ","1,591 ",10.5 ,11.7 ,65.0 
Nevada,"4,664 ","10,717 ","11,561 ","1,079 ",13.6 ,15.3 ,84.2 ,717 ,"2,880 ","23,502 ","8,159 ",7.4 ,12.5 ,41.0 ,"5,380 ","13,598 ","35,064 ","2,579 ",12.3 ,14.6 ,49.4 
