YEAR,NET INCOME,,,,,,,,,,,,,,EXPENDITURES,CLOSING BALANCE
,FROM EXCISE TAXES,,,,,,,,,,,,,TOTAL (2),,
,MOTOR FUEL,,,,TIRES,INNER TUBES ,TREAD RUBBER ,"TRUCKS, BUSES, AND TRAILERS",USE,"LUBRICAT-ING
   OIL ",PARTS AND ACCESSORIES,TOTAL (2),MISCELLANEOUS (3),,,
,GASOLINE,GASOHOL,DIESEL AND SPECIAL FUELS,TOTAL (2),,,,,,,,,,,,
1987 (5), , , , , , , , , , , , , , , , 
 Highways,"7,407,188","129,786","2,621,398","10,158,372","291,669",-2,-84,"723,731","620,197",47,-431,"11,793,498","933,909","12,727,408","12,801,838","9,411,559"
 Transit,"988,133","67,830","182,895","1,238,858",-,-,-,-,-,-,-,"1,238,858","343,855","1,582,713","667,534","4,202,056"
 Total,"8,395,321","197,616","2,804,293","11,397,230","291,669",-2,-84,"723,731","620,197",47,-431,"13,032,356","1,277,764","14,310,121","13,469,372","13,613,615"
1988, , , , , , , , , , , , , , , , 
 Highways,"7,933,879","155,997","2,557,282","10,647,158","334,074",-,-,"1,277,156","581,293",-,-3254,"12,836,427","808,984","13,645,411","14,037,862","9,019,108"
 Transit,"1,016,860","77,999","182,571","1,277,430",-,-,-,-,-,-,-,"1,277,430","383,750","1,661,180","695,675","5,167,560"
 Total,"8,950,739","233,996","2,739,853","11,924,588","334,074",-,-,"1,277,156","581,293",-,-3254,"14,113,857","1,192,734","15,306,591","14,733,537","14,186,668"
1989, , , , , , , , , , , , , , , , 
 Highways,"7,996,280","153,080","4,045,920","12,195,280","316,044",-,-,"1,239,536","608,314",-,-716,"14,358,458","775,913","15,134,371","13,602,480","10,550,999"
 Transit,"977,213","72,407","219,800","1,269,420",-,-,-,-,-,-,-,"1,269,420","468,869","1,738,289","848,508","6,057,342"
 Total,"8,973,493","225,487","4,265,720","13,464,700","316,044",-,-,"1,239,536","608,314",-,-716,"15,627,878","1,244,782","16,872,660","14,450,988","16,608,341"
1990, , , , , , , , , , , , , , , , 
 Highways,"7,471,796","153,539","2,896,262","10,521,597","254,793",-,-,"1,112,260","583,716",-,-288,"12,472,078","981,071","13,453,149","14,375,194","9,628,954"
