STATE,INTERSTATE SYSTEM,,,,,,,OTHER  ARTERIALS ,,,,,,,OTHER ,,,,,,
,MOTOR- CYCLES ,PASSENGER CARS ,LIGHT TRUCKS , BUSES ,SINGLE-UNIT TRUCKS ,COMBINATION TRUCKS ,TOTAL,MOTOR- CYCLES ,PASSENGER CARS ,LIGHT TRUCKS , BUSES ,SINGLE-UNIT TRUCKS ,COMBINATION TRUCKS ,TOTAL,MOTOR- CYCLES ,PASSENGER CARS ,LIGHT TRUCKS , BUSES ,SINGLE-UNIT TRUCKS ,COMBINATION TRUCKS ,TOTAL
Alabama,0.40,71.14,16.06,0.48,3.41,8.51,100.00,0.74,73.36,19.49,0.27,2.38,3.76,100.00,1.02,70.93,21.49,0.42,3.43,2.71,100.00
Alaska,0.25,62.12,30.67,0.35,5.10,1.51,100.00,0.23,63.61,30.10,0.38,4.49,1.19,100.00,0.29,62.95,29.86,0.37,4.91,1.62,100.00
Arizona,0.48,69.36,20.01,0.69,3.72,5.74,100.00,0.62,71.37,20.51,0.62,3.62,3.26,100.00,0.20,71.72,18.91,0.26,5.04,3.87,100.00
Arkansas,0.36,44.04,25.04,0.88,4.02,25.66,100.00,0.50,64.68,28.60,0.46,2.09,3.67,100.00,0.64,65.48,28.20,0.84,2.88,1.96,100.00
California,0.70,73.22,17.15,0.30,3.02,5.61,100.00,0.97,73.19,19.80,0.72,3.07,2.25,100.00,1.36,72.32,22.35,0.52,2.50,0.95,100.00
Colorado,0.46,69.15,21.79,0.09,3.17,5.34,100.00,0.68,73.11,22.47,0.46,1.75,1.53,100.00,0.98,68.33,28.01,0.60,1.37,0.71,100.00
Connecticut,0.19,79.42,11.33,0.22,3.00,5.84,100.00,0.74,81.49,13.68,0.09,1.70,2.30,100.00,0.67,82.98,14.20,0.04,1.02,1.09,100.00
Delaware,0.57,75.57,12.91,0.97,4.14,5.84,100.00,0.59,77.21,15.25,1.04,4.13,1.78,100.00,0.70,73.97,19.14,1.01,4.04,1.14,100.00
Dist. of Columbia,0.29,83.23,12.21,0.71,2.75,0.81,100.00,0.55,87.39,8.24,1.27,1.97,0.58,100.00,0.78,84.81,10.61,0.79,2.54,0.47,100.00
Florida,0.27,74.22,16.31,0.57,3.17,5.46,100.00,0.57,77.25,16.91,0.47,2.96,1.84,100.00,0.74,76.66,17.27,0.58,3.12,1.63,100.00
Georgia,0.30,73.20,16.29,0.66,2.75,6.80,100.00,0.31,77.07,18.04,0.44,2.45,1.69,100.00,0.22,78.05,18.53,0.39,2.20,0.61,100.00
Hawaii,0.93,82.21,12.19,1.36,2.23,1.08,100.00,1.97,76.23,16.56,1.37,2.77,1.10,100.00,1.32,73.96,20.56,0.93,2.35,0.88,100.00
Idaho,0.26,50.86,38.15,0.18,3.09,7.46,100.00,0.52,53.05,41.67,0.18,3.57,1.01,100.00,1.10,52.20,40.87,0.17,5.23,0.43,100.00
Illinois,0.68,69.80,15.47,0.74,2.37,10.94,100.00,0.71,82.77,8.25,0.90,3.85,3.52,100.00,0.81,85.26,8.51,0.34,3.28,1.80,100.00
Indiana,0.39,69.69,17.13,0.24,2.43,10.12,100.00,0.79,68.75,21.78,0.78,3.83,4.07,100.00,0.94,69.67,23.66,0.68,3.88,1.17,100.00
Iowa,0.32,67.81,15.63,0.62,2.90,12.72,100.00,0.20,82.50,12.87,0.17,1.79,2.47,100.00,0.00,99.09,0.00,0.00,0.63,0.28,100.00
Kansas,0.50,69.07,19.30,0.03,3.40,7.70,100.00,0.70,71.20,20.50,0.05,3.20,4.35,100.00,0.65,74.40,19.60,0.05,4.00,1.30,100.00
Kentucky,0.60,73.90,14.00,0.80,2.80,7.90,100.00,1.40,72.30,17.20,0.70,3.90,4.50,100.00,0.50,72.40,20.70,0.60,3.50,2.30,100.00
Louisiana,0.45,52.39,27.62,0.84,6.68,12.02,100.00,0.41,63.57,26.83,0.62,5.18,3.39,100.00,0.44,59.93,28.74,0.88,6.50,3.51,100.00
Maine,0.80,74.68,13.09,0.49,3.56,7.38,100.00,1.19,72.77,20.69,0.64,3.13,1.58,100.00,0.97,72.48,21.15,1.18,3.14,1.08,100.00
Maryland,0.17,79.90,11.45,0.75,3.39,4.34,100.00,0.37,81.99,12.68,0.67,3.09,1.20,100.00,0.76,80.68,13.67,0.51,3.35,1.03,100.00
Massachusetts,0.79,80.62,13.13,0.41,2.14,2.91,100.00,0.93,81.06,13.73,0.66,2.47,1.15,100.00,0.86,78.19,15.99,0.56,3.53,0.87,100.00
Michigan,0.39,72.35,17.96,0.46,1.42,7.42,100.00,0.79,74.43,20.94,0.16,1.45,2.23,100.00,1.16,74.06,21.02,0.11,1.89,1.76,100.00
Minnesota,0.93,64.80,27.91,0.36,2.01,3.99,100.00,0.94,66.49,27.59,0.34,2.53,2.11,100.00,0.96,67.61,28.42,0.29,1.79,0.93,100.00
Mississippi,0.17,64.77,20.49,0.42,3.19,10.96,100.00,0.31,72.56,21.20,0.38,2.95,2.60,100.00,0.35,72.41,22.57,0.52,3.38,0.77,100.00
Missouri,1.23,62.63,19.48,0.58,3.56,12.52,100.00,0.58,67.18,24.68,0.32,3.53,3.71,100.00,0.54,64.13,28.82,0.24,3.98,2.29,100.00
Montana,0.60,50.70,35.10,0.50,2.60,10.50,100.00,1.20,56.10,37.40,0.50,2.10,2.70,100.00,1.20,56.50,39.60,0.40,1.00,1.30,100.00
Nebraska,0.22,73.91,20.85,0.05,1.01,3.96,100.00,0.51,70.11,25.71,0.13,1.71,1.83,100.00,0.34,74.55,23.16,0.23,1.24,0.48,100.00
Nevada,0.22,87.22,4.73,0.41,2.30,5.12,100.00,0.43,89.38,5.10,0.44,1.75,2.90,100.00,0.49,85.21,10.07,0.68,1.50,2.05,100.00
New Hampshire,0.66,76.60,17.04,0.56,2.46,2.68,100.00,0.73,75.90,18.91,0.47,2.48,1.51,100.00,1.10,74.78,18.13,0.59,4.63,0.77,100.00
New Jersey,0.08,76.79,16.03,0.19,2.43,4.48,100.00,0.08,77.54,17.49,0.31,2.73,1.85,100.00,0.10,76.55,18.66,0.12,2.85,1.72,100.00
New Mexico,0.70,51.30,21.80,1.30,6.20,18.70,100.00,0.70,65.80,22.30,0.50,5.50,5.20,100.00,1.00,70.20,21.30,0.80,4.90,1.80,100.00
New York,0.38,81.65,7.12,0.66,3.86,6.33,100.00,0.51,80.52,14.03,0.75,2.97,1.22,100.00,0.67,78.90,16.13,0.68,3.05,0.57,100.00
North Carolina,0.42,74.78,15.48,0.48,2.39,6.45,100.00,0.50,77.08,16.92,0.50,2.79,2.21,100.00,0.63,77.41,16.54,0.91,3.00,1.51,100.00
North Dakota,0.26,66.96,23.10,0.29,2.30,7.09,100.00,0.48,68.96,25.06,0.06,3.19,2.25,100.00,0.45,51.57,34.97,0.38,7.02,5.61,100.00
Ohio,0.21,72.60,13.30,0.22,2.68,10.99,100.00,0.49,75.33,16.30,0.51,2.78,4.59,100.00,0.69,76.82,17.32,0.47,2.18,2.52,100.00
Oklahoma,0.55,56.71,26.50,0.50,5.82,9.92,100.00,0.48,64.38,27.19,0.42,5.26,2.27,100.00,0.48,68.65,26.28,0.28,3.70,0.61,100.00
Oregon,0.44,62.75,22.35,0.34,4.20,9.92,100.00,0.78,65.83,25.02,1.30,4.35,2.72,100.00,0.81,67.15,20.15,1.83,6.86,3.20,100.00
Pennsylvania,0.39,70.41,16.51,0.89,4.02,7.78,100.00,0.94,75.76,17.40,0.55,3.55,1.80,100.00,1.07,76.20,17.65,0.42,3.80,0.86,100.00
Rhode Island,0.01,84.36,10.52,0.13,2.50,2.48,100.00,0.30,75.80,16.45,1.05,4.93,1.47,100.00,0.70,76.55,15.19,0.84,6.03,0.69,100.00
South Carolina,0.20,74.50,15.30,0.60,2.60,6.80,100.00,0.50,80.90,13.20,0.40,2.60,2.40,100.00,0.50,79.70,13.40,0.40,3.10,2.90,100.00
South Dakota,1.00,63.70,22.70,0.20,2.40,10.00,100.00,1.50,61.90,29.00,0.00,2.00,5.60,100.00,2.00,61.30,28.80,0.00,2.30,5.60,100.00
Tennessee,1.10,63.80,18.20,0.40,5.40,11.10,100.00,1.10,71.60,19.90,0.10,2.30,5.00,100.00,0.50,76.70,20.50,0.00,1.30,1.00,100.00
Texas,0.24,66.00,22.03,0.22,2.93,8.58,100.00,0.25,63.68,27.96,0.24,3.19,4.68,100.00,0.23,58.20,32.33,0.34,4.04,4.86,100.00
Utah,1.26,42.15,30.00,0.33,17.73,8.53,100.00,0.41,53.41,24.87,0.47,14.38,6.46,100.00,0.55,55.27,23.51,0.52,11.57,8.58,100.00
Vermont,0.51,71.18,17.12,1.14,6.23,3.82,100.00,1.31,74.14,17.96,0.55,4.48,1.56,100.00,0.86,74.64,19.55,0.16,4.20,0.59,100.00
Virginia,0.28,76.76,15.00,0.58,1.23,6.15,100.00,0.29,80.02,15.99,0.52,1.25,1.93,100.00,0.30,81.23,16.07,0.63,1.23,0.54,100.00
Washington,0.24,66.41,25.39,0.30,2.43,5.23,100.00,0.30,66.50,27.22,0.24,2.96,2.78,100.00,0.34,57.25,35.12,0.22,4.48,2.59,100.00
West Virginia,0.16,60.04,18.32,1.09,4.99,15.40,100.00,0.55,73.21,20.29,0.50,3.97,1.48,100.00,0.73,74.78,19.85,0.40,3.40,0.84,100.00
Wisconsin,0.41,70.19,13.95,0.63,3.10,11.72,100.00,0.52,76.00,15.83,0.58,3.14,3.93,100.00,0.64,71.29,19.79,0.63,3.93,3.72,100.00
Wyoming,0.26,38.86,32.09,0.29,2.20,26.30,100.00,0.27,48.38,43.70,0.18,2.34,5.13,100.00,0.19,42.69,53.01,0.24,2.47,1.40,100.00
Puerto Rico,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
