STATE,MINOR ARTERIAL,,,,,,,MAJOR COLLECTOR,,,,,,,MINOR COLLECTOR,,,,,,
,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL,2 LANES,DIVIDED HIGHWAYS -    4 OR    MORE LANES (2),,,,OTHER (3),TOTAL
,,DEGREE OF ACCESS CONTROL,,,TOTAL,,,,DEGREE OF ACCESS CONTROL,,,TOTAL,,,,DEGREE OF ACCESS CONTROL,,,TOTAL,,
,,NONE,PARTIAL,FULL,,,,,NONE,PARTIAL,FULL,,,,,NONE,PARTIAL,FULL,,,
Alabama,"1,765 ",199 ,-,-,199 ,382 ,"2,345 ","3,499 ",29 ,-,-,29 ,93 ,"3,620 ",186 ,-,-,-,-,0 ,186 
Alaska,166 ,11 ,1 ,-,12 ,25 ,203 ,244 ,0 ,-,-,0 ,4 ,248 ,234 ,-,-,-,-,1 ,235 
Arizona,930 ,726 ,10 ,6 ,743 ,961 ,"2,635 ","1,635 ",155 ,-,-,155 ,152 ,"1,942 ",207 ,8 ,-,-,8 ,1 ,216 
Arkansas,"1,452 ",12 ,15 ,-,26 ,348 ,"1,827 ","2,155 ",1 ,-,-,1 ,19 ,"2,174 ",235 ,-,-,-,-,4 ,239 
California,"8,388 ",514 ,183 ,8 ,705 ,"2,044 ","11,137 ","12,032 ",112 ,-,0 ,113 ,879 ,"13,024 ",375 ,1 ,-,-,1 ,8 ,384 
Colorado,"1,227 ",269 ,29 ,-,298 ,237 ,"1,761 ","1,630 ",182 ,1 ,-,184 ,34 ,"1,848 ",62 ,-,-,-,-,1 ,63 
Connecticut,"1,510 ",14 ,4 ,3 ,21 ,136 ,"1,667 ","1,769 ",10 ,-,-,10 ,20 ,"1,798 ",310 ,-,-,-,-,-,310 
Delaware,127 ,45 ,-,-,45 ,30 ,202 ,340 ,4 ,-,-,4 ,14 ,357 ,49 ,0 ,-,-,0 ,1 ,50 
