,STATE,OTHER FEDERAL-AID HIGHWAYS  - RURAL ,OTHER FEDERAL-AID HIGHWAYS - URBAN ,TOTAL OTHER FEDERAL-AID HIGHWAYS ,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY .1,COUNTY .1,"TOWN, TOWNSHIP, MUNICIPAL (1).1",OTHER JURIS- DICTIONS (2).1,FEDERAL AGENCY (3).1,TOTAL.1
0,Alabama,5747,9218,1274,-,-,16239,980,1353,3852,-,31,6217,22456,,
1,Alaska,1599,58,125,24,35,1842,406,201,63,2,0,671,2513,,
2,Arizona,2934,1590,211,8,766,5509,293,1113,3531,14,85,5037,10546,,
3,Arkansas,11357,3412,143,-,-,14912,1317,714,2269,-,-,4300,19212,,
4,California,5762,11561,262,-,365,17950,637,4907,19106,-,37,24688,42638,,
5,Colorado,4176,4068,125,45,515,8929,322,845,2561,4,11,3743,12672,,
6,Connecticut,963,-,120,-,-,1083,1323,-,2481,1,-,3805,4888,,
7,Delaware,531,-,0,-,-,531,608,-,15,-,-,622,1153,,
8,Dist. of Columbia,-,-,-,-,-,-,305,-,-,0,14,319,319,,
9,Florida,2218,3988,53,-,-,6259,1692,6534,4312,-,-,12539,18798,,
10,Georgia,8924,6372,301,-,0,15598,2192,4408,2447,4,10,9061,24659,,
11,Hawaii,392,68,-,2,12,475,124,517,-,-,-,640,1115,,
12,Idaho,2368,2720,169,2151,28,7436,66,136,1001,289,-,1492,8928,,
13,Illinois,6605,10145,947,5,3,17705,1694,2184,6257,27,1,10164,27869,,
14,Indiana,6380,5499,195,-,-,12074,524,2582,3674,0,-,6780,18854,,
15,Iowa,3797,13912,416,1,0,18127,44,630,2250,11,0,2935,21062,,
16,Kansas,5971,20317,360,-,49,26697,173,939,2370,-,-,3482,30179,,
17,Kentucky,8078,9,1,-,43,8130,2005,255,597,3,-,2860,10990,,
18,Louisiana,6517,10,1,4,2,6533,2217,674,1436,2,-,4328,10862,,
19,Maine,4228,-,0,-,0,4228,758,-,1,0,-,759,4987,,
20,Maryland,1678,339,8,0,-,2025,934,2008,658,18,11,3628,5653,,
21,Massachusetts,364,-,806,3,5,1178,688,-,6362,156,3,7210,8387,,
22,Michigan,3805,17032,411,-,-,21248,588,4873,3472,2,-,8935,30183,,
23,Minnesota,6189,16138,137,63,1,22527,392,2546,2298,0,-,5237,27764,,
24,Mississippi,6975,8118,263,-,304,15659,319,530,1765,0,48,2663,18322,,
25,Missouri,20068,203,100,2,0,20372,1140,750,2826,2,1,4718,25090,,
26,Montana,5880,2921,7,418,493,9718,174,-,611,-,-,785,10503,,
27,Nebraska,6329,8926,232,0,29,15516,53,250,1081,-,-,1383,16899,,
28,Nevada,2156,676,3,18,32,2885,287,747,964,50,24,2072,4957,,
29,New Hampshire,1586,-,24,-,-,1610,422,-,576,6,-,1005,2615,,
30,New Jersey,155,855,52,-,-,1062,285,3989,2616,2,-,6892,7954,,
31,New Mexico,5909,716,147,-,194,6966,420,154,1398,-,4,1976,8942,,
32,New York,6314,1969,112,52,9,8455,2201,3546,5468,44,-,11259,19715,,
33,North Carolina,10175,-,2,-,230,10407,6365,-,807,-,47,7219,17626,,
34,North Dakota,3671,10507,265,-,62,14504,19,12,602,-,-,633,15137,,
35,Ohio,10170,3265,266,-,-,13700,2091,2593,5082,-,-,9766,23466,,
36,Oklahoma,8443,14646,692,20,-,23802,445,797,2904,2,-,4148,27950,,
37,Oregon,3132,6007,68,22,1168,10397,284,1467,2146,4,-,3901,14297,,
38,Pennsylvania,11623,25,231,0,21,11901,6533,276,2610,1,-,9418,21319,,
39,Rhode Island,198,-,46,-,-,244,276,-,624,10,5,914,1158,,
40,South Carolina,12881,93,17,-,16,13008,4236,192,222,-,0,4650,17658,,
41,South Dakota,4028,10425,179,14,729,15375,45,181,545,12,-,782,16157,,
42,Tennessee,7758,174,13,-,-,7945,1529,1371,3245,-,-,6144,14089,,
43,Texas,44591,1432,251,5,76,46355,8940,3243,13237,87,1,25508,71864,,
44,Utah,2106,1568,94,-,110,3877,197,368,1503,-,-,2068,5945,,
45,Vermont,1809,-,912,-,-,2721,108,-,298,-,-,406,3127,,
46,Virginia,10268,-,81,-,93,10442,3407,271,2209,0,261,6148,16590,,
47,Washington,3164,6533,186,8,219,10111,317,1802,3506,9,4,5636,15748,,
48,West Virginia,6674,-,3,-,-,6677,1641,-,266,-,-,1907,8584,,
49,Wisconsin,5926,10045,775,-,-,16746,490,1310,4132,-,-,5932,22678,,
50,Wyoming,3116,543,4,-,293,3956,118,222,445,8,-,793,4749,,
51,U.S. Total,305686,216105,11084,2866,5902,541642,62624,61490,132700,770,599,258182,799825,,
52,Puerto Rico (4),481,-,1,-,17,499,2361,-,221,-,7,2589,3088,,
53,Grand Total,306167,216105,11085,2866,5919,542141,64985,61490,132921,770,606,260771,802913,,
