STATE,ALL FEDERAL-AID HIGHWAYS  - RURAL AND URBAN,,,,,,ALL NON-FEDERAL-AID HIGHWAYS  - RURAL AND URBAN,,,,,,TOTAL FEDERAL-AID AND NON-FEDERAL-AID
,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,
Alabama," 17,522 "," 17,039 "," 8,415 ",-, 52 ," 43,028 ", 52 ," 83,078 "," 35,390 ", 272 ," 2,365 "," 121,156 "," 164,184 "
Alaska," 6,778 ", 449 , 305 , 41 , 57 ," 7,630 "," 2,252 "," 6,058 "," 2,623 "," 3,738 "," 3,656 "," 18,327 "," 25,958 "
Arizona," 9,762 "," 4,428 "," 6,479 ", 35 ," 1,401 "," 22,105 "," 1,217 "," 24,488 "," 30,013 "," 7,072 "," 21,519 "," 84,308 "," 106,413 "
Arkansas," 25,770 "," 6,643 "," 3,937 ",-,-," 36,350 ", 661 ," 99,591 "," 24,280 ",-," 4,251 "," 128,783 "," 165,133 "
California," 24,290 "," 27,618 "," 38,774 ",-, 661 ," 91,343 ",-," 109,909 "," 94,976 "," 1,768 "," 17,169 "," 223,821 "," 315,164 "
Colorado," 14,357 "," 8,022 "," 4,988 ", 78 , 847 ," 28,293 ", 225 ," 82,179 "," 21,113 "," 1,295 "," 9,709 "," 114,520 "," 142,813 "
Connecticut," 5,919 ",-," 4,267 ", 2 ,-," 10,187 ", 67 ,-," 23,704 ", 537 , 124 ," 24,432 "," 34,620 "
Delaware," 2,515 ",-, 24 ,-,-," 2,538 "," 6,179 ",-," 1,285 ", 126 , 196 ," 7,787 "," 10,325 "
Dist. of Columbia, 686 ,-,-, 1 , 43 , 730 ," 1,526 ",-,-, 50 , 120 ," 1,695 "," 2,425 "
Florida," 19,496 "," 17,512 "," 7,358 ",-,-," 44,366 ", 3 ," 95,843 "," 53,522 ", 139 ," 3,528 "," 153,035 "," 197,401 "
Georgia," 28,849 "," 17,691 "," 4,663 ", 6 , 23 ," 51,233 ", 38 ," 122,987 "," 27,257 ", 188 ," 4,508 "," 154,978 "," 206,211 "
Hawaii," 1,485 ", 988 ,-, 25 , 19 ," 2,517 ", 32 ," 4,345 ",-, 87 , 189 ," 4,653 "," 7,170 "
Idaho," 8,023 "," 4,611 "," 2,074 "," 4,001 ", 45 ," 18,754 ", 11 ," 21,793 "," 7,653 "," 20,980 "," 13,147 "," 63,585 "," 82,338 "
