STATE,NAME OF FACILITY,OPERATING AUTHORITY,"BALANCE BEGINNING 
      OF YEAR","ROAD 
      AND 
      CROSSING 
      TOLLS","CONCESSIONS 
      AND 
      RENTALS","NET 
      INCOME FROM 
      INVESTMENTS",MISCELLANEOUS,BOND PROCEEDS,TOTAL RECEIPTS
Arkansas,Northwest Arkansas    Regional Airport Access Road,Arkansas State Highway and Transportation    Department,-,-,-,-, 112,-, 112
California,Foothill/Eastern    Toll Roads,Foothill/Eastern    Transportation Corridor Agency," 666,725"," 142,343",-, 269," 20,530"," 8,794"," 171,936"
,Golden    Gate Bridge,Golden    Gate Bridge and Highway District," 231,248"," 114,743",-," 2,098"," 70,087",-," 186,928"
,State    Route 91 Express Lanes,Orange    County Transportation Authority," 96,163"," 41,686",-, 712, 108,-," 42,506"
,San    Joaquin Hills Toll Road,San    Joaquin Hills Transportation Corridor Agency," 370,940"," 126,205",-," 3,620"," 3,799",-," 133,624"
,Total,," 1,365,076"," 424,977",-," 6,699"," 94,524"," 8,794"," 534,994"
Colorado,E-470 Beltway,E-470 Public Highway Authority," 317,880 "," 132,106 ",-," (3,556)"," 11,785 ",-," 140,335 "
,Pikes    Peak Toll Highway,City    of Colorado Springs," 5,369 "," 4,319 ",-, 17 , 36 ,-," 4,372 "
,Total,," 323,249 "," 136,425 ",-," (3,539)"," 11,821 ",-," 144,707 "
Florida,Biscayne    Key (Rickenbacker) Causeway,Dade    County Port Authority," 12,851"," 8,054",-," (5,745)"," 1,136"," 33,725"," 37,170"
,Broad    Causeway,Town    of Bay Harbor Islands," 17,097"," 5,457", 101, 7, 1,-," 5,566"
,Card    Sound Toll Bridge,Monroe    County," 6,683", 997,-, 20,-,-," 1,017"
,Lee    County Toll Bridges 2/,Lee    County," 31,305"," 41,882",-, 39,-,-," 41,921"
,Osceola Parkway,Osceola    County," 12,257"," 13,250",-, 7," 8,688"," 84,775"," 106,720"
,Pensacola    Beach Bridge,Escambia    County," 2,777"," 3,328",-, 43, 538,-," 3,909"
,Venetian    Causeway,Dade    County Port Authority,-," 3,185",-,-, 1,-," 3,186"
,Total,," 82,970"," 76,153", 101," (5,629)"," 10,364"," 118,500"," 199,489"
Maine,Machigonne II Ferry,Casco Bay Island Transit District, 310," 3,619", 856,-," 8,094",-," 12,569"
Massachusetts,"Woods Hole, Martha's Vineyard and Nantucket Ferries",Wood's Hole Steamship Authority," 41,818"," 82,804"," 6,373", 53," 7,086"," 23,801"," 120,117"
Michigan,Ironton    Ferry,Charlevoix    County Road Commission,-, 179,-,-,-,-, 179
,St.    Mary's River Ferry System,Eastern    Upper Penninsula Transportation Authority,-," 1,319", 2,-," 1,422",-," 2,743"
,Total,,-," 1,498", 2,-," 1,422",-," 2,922"
Nebraska,Bellevue    Bridge,Bellevue    Bridge Commission," 3,019"," 1,500",-,-,-,-," 1,500"
New Jersey,Cape    May County Bridges,Cape    May Bridge Commission," 1,962"," 2,785",-, 142," 1,055",-," 3,982"
,Tacony-Palmyra    and Burlington-Bristol Bridges,Burlington    County Bridge Commission," 79,839"," 32,836",-, 47, 996,-," 33,879"
,Total,," 81,801"," 35,621",-, 189," 2,051",-," 37,861"
New York,Atlantic    Beach Bridge,Nassau    County Bridge Authority," 14,417"," 6,179",-,-," 4,655",-," 10,834"
,Triborough    Bridges and Tunnels,Triborough    Bridge and Tunnel Authority," 827,049"," 1,671,990"," 42,440"," 113,256",-," 371,586"," 2,199,272"
,Total,," 841,466"," 1,678,169"," 42,440"," 113,256"," 4,655"," 371,586"," 2,210,106"
Oregon,Buena    Vista Ferry,Polk    County Road Department,-, 68, 3,-, 278,-, 349
,Canby    Ferry,Clackamas    County Road Department,-, 167,-,-,-,-, 167
,Cascade    Locks Bridge,Port    of Cascade Locks Commission,-," 1,608",-,-,-,-," 1,608"
