,STATE,INTERSTATE ,OTHER  FREEWAYS  AND  EXPRESSWAYS ,OTHER  PRINCIPAL  ARTERIAL ,MINOR  ARTERIAL ,STATE HIGHWAY AGENCY ,OTHER,TOTAL,STATE HIGHWAY AGENCY .1,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL.1,STATE HIGHWAY AGENCY .2,COUNTY .1,"TOWN, TOWNSHIP, MUNICIPAL (2).1",OTHER JURIS- DICTIONS (3).1,FEDERAL AGENCY (4).1,TOTAL.2,STATE HIGHWAY AGENCY .3,COUNTY .2,"TOWN, TOWNSHIP, MUNICIPAL (2).2",OTHER JURIS- DICTIONS (3).2,FEDERAL AGENCY (4).2,TOTAL.3
0,Alabama,919,-,919,-,-,-,-,-,-,3271,1,3,-,-,3275,6064,290,107,-,-,6462,,,,
1,Alaska,1613,-,1613,-,-,-,-,-,-,1290,-,-,-,-,1290,689,5,-,-,-,694,,,,
2,Arizona,1475,-,1475,28,-,-,-,-,28,1900,26,12,-,9,1948,1798,159,57,-,52,2067,,,,
3,Arkansas,659,-,659,137,-,-,-,-,137,3052,-,-,-,-,3052,4852,84,5,-,-,4941,,,,
4,California,1946,-,1946,652,4,0,-,-,656,5014,255,20,-,-,5289,7917,1701,128,-,2,9748,,,,
5,Colorado,1043,-,1043,45,-,-,-,-,45,4131,2,1,-,-,4134,4552,890,26,32,69,5569,,,,
6,Connecticut,46,-,46,57,-,-,-,-,57,190,-,1,-,-,191,353,-,3,-,-,356,,,,
7,Delaware,-,-,-,40,-,-,-,-,40,195,-,-,-,-,195,169,-,0,-,-,169,,,,
8,Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
9,Florida,1154,-,1154,278,-,-,-,-,278,4163,53,-,-,-,4215,2834,676,15,-,-,3526,,,,
10,Georgia,862,-,862,-,-,-,-,-,-,3774,5,3,-,-,3782,7459,89,36,-,-,7583,,,,
11,Hawaii,-,-,-,-,-,-,-,-,-,124,1,-,-,-,126,333,59,-,-,19,411,,,,
12,Idaho,839,-,839,-,-,-,-,-,-,2769,10,6,33,-,2818,1991,69,27,265,-,2352,,,,
13,Illinois,1899,102,2001,48,-,-,-,-,48,3679,12,3,-,-,3694,7203,118,33,-,-,7354,,,,
14,Indiana,1091,145,1236,226,-,-,-,-,226,2302,25,4,-,-,2331,3463,122,17,-,-,3602,,,,
15,Iowa,985,-,985,-,-,-,-,-,-,5501,0,0,1,-,5503,5969,278,14,0,-,6261,,,,
16,Kansas,751,278,1029,651,-,-,-,-,651,4228,-,-,-,-,4228,6796,37,4,-,-,6837,,,,
17,Kentucky,1001,-,1001,791,-,-,-,-,791,1957,-,-,-,-,1957,3763,-,-,-,-,3763,,,,
18,Louisiana,857,-,857,39,-,-,-,-,39,1637,-,-,22,-,1659,3033,7,0,6,-,3046,,,,
19,Maine,344,138,482,-,-,-,-,-,-,1269,-,-,-,-,1269,1533,-,-,-,0,1534,,,,
20,Maryland,213,15,229,-,-,-,-,-,-,536,-,0,3,-,540,1152,16,-,-,-,1169,,,,
21,Massachusetts,104,-,104,13,-,4,-,-,17,164,-,5,-,-,170,351,-,156,-,-,508,,,,
22,Michigan,903,7,910,554,-,-,-,-,554,3428,0,-,-,-,3428,5465,2341,59,-,-,7864,,,,
23,Minnesota,956,-,956,6,-,-,-,-,6,5558,45,-,-,-,5602,8347,2152,14,-,-,10514,,,,
24,Mississippi,892,-,892,-,-,-,-,-,-,2839,26,5,-,-,2870,5564,27,12,-,426,6029,,,,
25,Missouri,1354,-,1354,1490,-,-,-,-,1490,3265,2,3,1,-,3271,6372,19,24,1,-,6416,,,,
26,Montana,1761,-,1761,-,-,-,-,-,-,4462,0,-,-,-,4463,4481,0,-,0,93,4575,,,,
27,Nebraska,667,-,667,536,-,-,-,-,536,3786,-,-,-,-,3786,6654,0,9,1,-,6664,,,,
28,Nevada,720,-,720,-,-,-,-,-,-,2403,17,-,-,-,2420,1094,68,-,0,-,1163,,,,
29,New Hampshire,223,6,228,15,-,-,-,-,15,506,-,-,15,-,521,1001,-,5,-,-,1007,,,,
30,New Jersey,66,6,72,3,-,-,54,-,57,238,14,-,1,-,253,246,210,10,-,-,466,,,,
31,New Mexico,1362,-,1362,-,-,-,-,-,-,3095,12,17,-,-,3123,3362,106,95,-,62,3624,,,,
32,New York,879,413,1292,166,-,-,16,-,182,3415,9,-,6,-,3430,4485,87,6,45,-,4623,,,,
33,North Carolina,887,-,887,656,-,-,-,-,656,2490,-,-,-,-,2490,4606,-,0,-,370,4976,,,,
34,North Dakota,823,-,823,-,-,-,-,-,-,4765,4,-,-,-,4769,4049,-,-,-,-,4049,,,,
35,Ohio,792,242,1034,533,-,-,-,-,533,2440,2,0,-,-,2443,4173,77,14,-,-,4264,,,,
36,Oklahoma,687,353,1040,-,-,-,-,-,-,3199,-,-,425,-,3625,4280,2,8,-,-,4289,,,,
37,Oregon,797,-,797,-,-,-,-,-,-,4253,24,-,-,-,4277,2913,614,2,1,52,3582,,,,
38,Pennsylvania,1379,410,1789,534,-,-,41,-,575,2502,-,13,-,0,2515,7224,1,51,1,34,7312,,,,
39,Rhode Island,29,-,29,17,-,-,-,-,17,156,-,-,-,-,156,115,-,0,-,-,116,,,,
