STATE,INTERSTATE ,,,OTHER  FREEWAYS  AND  EXPRESSWAYS ,,,,,,OTHER  PRINCIPAL  ARTERIAL ,,,,,
,STATE HIGHWAY AGENCY ,OTHER,TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (1)",OTHER JURIS- DICTIONS (2),FEDERAL AGENCY (3),TOTAL
Alabama,430 ,-,430 ,27 ,-,-,-,-,27 ,"1,177 ",16 ,105 ,-,-,"1,298 "
Alaska,79 ,-,79 ,-,-,-,-,-,-,119 ,18 ,-,-,-,136 
Arizona,252 ,-,252 ,203 ,4 ,7 ,-,-,214 ,307 ,91 ,444 ,-,0 ,843 
Arkansas,293 ,-,293 ,116 ,-,-,-,-,116 ,602 ,-,28 ,-,-,630 
California,"1,241 ",-,"1,241 ","1,522 ",7 ,48 ,-,-,"1,576 ","1,323 ",528 ,"4,727 ",-,-,"6,579 "
Colorado,304 ,-,304 ,303 ,3 ,18 ,-,-,324 ,612 ,62 ,394 ,-,-,"1,068 "
Connecticut,317 ,-,317 ,244 ,-,-,-,-,244 ,657 ,-,53 ,-,-,710 
Delaware,41 ,-,41 ,31 ,-,-,-,-,31 ,193 ,-,1 ,-,-,194 
Dist. of Columbia,12 ,-,12 ,13 ,-,-,-,3 ,16 ,96 ,-,-,-,10 ,107 
Florida,778 ,-,778 ,561 ,6 ,4 ,-,-,572 ,"3,468 ",340 ,167 ,-,-,"3,975 "
Georgia,712 ,-,712 ,131 ,23 ,7 ,-,1 ,163 ,"2,049 ",164 ,90 ,-,2 ,"2,306 "
Hawaii,55 ,-,55 ,34 ,-,-,-,-,34 ,238 ,27 ,-,-,-,265 
Idaho,90 ,-,90 ,-,-,-,-,-,-,242 ,15 ,152 ,62 ,-,472 
Illinois,713 ,228 ,942 ,108 ,-,-,0 ,-,109 ,"2,773 ",251 ,123 ,2 ,0 ,"3,150 "
Indiana,431 ,67 ,498 ,153 ,5 ,13 ,-,-,171 ,"1,092 ",165 ,419 ,-,-,"1,676 "
Iowa,172 ,3 ,176 ,-,-,-,-,-,-,833 ,4 ,68 ,2 ,-,906 
Kansas,169 ,66 ,234 ,182 ,-,5 ,-,0 ,187 ,288 ,7 ,40 ,-,3 ,338 
Kentucky,220 ,-,220 ,73 ,-,-,-,-,73 ,605 ,-,22 ,-,-,627 
Louisiana,405 ,-,405 ,72 ,-,-,-,-,72 ,965 ,34 ,65 ,10 ,-,"1,074 "
Maine,39 ,27 ,66 ,18 ,-,-,-,-,18 ,134 ,-,-,-,-,134 
Maryland,267 ,71 ,338 ,231 ,1 ,6 ,36 ,31 ,305 ,952 ,55 ,170 ,6 ,1 ,"1,183 "
Massachusetts,510 ,0 ,510 ,283 ,-,30 ,8 ,1 ,322 ,892 ,-,958 ,130 ,-,"1,979 "
Michigan,686 ,-,686 ,357 ,-,-,-,-,357 ,"1,173 ",744 ,440 ,4 ,-,"2,361 "
Minnesota,320 ,-,320 ,162 ,0 ,-,-,-,162 ,684 ,87 ,38 ,-,-,809 
Mississippi,253 ,-,253 ,61 ,-,2 ,-,-,64 ,729 ,19 ,208 ,-,-,956 
Missouri,538 ,-,538 ,468 ,-,11 ,-,-,478 ,654 ,62 ,185 ,1 ,-,902 
Montana,98 ,-,98 ,-,-,-,-,-,-,216 ,-,38 ,-,-,254 
Nebraska,67 ,-,67 ,127 ,-,-,-,-,127 ,228 ,18 ,149 ,0 ,-,395 
Nevada,150 ,-,150 ,34 ,15 ,6 ,-,-,55 ,235 ,46 ,75 ,2 ,-,358 
New Hampshire,51 ,32 ,83 ,31 ,-,-,43 ,-,74 ,154 ,-,63 ,5 ,-,222 
New Jersey,282 ,104 ,387 ,196 ,-,-,257 ,-,453 ,"1,198 ",535 ,59 ,11 ,-,"1,804 "
New Mexico,153 ,-,153 ,11 ,-,-,-,-,11 ,443 ,0 ,241 ,-,-,684 
New York,620 ,321 ,941 ,673 ,32 ,50 ,60 ,-,815 ,"1,865 ",282 ,943 ,7 ,-,"3,098 "
North Carolina,720 ,-,720 ,462 ,-,1 ,-,1 ,465 ,"1,944 ",-,32 ,-,-,"1,976 "
