STATE,INTERNATIONAL    ROUGHNESS INDEX (IRI)    (1),,,,,,,,,
,TOTAL URBAN NHS,,,,,,,,,
,NOT REPORTED (2),< 60,60-94,95-119,120-144,145-170,171-194,195-220,> 220,TOTAL REPORTED
Alabama,133 ,630 ,540 ,157 ,89 ,57 ,36 ,23 ,33 ,"1,565 "
Alaska,-,32 ,89 ,37 ,24 ,17 ,12 ,8 ,17 ,235 
Arizona,145 ,302 ,295 ,128 ,76 ,43 ,25 ,15 ,36 ,921 
Arkansas,41 ,147 ,316 ,160 ,108 ,75 ,51 ,32 ,60 ,949 
California,0 ,859 ,"1,521 ","1,028 ","1,002 ",944 ,789 ,704 ,"2,438 ","9,285 "
Colorado,1 ,145 ,442 ,285 ,251 ,196 ,117 ,89 ,158 ,"1,683 "
Connecticut,-,185 ,277 ,176 ,146 ,115 ,78 ,63 ,224 ,"1,264 "
Delaware,11 ,38 ,122 ,43 ,22 ,12 ,6 ,5 ,10 ,258 
Dist. of Columbia,-,-,-,2 ,8 ,8 ,3 ,6 ,108 ,134 
Florida,303 ,"1,348 ","2,146 ",704 ,370 ,188 ,99 ,60 ,91 ,"5,006 "
Georgia,347 ,977 ,"1,246 ",400 ,215 ,113 ,65 ,43 ,101 ,"3,161 "
Hawaii,-,21 ,64 ,59 ,56 ,57 ,34 ,27 ,51 ,369 
Idaho,26 ,101 ,154 ,68 ,36 ,31 ,23 ,15 ,33 ,461 
Illinois,-,457 ,"1,236 ",797 ,669 ,383 ,246 ,193 ,319 ,"4,300 "
Indiana,726 ,457 ,523 ,259 ,169 ,112 ,72 ,48 ,76 ,"1,716 "
Iowa,77 ,119 ,260 ,192 ,142 ,101 ,60 ,49 ,104 ,"1,025 "
Kansas,16 ,250 ,239 ,90 ,65 ,41 ,23 ,19 ,21 ,749 
Kentucky,117 ,277 ,252 ,102 ,71 ,47 ,24 ,18 ,28 ,820 
Louisiana,108 ,204 ,317 ,207 ,177 ,168 ,112 ,91 ,183 ,"1,458 "
Maine,-,44 ,75 ,30 ,27 ,16 ,11 ,7 ,22 ,232 
Maryland,15 ,348 ,572 ,229 ,168 ,123 ,87 ,65 ,225 ,"1,817 "
Massachusetts,56 ,439 ,442 ,314 ,296 ,287 ,217 ,186 ,481 ,"2,663 "
Michigan,35 ,393 ,882 ,517 ,392 ,319 ,237 ,191 ,455 ,"3,385 "
Minnesota,27 ,273 ,465 ,201 ,108 ,71 ,40 ,30 ,70 ,"1,259 "
Mississippi,7 ,263 ,348 ,184 ,127 ,93 ,63 ,43 ,138 ,"1,260 "
Missouri,30 ,525 ,685 ,247 ,155 ,107 ,63 ,40 ,66 ,"1,888 "
Montana,6 ,64 ,105 ,47 ,28 ,20 ,14 ,10 ,21 ,309 
Nebraska,142 ,52 ,96 ,54 ,44 ,41 ,31 ,29 ,70 ,416 
Nevada,5 ,231 ,153 ,75 ,48 ,26 ,12 ,8 ,13 ,566 
New Hampshire,1 ,165 ,101 ,44 ,26 ,16 ,12 ,10 ,27 ,401 
New Jersey,4 ,343 ,618 ,338 ,284 ,254 ,187 ,166 ,537 ,"2,729 "
New Mexico,27 ,187 ,168 ,93 ,84 ,64 ,40 ,30 ,66 ,731 
New York,63 ,342 ,"1,259 ",738 ,545 ,431 ,314 ,260 ,990 ,"4,879 "
North Carolina,132 ,508 ,"1,154 ",551 ,326 ,183 ,96 ,60 ,153 ,"3,030 "
North Dakota,-,35 ,76 ,41 ,31 ,23 ,12 ,8 ,19 ,246 
Ohio,12 ,719 ,"1,226 ",594 ,446 ,338 ,222 ,166 ,413 ,"4,123 "
Oklahoma,20 ,170 ,356 ,191 ,144 ,129 ,94 ,81 ,132 ,"1,299 "
Oregon,3 ,203 ,379 ,182 ,111 ,81 ,56 ,42 ,99 ,"1,152 "
Pennsylvania,19 ,439 ,"1,131 ",676 ,546 ,425 ,272 ,216 ,449 ,"4,153 "
Rhode Island,1 ,29 ,74 ,50 ,62 ,59 ,46 ,44 ,112 ,475 
South Carolina,-,85 ,445 ,405 ,281 ,151 ,48 ,29 ,23 ,"1,465 "
South Dakota,0 ,17 ,87 ,39 ,26 ,19 ,17 ,11 ,24 ,240 
Tennessee,49 ,957 ,729 ,277 ,157 ,107 ,63 ,49 ,90 ,"2,430 "
Texas,92 ,940 ,"2,537 ","1,451 ",995 ,734 ,443 ,328 ,827 ,"8,256 "
Utah,150 ,203 ,335 ,151 ,80 ,52 ,24 ,15 ,14 ,873 
Vermont,6 ,48 ,60 ,25 ,16 ,12 ,6 ,5 ,12 ,185 
Virginia,69 ,318 ,958 ,524 ,336 ,233 ,140 ,94 ,131 ,"2,734 "
Washington,1 ,273 ,553 ,345 ,234 ,188 ,125 ,113 ,371 ,"2,201 "
West Virginia,10 ,128 ,247 ,106 ,68 ,43 ,27 ,18 ,24 ,661 
Wisconsin,3 ,202 ,408 ,381 ,332 ,274 ,170 ,134 ,381 ,"2,283 "
Wyoming,11 ,50 ,114 ,59 ,35 ,20 ,13 ,11 ,24 ,327 
U.S. Total,"3,045 ","15,542 ","26,875 ","14,059 ","10,255 ","7,647 ","5,076 ","4,006 ","10,568 ","94,028 "
Puerto Rico (3),4 ,-,32 ,82 ,58 ,77 ,49 ,19 ,31 ,347 
Grand Total,"3,048 ","15,542 ","26,907 ","14,141 ","10,313 ","7,723 ","5,125 ","4,025 ","10,599 ","94,375 "
