STATE,MAJOR COLLECTOR,,,,,,MINOR COLLECTOR,,,,,,LOCAL,,,,,
,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL,STATE HIGHWAY AGENCY ,COUNTY ,"TOWN, TOWNSHIP, MUNICIPAL (2)",OTHER JURIS- DICTIONS (3),FEDERAL AGENCY (4),TOTAL
Alabama,"3,151 ","14,544 ","1,940 ",-,-,"19,635 ",51 ,"9,985 ",644 ,-,-,"10,680 ",2 ,"71,982 ","7,425 ",272 ,"1,319 ","80,999 "
Alaska,"2,184 ",90 ,203 ,38 ,57 ,"2,572 ","1,191 ",249 ,406 ,18 ,81 ,"1,945 ",946 ,"3,380 ","1,790 ","3,710 ","3,458 ","13,283 "
Arizona,"2,889 ","2,388 ",275 ,13 ,"1,202 ","6,766 ",334 ,"1,544 ",112 ,81 ,958 ,"3,029 ",550 ,"17,963 ","3,502 ","6,409 ","20,315 ","48,739 "
Arkansas,"13,414 ","5,408 ",225 ,-,-,"19,047 ",384 ,"10,361 ",342 ,-,-,"11,087 ",166 ,"88,132 ","6,890 ",-,"3,458 ","98,645 "
California,"1,219 ","16,918 ",294 ,-,585 ,"19,016 ",-,"11,629 ",142 ,21 ,926 ,"12,717 ",-,"72,088 ","1,309 ","1,517 ","14,677 ","89,592 "
Colorado,"2,134 ","5,660 ",174 ,40 ,760 ,"8,768 ",191 ,"11,910 ",378 ,114 ,"1,684 ","14,278 ",33 ,"64,102 ","2,757 ","1,155 ","7,989 ","76,035 "
Connecticut,"1,189 ",-,191 ,-,-,"1,379 ",35 ,-,636 ,-,-,672 ,12 ,-,"5,976 ",425 ,32 ,"6,445 "
Delaware,700 ,-,-,-,-,700 ,443 ,-,-,-,-,443 ,"3,030 ",-,84 ,66 ,116 ,"3,296 "
Dist. of Columbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Florida,652 ,"5,748 ",71 ,-,-,"6,470 ",-,"5,124 ",36 ,-,-,"5,160 ",0 ,"30,973 ","4,026 ",131 ,"2,789 ","37,919 "
