,STATE,STATE MOTOR-FUEL AND MOTOR-VEHICLE RECEIPTS TRANSFERRED TO LOCAL GOVERNMENTS 3/,LOCAL MOTOR-FUEL AND MOTOR-VEHICLE RECEIPTS,LOCAL TOLL REVENUES,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,RECEIPTS AVAILABLE FOR DISTRIBUTION,FOR HIGHWAY PURPOSES,FOR MASS TRANSIT PURPOSES,FOR LOCAL GENERAL PURPOSES,RECEIPTS AVAILABLE FOR DISTRIBUTION,FOR HIGHWAY PURPOSES,FOR MASS TRANSIT PURPOSES,FOR LOCAL GENERAL PURPOSES,RECEIPTS AVAILABLE FOR DISTRIBUTION,FOR HIGHWAY PURPOSES,FOR MASS TRANSIT PURPOSES,FOR LOCAL GENERAL PURPOSES,
1,Alabama,218720,218720,-,-,103055,103055,-,-,-,-,-,-
2,Alaska 3/,-,-,-,-,3477,3477,-,-,-,-,-,-
3,Arizona 3/,240926,240926,-,-,-,-,-,-,-,-,-,-
4,Arkansas 3/,7027,7027,-,-,-,-,-,-,-,-,-,-
5,California,4326542,4326542,-,-,-,-,-,-,424977,353836,71141,-
6,Colorado 3/,627891,627891,-,-,-,-,-,-,162204,162038,-,166
7,Connecticut 3/,62055,62055,-,-,592267,592267,-,-,-,-,-,-
8,Delaware 3/,-,-,-,-,-,-,-,-,-,-,-,-
9,Florida,395899,395899,-,-,640538,640538,-,-,76152,67809,232,8111
10,Georgia 3/,192524,192524,-,-,-,-,-,-,-,-,-,-
11,Hawaii,48437,48437,-,-,221066,221066,-,-,-,-,-,-
12,Idaho,153147,153147,-,-,9574,9574,-,-,-,-,-,-
13,Illinois 3/,474038,474038,-,-,32756,32756,-,-,-,-,-,-
14,Indiana 3/,231020,231020,-,-,51739,51739,-,-,-,-,-,-
15,Iowa,690172,690172,-,-,-,-,-,-,-,-,-,-
16,Kansas 3/,148881,148881,-,-,-,-,-,-,-,-,-,-
17,Kentucky 3/,1542,1542,-,-,28022,28022,-,-,-,-,-,-
18,Louisiana 3/,1579,1579,-,-,22926,22926,-,-,-,-,-,-
19,Maine 3/,77,77,-,-,216249,216249,-,-,3619,3619,-,-
20,Maryland 3/,162529,162529,-,-,-,-,-,-,-,-,-,-
21,Massachusetts 3/,167890,167890,-,-,-,-,-,-,82804,82804,-,-
22,Michigan 3/,36235,36235,-,-,-,-,-,-,1497,1497,-,-
23,Minnesota 3/,821675,821675,-,-,-,-,-,-,-,-,-,-
24,Mississippi 3/,99055,99055,-,-,5947,5947,-,-,-,-,-,-
25,Missouri 3/,258023,258023,-,-,-,-,-,-,-,-,-,-
26,Montana 3/,41429,41429,-,-,16909,16909,-,-,-,-,-,-
27,Nebraska 3/,343987,343987,-,-,19427,19427,-,-,1499,1488,11,-
28,Nevada 3/,3200,3200,-,-,123263,123263,-,-,-,-,-,-
29,New Hampshire 3/,44343,44343,-,-,151848,151848,-,-,-,-,-,-
30,New Jersey 3/,18174,18174,-,-,-,-,-,-,35621,35621,-,-
31,New Mexico,51634,51634,-,-,-,-,-,-,-,-,-,-
32,New York 3/,-,-,-,-,175992,175992,-,-,1678169,573321,1104848,-
33,North Carolina,147189,147189,-,-,27025,27025,-,-,-,-,-,-
34,North Dakota 3/,122021,122021,-,-,-,-,-,-,-,-,-,-
35,Ohio 3/,1133725,1133725,-,-,-,-,-,-,-,-,-,-
36,Oklahoma,875,875,-,-,-,-,-,-,-,-,-,-
37,Oregon 3/,12272,12272,-,-,16127,16127,-,-,6045,5045,1000,-
38,Pennsylvania 3/,323195,323195,-,-,54371,54371,-,-,-,-,-,-
39,Rhode Island,-,-,-,-,552,552,-,-,-,-,-,-
40,South Carolina,1595,1595,-,-,30812,30812,-,-,-,-,-,-
41,South Dakota 3/,1136,1136,-,-,80407,80407,-,-,-,-,-,-
42,Tennessee,291200,291200,-,-,24544,24544,-,-,-,-,-,-
43,Texas,433282,433282,-,-,234013,234013,-,-,778122,742112,-,36010
44,Utah,75915,75915,-,-,46341,12838,-,33503,-,-,-,-
45,Vermont 3/,27052,27052,-,-,-,-,-,-,-,-,-,-
46,Virginia,654617,654617,-,-,179693,179693,-,-,57495,33715,-,23780
47,Washington,445525,445525,-,-,677,677,-,-,6072,6072,-,-
48,West Virginia 3/,10243,10243,-,-,-,-,-,-,1725,1725,-,-
49,Wisconsin 3/,455751,455751,-,-,14635,14635,-,-,81,79,-,2
50,Wyoming 3/,3585,3585,-,-,-,-,-,-,-,-,-,-
51,Total,14007829,14007829,-,-,3124252,3090749,-,33503,3316082,2070781,1177232,68069
