Year,Employee,,,,,Self-employed person,,,,
,"Total, OASDI and HI","Subtotal, OASDI",OASI,DI,HI,"Total, OASDI and HI","Subtotal, OASDI",OASI,DI,HI
1937–1949,30.00,30.00,30.00,. . .,. . .,. . .,. . .,. . .,. . .,. . .
1950,45.00,45.00,45.00,. . .,. . .,. . .,. . .,. . .,. . .,. . .
1951–1953,54.00,54.00,54.00,. . .,. . .,81.00,81.00,81.00,. . .,. . .
1954,72.00,72.00,72.00,. . .,. . .,108.00,108.00,108.00,. . .,. . .
1955–1956,84.00,84.00,84.00,. . .,. . .,126.00,126.00,126.00,. . .,. . .
1957–1958,94.50,94.50,84.00,10.50,. . .,141.75,141.75,126.00,15.75,. . .
1959,120.00,120.00,108.00,12.00,. . .,180.00,180.00,162.00,18.00,. . .
1960–1961,144.00,144.00,132.00,12.00,. . .,216.00,216.00,198.00,18.00,. . .
1962,150.00,150.00,138.00,12.00,. . .,225.60,225.60,207.60,18.00,. . .
1963–1965,174.00,174.00,162.00,12.00,. . .,259.20,259.20,241.20,18.00,. . .
1966,277.20,254.10,231.00,23.10,23.10,405.90,382.80,348.15,34.65,23.10
1967,290.40,257.40,234.30,23.10,33.00,422.40,389.40,354.75,34.65,33.00
1968,343.20,296.40,259.35,37.05,46.80,499.20,452.40,396.825,55.575,46.80
1969,374.40,327.60,290.55,37.05,46.80,538.20,491.40,435.825,55.575,46.80
1970,374.40,327.60,284.70,42.90,46.80,538.20,491.40,427.05,64.35,46.80
1971,405.60,358.80,315.90,42.90,46.80,585.00,538.20,473.85,64.35,46.80
1972,468.00,414.00,364.50,49.50,54.00,675.00,621.00,546.75,74.25,54.00
1973,631.80,523.80,464.40,59.40,108.00,864.00,756.00,670.14,85.86,108.00
1974,772.20,653.40,577.50,75.90,118.80,"1,042.80",924.00,816.42,107.58,118.80
1975,824.85,697.95,616.875,81.075,126.90,"1,113.90",987.00,872.085,114.915,126.90
