Census division and state or area,2000,2010,2013,Total discharges a,Days per discharge,Program payments (thousands of dollars),Program payments per discharge (dollars) b,Total discharges a.1,Days per discharge.1,Program payments (thousands of dollars).1,Program payments per discharge (dollars) b.1,Total discharges a.2,Days per discharge.2,Program payments (thousands of dollars).2,Program payments per discharge (dollars) b.2
Total,,,,,,,,,,,,,,,
All areas,11719960,6.0,81230259,6971,12340835,5.4,116852409.0,9588.0,10749176.0,5.4,116433768.0,11090.0,,,
United States,11574200,6.0,80769047,7019,12284510,5.4,116558944.0,9608.0,10707948.0,5.4,116146810.0,11105.0,,,
New England,563305,5.8,4365878,7797,661465,5.3,6721080.0,10273.0,579425.0,5.4,6983099.0,12296.0,,,
Connecticut,125295,6.2,1097034,8807,165520,5.6,1749223.0,10687.0,139921.0,5.9,1780623.0,12914.0,,,
Maine,69740,5.6,434302,6239,59695,5.1,560261.0,9458.0,53203.0,5.1,551351.0,10567.0,,,
Massachusetts,257720,5.7,2035018,7952,322725,5.2,3232388.0,10133.0,278759.0,5.3,3383126.0,12402.0,,,
New Hampshire,46970,5.6,334202,7167,49645,5.2,500856.0,10165.0,51356.0,5.3,582340.0,11545.0,,,
Rhode Island,37325,6.2,276771,7449,42740,5.9,398337.0,9453.0,35124.0,5.5,398599.0,11725.0,,,
Vermont,26255,5.7,188547,7237,21140,5.3,280014.0,13391.0,21062.0,5.5,287062.0,13912.0,,,
Middle Atlantic,1747960,7.3,14864554,8569,1852945,6.2,18772529.0,10306.0,1484742.0,6.1,17904222.0,12305.0,,,
New Jersey,380730,7.5,3384886,8983,423905,5.9,4427211.0,10565.0,361929.0,5.8,4151613.0,11750.0,,,
New York,750130,8.2,7155309,9625,828675,6.7,9358190.0,11478.0,648149.0,6.7,8828785.0,13906.0,,,
Pennsylvania,617100,6.1,4324358,7036,600365,5.6,4987128.0,8494.0,474664.0,5.5,4923823.0,10548.0,,,
East North Central,2118675,5.7,14097236,6693,2184505,5.2,19845591.0,9196.0,1873800.0,5.1,19253627.0,10469.0,,,
Illinois,580250,5.7,3840706,6672,624800,5.2,5821547.0,9449.0,558095.0,5.1,5758361.0,10513.0,,,
Indiana,291380,5.7,1796295,6198,291055,5.2,2607929.0,9037.0,262092.0,5.2,2586256.0,10042.0,,,
