Year,OASDI,,,Retired workers,Disabled workers,Wives and husbands,Children,Widowed mothers and fathers,Widow(er)s,Parents,Special age-72 beneficiaries,0
,Total,OASI trust fund,DI trust fund,,,,,,,,,0
 ,Number,,,,,,,,,,,0
1940,"222,488","222,488",. . .,"112,331",. . .,"29,749","54,648","20,499","4,437",824,. . .,0
1945,"1,288,107","1,288,107",. . .,"518,234",. . .,"159,168","390,134","120,581","93,781","6,209",. . .,0
1950,"3,477,243","3,477,243",. . .,"1,770,984",. . .,"508,350","699,703","169,438","314,189","14,579",. . .,0
1955,"7,960,616","7,960,616",. . .,"4,473,971",. . .,"1,191,963","1,276,240","291,916","701,360","25,166",. . .,0
1957,"11,128,897","10,979,047","149,850","6,197,532","149,850","1,827,048","1,502,077","328,309","1,095,137","28,944",. . .,0
1960,"14,844,589","14,157,138","687,451","8,061,469","455,371","2,345,983","2,000,451","401,358","1,543,843","36,114",. . .,0
1965,"20,866,767","19,127,716","1,739,051","11,100,584","988,074","2,806,912","3,092,659","471,816","2,371,433","35,289",. . .,0
1966,"22,767,252","20,796,930","1,970,322","11,658,443","1,097,190","2,860,026","3,392,970","487,755","2,602,015","34,540","634,313",0
1970,"26,228,629","23,563,634","2,664,995","13,349,175","1,492,948","2,951,552","4,122,305","523,136","3,227,160","28,729","533,624",0
1975,"32,084,511","27,732,311","4,352,200","16,588,001","2,488,774","3,320,310","4,972,008","581,845","3,888,705","21,444","223,424",0
1980,"35,584,955","30,906,511","4,678,444","19,562,085","2,858,680","3,477,427","4,606,517","562,316","4,410,515","14,779","92,636",0
1985,"37,058,317","33,151,003","3,907,314","22,431,930","2,656,638","3,374,599","3,319,490","371,659","4,862,805","9,541","31,655",0
1990,"39,832,125","35,566,144","4,265,981","24,838,100","3,011,294","3,366,975","3,187,010","303,923","5,111,482","5,908","7,433",0
1991,"40,592,173","36,079,133","4,513,040","25,288,719","3,194,938","3,370,454","3,268,252","300,661","5,158,383","5,467","5,299",0
1992,"41,507,188","36,617,492","4,889,696","25,757,727","3,467,783","3,382,189","3,391,173","294,176","5,205,375","5,083","3,682",0
1993,"42,245,719","36,992,153","5,253,566","26,104,305","3,725,966","3,367,206","3,527,483","289,350","5,224,279","4,673","2,457",0
1994,"42,883,470","37,299,951","5,583,519","26,407,756","3,962,954","3,337,484","3,653,887","283,072","5,232,379","4,318","1,620",0
1995,"43,387,259","37,529,603","5,857,656","26,672,806","4,185,263","3,289,551","3,734,097","275,020","5,225,519","3,976","1,027",0
1996,"43,736,836","37,664,802","6,072,034","26,898,072","4,385,623","3,194,080","3,802,791","242,135","5,209,812","3,670",653,0
1997,"43,971,086","37,818,047","6,153,039","27,274,572","4,508,134","3,129,129","3,771,774","230,222","5,053,442","3,419",394,0
1998,"44,245,731","37,911,161","6,334,570","27,510,535","4,698,319","3,054,073","3,768,928","220,610","4,989,855","3,186",225,0
1999,"44,595,624","38,071,894","6,523,730","27,774,677","4,879,455","2,987,307","3,794,795","212,401","4,943,915","2,931",143,0
2000,"45,414,794","38,741,432","6,673,362","28,498,945","5,042,334","2,963,326","3,802,863","203,052","4,901,437","2,748",89,0
2001,"45,877,506","38,964,263","6,913,243","28,836,774","5,274,183","2,898,861","3,839,381","197,375","4,828,327","2,564",41,0
2002,"46,444,317","39,233,049","7,221,268","29,190,137","5,543,981","2,832,767","3,910,256","194,117","4,770,638","2,400",21,0
2003,"47,038,486","39,443,034","7,595,452","29,531,611","5,873,673","2,772,577","3,960,909","190,252","4,707,215","2,238",21,0
2004,"47,687,693","39,737,824","7,949,869","29,952,465","6,198,271","2,721,657","3,986,319","183,829","4,643,035","2,108",9,0
2005,"48,434,281","40,128,579","8,305,702","30,460,836","6,518,989","2,680,259","4,024,815","178,396","4,568,991","1,992",3,0
2006,"49,122,624","40,510,508","8,612,116","30,976,143","6,806,918","2,632,069","4,040,530","171,453","4,493,620","1,889",2,0
2007,"49,864,838","40,948,624","8,916,214","31,527,728","7,098,723","2,584,884","4,050,691","164,665","4,436,338","1,809",--,0
2008,"50,898,244","41,625,450","9,272,794","32,273,651","7,426,691","2,524,841","4,131,594","159,610","4,380,164","1,693",--,0
2009,"52,522,819","42,828,705","9,694,114","33,514,013","7,788,013","2,501,723","4,230,578","159,870","4,326,976","1,646",--,0
2010,"54,031,968","43,847,811","10,184,157","34,593,080","8,203,951","2,476,836","4,312,554","158,061","4,285,913","1,573",--,0
2011,"55,404,480","44,791,146","10,613,334","35,599,569","8,575,544","2,455,822","4,375,451","156,721","4,239,873","1,500",0,0
2012,"56,758,185","45,868,992","10,889,193","36,720,492","8,826,591","2,443,212","4,419,404","153,628","4,193,431","1,427",0,0
2013,"57,978,610","46,992,611","10,985,999","37,892,659","8,940,950","2,442,308","4,412,620","149,778","4,138,924","1,371",0,0
2014,"59,007,158","48,076,066","10,931,092","39,008,771","8,954,518","2,452,435","4,355,214","142,509","4,092,402","1,309",0,0
 ,Total monthly benefits (thousands of dollars),,,,,,,,,,,0
1940,"4,070","4,070",. . .,"2,539",. . .,361,668,402,90,11,. . .,0
1945,"23,801","23,801",. . .,"12,538",. . .,"2,040","4,858","2,391","1,893",81,. . .,0
1950,"126,857","126,857",. . .,"77,678",. . .,"11,995","19,366","5,801","11,481",535,. . .,0
1955,"411,613","411,613",. . .,"276,942",. . .,"39,416","46,444","13,403","34,152","1,256",. . .,0
1957,"605,455","594,552","10,904","400,250","10,904","62,802","57,952","16,102","55,944","1,501",. . .,0
1960,"936,321","888,320","48,000","596,849","40,668","90,503","93,275","23,795","89,054","2,178",. . .,0
1965,"1,516,802","1,395,817","120,986","931,532","96,599","120,796","159,428","30,882","174,883","2,683",. . .,0
1966,"1,638,548","1,502,863","135,685","983,338","107,627","123,262","175,100","31,983","192,821","2,642","21,777",0
1970,"2,628,326","2,385,926","242,400","1,576,551","196,010","175,323","279,845","45,258","328,245","2,965","24,128",0
1975,"5,727,758","5,047,656","680,102","3,436,752","562,180","332,159","544,048","85,676","747,903","3,685","15,354",0
1980,"10,682,791","9,422,206","1,260,585","6,678,216","1,059,792","569,528","864,242","138,426","1,358,836","4,080","9,672",0
1985,"15,901,579","14,441,682","1,459,896","10,736,304","1,285,375","796,351","858,006","123,557","2,094,003","3,609","4,373",0
1990,"21,686,763","19,716,655","1,970,108","14,966,531","1,768,313","1,004,852","991,628","124,340","2,827,012","2,849","1,238",0
