Effective date,Minimum hourly wage for workers in jobs first covered by—,,,,Production workers in manufacturing ,,0
,1938 act a (dollars,1961 amendments b (dollars,1966 and subsequent amendments ,,Average gross hourly earnings (dollars),Average weekly hours,0
,,,Nonfarm (dollars),Farm (dollars),,,0
October 24, ,,,,,,0
1938,0.25,. . .,. . .,. . .,0.62,35.6,1
1939,0.30,. . .,. . .,. . .,0.63,37.7,1
1945,0.40,. . .,. . .,. . .,1.02,43.5,1
"January 25, 1950",0.75,. . .,. . .,. . .,1.44,40.5,0
"March 1, 1956",1.00,. . .,. . .,. . .,1.95,40.4,0
September 3, ,,,,,,0
1961,1.15,1.00,. . .,. . .,2.32,39.8,1
1963,1.25,1.00,. . .,. . .,2.46,40.5,1
1964,1.25,1.15,. . .,. . .,2.53,40.7,1
1965,1.25,1.25,. . .,. . .,2.61,41.2,1
February 1, ,,,,,,0
1967,1.40,1.40,1.00,1.00,2.83,40.6,1
1968,1.60,1.60,1.15,1.15,3.01,40.7,1
1969,1.60,1.60,1.30,1.30,3.19,40.6,1
1970,1.60,1.60,1.45,1.30,3.36,39.8,1
1971,1.60,1.60,1.60,1.30,3.57,39.9,1
"May 1, 1974",2.00,2.00,1.90,1.60,4.42,40.0,0
January 1, ,,,,,,0
1975,2.10,2.10,2.00,1.80,4.83,39.5,1
1976,2.30,2.30,2.20,2.00,5.22,40.1,1
1977,2.30,2.30,2.30,2.20,5.68,40.3,1
1978,2.65,2.65,2.65,2.65,6.17,40.4,1
1979,2.90,2.90,2.90,2.90,6.70,40.2,1
1980,3.10,3.10,3.10,3.10,7.27,39.7,1
1981,3.35,3.35,3.35,3.35,7.99,39.8,1
1982,3.35,3.35,3.35,3.35,8.49,38.9,1
1983,3.35,3.35,3.35,3.35,8.83,40.1,1
1984,3.35,3.35,3.35,3.35,9.19,40.7,1
1985,3.35,3.35,3.35,3.35,9.54,40.5,1
1986,3.35,3.35,3.35,3.35,9.73,40.7,1
1987,3.35,3.35,3.35,3.35,9.91,41.0,1
1988,3.35,3.35,3.35,3.35,10.19,41.1,1
1989,3.35,3.35,3.35,3.35,10.48,41.0,1
April 1, ,,,,,,0
1990 ,3.80,3.80,3.80,3.80,10.83,40.8,1
1991 ,4.25,4.25,4.25,4.25,11.18,40.7,1
1992 ,4.25,4.25,4.25,4.25,11.46,41.0,1
1993 ,4.25,4.25,4.25,4.25,11.74,41.4,1
1994,4.25,4.25,4.25,4.25,12.07,42.0,1
1995,4.25,4.25,4.25,4.25,12.37,41.6,1
"October 1, 1996 ",4.75,4.75,4.75,4.75,12.77,41.6,0
"September 1, 1997 ",5.15,5.15,5.15,5.15,13.17,42.0,0
January 1, ,,,,,,0
1998 ,5.15,5.15,5.15,5.15,13.45,41.4,1
1999 ,5.15,5.15,5.15,5.15,13.85,41.4,1
2000 ,5.15,5.15,5.15,5.15,14.32,41.3,1
2001 ,5.15,5.15,5.15,5.15,14.76,40.3,1
2002 ,5.15,5.15,5.15,5.15,15.29,40.5,1
2003 ,5.15,5.15,5.15,5.15,15.74,40.4,1
2004 ,5.15,5.15,5.15,5.15,16.14,40.8,1
2005 ,5.15,5.15,5.15,5.15,16.56,40.7,1
2006 ,5.15,5.15,5.15,5.15,16.81,41.1,1
2007 ,5.85,5.85,5.85,5.85,17.26,41.2,1
2008 ,6.55,6.55,6.55,6.55,17.75,40.8,1
2009 ,7.25,7.25,7.25,7.25,18.24,39.8,1
2010 ,7.25,7.25,7.25,7.25,18.61,41.1,1
2011 ,7.25,7.25,7.25,7.25,i 18.9,41.4,1
2012 ,7.25,7.25,7.25,7.25,i 19.0,i 41.,1
2013 ,7.25,7.25,7.25,7.25,i 19.3,i 41.,1
2014 ,7.25,7.25,7.25,7.25,19.56,42.0,1
2015 ,7.25,7.25,7.25,7.25,--,--,1
"SOURCE: Department of Labor, Bureau of Labor Statistics.",,,,,,,0
NOTE: . . . = not applicable; -- = not available.,,,,,,,0
a. The 1938 act was applicable generally to employees engaged in interstate commerce or in the production of goods for interstate commerce.,,,,,,,0
"b. The 1961 amendments extended coverage primarily to employees in large retail and service trades as well as local transit, construction, and gasoline service station employees.",,,,,,,0
"c. The 1966 amendments extended coverage to state and local government employees of hospitals, nursing homes, and schools, and to employees of laundries, dry cleaners, large hotels and motels, restaurants, and farms. Subsequent amendments extended coverage to the remaining federal, state, and local employees not protected in 1966, to certain workers in retail and service trades previously exempted, and to certain domestic workers in private household employment.",,,,,,,0
d. For year in which minimum wage rate changes were effective.,,,,,,,0
"e. A training wage may be paid for a period of 90 days to an employee who has not attained age 20. The training wage was $3.35 per hour effective April 1, 1990, and $3.61 per hour effective April 1, 1991, through March 31, 1993. Effective October 1, 1996, the training wage is $4.25 per hour.",,,,,,,0
"f. Effective July 24, 2007.",,,,,,,0
"g. Effective July 24, 2008.",,,,,,,0
"h. Effective July 24, 2009.",,,,,,,0
i. Revised.,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,0
