Year,Total,Retired-worker and dependents benefits,,,Survivors benefits,,,,Special age-72 beneficiaries,Lump-sum death payments,0
,,Retired workers,Wives and husbands,Children,Children,Widowed mothers and fathers,Widow(er)s ,Parents,,,0
1937,1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,1,0
1938,10,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,10,0
1939,14,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,14,0
1940,35,15,2,b,3,2,b,b,. . .,9,0
1945,274,126,21,2,52,27,20,1,. . .,26,0
1950,961,557,88,6,135,49,89,3,. . .,33,0
1955,"4,968","3,253",466,29,532,163,396,16,. . .,113,0
1956,"5,715","3,793",536,33,581,177,469,17,. . .,109,0
1957,"7,347","4,888",756,43,651,198,653,19,. . .,139,0
1958,"8,327","5,567",851,56,720,223,757,20,. . .,133,0
1959,"9,842","6,548",982,77,855,263,921,25,. . .,171,0
1960,"10,677","7,053","1,051",92,945,286,"1,057",28,. . .,164,0
1961,"11,862","7,802","1,124",106,"1,080",316,"1,232",31,. . .,171,0
1962,"13,356","8,813","1,216",134,"1,171",336,"1,470",34,. . .,183,0
1963,"14,217","9,391","1,258",146,"1,222",348,"1,612",34,. . .,206,0
1964,"14,914","9,854","1,277",150,"1,275",354,"1,754",33,. . .,216,0
1965,"16,737","10,984","1,383",175,"1,515",388,"2,041",35,. . .,217,0
1966,"18,267","11,727","1,429",216,"1,812",415,"2,351",35,44,237,0
1967,"19,468","12,372","1,456",221,"1,855",420,"2,545",34,313,252,0
1968,"22,642","14,278","1,673",253,"2,207",478,"3,117",37,330,269,0
1969,"24,209","15,385","1,750",260,"2,322",490,"3,371",36,303,291,0
1970,"28,796","18,438","2,029",303,"2,760",574,"4,055",39,305,294,0
1971,"33,413","21,544","2,323",352,"3,168",630,"4,763",41,285,306,0
1972,"37,122","24,143","2,532",382,"3,433",679,"5,326",43,263,320,0
