Year,Total,,Widowed,,,,,,Surviving divorced,,0
,,Subtotal,,With at least 1 child under age 16 ,,Entitled solely because of at least 1 disabled child ,,,,,0
,Number,Total monthly benefits (thousands of dollars),Number,Total monthly benefits (thousands of dollars),Number,Total monthly benefits (thousands of dollars),Number,Total monthly benefits (thousands of dollars),Number,Total monthly benefits (thousands of dollars),0
1950,"169,438","5,801","169,426","5,800","169,426","5,800",. . .,. . .,12,c,0
1955,"291,916","13,403","291,656","13,389","291,656","13,389",. . .,. . .,260,14,0
1960,"401,358","23,795","400,976","23,768","394,560","23,383","6,416",385,382,27,0
1965,"471,816","30,882","471,286","30,842","461,011","30,132","10,275",710,530,40,0
1970,"523,136","45,258","521,698","45,127","510,215","44,039","11,483","1,089","1,438",131,0
1971,"535,126","51,163","533,560","51,055","520,301","49,603","13,259","1,402","1,566",158,0
1972,"540,965","62,457","539,153","62,237","526,548","60,612","12,605","1,625","1,812",220,0
1973,"571,907","67,578","565,327","66,823","551,509","64,985","13,818","1,838","6,580",754,0
1974,"573,506","76,980","562,801","75,605","544,335","72,914","18,466","2,692","10,705","1,374",0
1975,"581,845","85,676","565,941","83,435","544,886","80,068","21,075","3,366","15,904","2,241",0
1976,"578,727","92,466","558,933","89,400","537,002","85,637","21,931","3,764","19,794","3,065",0
1977,"583,195","101,345","558,886","97,227","536,481","93,091","22,405","4,136","24,309","4,117",0
1978,"576,343","109,714","548,463","104,506","525,879","100,028","22,584","4,478","27,880","5,209",0
1979,"573,750","121,957","541,480","115,284","518,564","110,235","22,916","5,049","32,270","6,674",0
1980,"562,316","138,426","525,661","129,754","502,639","123,885","23,022","5,869","36,655","8,671",0
1981,"547,593","151,509","507,777","140,990","484,427","134,299","23,350","6,691","39,816","10,518",0
1982,"514,772","155,876","474,003","144,207","451,159","137,068","22,844","7,139","40,769","11,669",0
1983,"400,298","123,559","363,946","112,979","339,367","104,956","24,579","8,022","36,352","10,581",0
1984,"382,411","122,957","346,319","112,002","318,076","102,391","28,243","9,612","36,092","10,995",0
1985,"371,659","123,557","335,085","112,117","306,004","101,812","29,081","10,304","36,574","11,440",0
1986,"350,546","118,602","315,572","107,470","286,290","96,887","29,282","10,583","34,974","11,132",0
1987,"340,940","115,967","307,581","104,888","278,582","93,871","28,999","11,017","33,359","11,079",0
1988,"317,761","116,902","285,265","105,596","256,463","94,096","28,802","11,500","32,496","11,306",0
1989,"312,079","120,970","280,006","109,184","251,646","97,170","28,360","12,014","32,073","11,786",0
1990,"303,923","124,340","272,526","112,103","244,965","99,683","27,561","12,420","31,397","12,237",0
1991,"300,661","127,510","269,679","114,962","242,379","102,085","27,300","12,877","30,982","12,548",0
1992,"294,716","128,748","263,630","115,884","236,990","102,840","26,640","13,045","30,546","12,864",0
1993,"289,350","129,752","259,320","116,771","232,794","103,365","26,526","13,407","30,030","12,981",0
1994,"283,072","131,463","253,928","118,399","227,709","104,658","26,219","13,741","29,144","13,064",0
1995,"275,020","131,430","247,113","118,550","221,494","104,664","25,619","13,886","27,907","12,881",0
1996,"242,135","124,678","218,171","112,627","193,664","98,799","24,507","13,828","23,964","12,051",0
1997,"230,222","122,488","207,658","110,774","184,184","97,120","23,474","13,654","22,564","11,714",0
1998,"220,610","120,247","199,447","109,001","176,660","95,491","22,787","13,510","21,163","11,246",0
1999,"212,401","120,157","192,544","109,195","170,572","95,732","21,972","13,463","19,857","10,962",0
2000,"203,052","120,812","184,397","109,941","164,420","97,063","19,977","12,878","18,655","10,871",0
2001,"197,375","122,526","179,413","111,539","160,186","98,672","19,227","12,867","17,962","10,987",0
2002,"194,117","124,267","176,447","113,097","158,020","100,413","18,427","12,685","17,670","11,170",0
2003,"190,252","126,278","172,955","114,914","154,990","102,158","17,965","12,756","17,297","11,364",0
2004,"183,829","126,734","167,234","115,343","150,681","103,150","16,553","12,193","16,595","11,391",0
2005,"178,396","129,246","162,455","117,756","146,228","105,212","16,227","12,544","15,941","11,490",0
2006,"171,453","129,721","156,304","118,314","140,615","105,653","15,689","12,661","15,149","11,407",0
2007,"164,665","128,742","150,214","117,471","135,146","104,935","15,068","12,536","14,451","11,271",0
2008,"159,610","133,261","145,640","121,615","130,954","108,544","14,686","13,071","13,970","11,646",0
2009,"159,870","134,547","145,784","122,724","130,564","109,017","15,220","13,707","14,086","11,823",0
2010,"158,061","134,179","144,365","122,638","129,239","108,817","15,126","13,821","13,696","11,541",0
2011,"157,516","139,172","143,483","126,884","128,025","112,181","15,458","14,703","14,033","12,288",0
2012,"153,628","138,315","140,253","126,437","125,292","111,830","14,961","14,607","13,375","11,878",0
2013,"149,778","137,450","136,713","125,617","121,846","110,740","14,867","14,877","13,065","11,833",0
2014,"142,509","133,232","130,121","121,726","115,698","106,967","14,423","14,759","12,388","11,506",0
,,,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",0
,,,,,,,,,,NOTE: . . . = not applicable.,0
,,,,,,,,,,"a. Prior to August 1981, benefits were payable to mothers and fathers caring for a child under age 18. For mothers and fathers caring for a child who was at least age 14 and who were entitled in August 1981, benefits were continued until the child attained age 18 or September 1983, whichever came earlier.",0
,,,,,,,,,,b. Excludes mothers and fathers who had both disabled and nondisabled entitled children in their care.,0
,,,,,,,,,,c. Less than $500.,0
,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
