Year,Number (thousands),Average age,Percentage distribution,,,,,,,
,,,"Total, all ages",Under 30,30–39,40–44,45–49,50–54,55–59,60–FRA
 ,Men,,,,,,,,,
1957,121,59.4,100.0,. . .,. . .,. . .,. . .,18.5,29.9,51.6
1958,190,59.5,100.0,. . .,. . .,. . .,. . .,18.2,29.7,52.1
1959,264,59.3,100.0,. . .,. . .,. . .,. . .,19.0,30.7,50.3
1960,356,57.3,100.0,0.5,3.3,3.0,4.9,16.6,26.7,44.9
1965,734,54.4,100.0,1.0,7.5,7.6,10.4,15.4,24.7,33.3
1970,"1,069",53.9,100.0,3.3,6.8,6.9,10.9,15.2,23.2,33.7
1975,"1,711",53.5,100.0,4.6,7.5,6.2,9.7,15.8,23.2,33.0
1980,"1,928",52.9,100.0,4.1,9.6,6.0,8.9,14.3,24.0,33.1
1985,"1,785",51.9,100.0,4.6,12.3,7.3,8.6,12.9,21.4,32.9
1986,"1,827",51.4,100.0,4.9,13.3,7.9,8.9,12.7,20.7,31.5
1987,"1,857",51.1,100.0,4.8,13.8,8.5,9.4,12.5,20.1,30.8
1988,"1,869",50.9,100.0,4.7,14.3,9.0,9.8,12.7,19.6,29.9
1989,"1,906",50.7,100.0,4.5,14.7,9.6,10.3,12.7,19.4,28.8
1990,"1,965",50.4,100.0,4.5,15.2,10.3,10.7,12.7,19.1,27.5
1991,"2,066",50.1,100.0,4.5,15.6,10.7,11.2,13.0,18.6,26.4
1992,"2,221",49.9,100.0,4.6,16.0,11.0,12.0,13.4,18.0,25.0
1993,"2,358",49.6,100.0,4.6,16.2,11.2,12.3,13.9,17.9,23.9
1994,"2,476",49.6,100.0,4.3,16.1,11.4,12.8,14.2,17.8,23.4
1995,"2,573",49.7,100.0,4.0,15.5,11.5,13.4,14.5,18.0,23.2
1996,"2,650",49.9,100.0,3.6,14.8,11.6,13.7,15.0,18.3,22.9
1997,"2,671",50.2,100.0,3.3,13.9,11.6,13.6,15.7,18.9,23.0
1998,"2,741",50.5,100.0,3.1,13.3,11.6,13.7,16.1,19.4,22.9
1999,"2,802",50.6,100.0,2.9,12.6,11.6,13.8,16.7,19.7,22.9
2000,"2,857",50.7,100.0,2.8,11.8,11.5,13.9,17.3,20.0,22.8
2001,"2,952",50.9,100.0,2.9,11.2,11.1,14.0,17.4,20.5,23.0
2002,"3,069",51.0,100.0,3.1,10.5,10.7,14.0,17.2,21.1,23.3
2003,"3,226",51.3,100.0,3.2,9.9,10.4,13.8,17.1,21.4,24.2
2004,"3,373",51.6,100.0,3.2,9.4,9.9,13.8,17.0,21.8,24.9
2005,"3,517",51.9,100.0,3.2,8.9,9.4,13.5,17.0,22.4,25.7
2006,"3,643",52.2,100.0,3.1,8.5,8.9,13.2,17.0,22.4,27.0
2007,"3,774",52.5,100.0,3.1,8.2,8.3,12.8,17.0,21.9,28.6
2008,"3,925",52.7,100.0,3.1,8.1,7.9,12.4,17.1,21.7,29.8
2009,"4,100",52.8,100.0,3.1,8.1,7.5,12.2,17.2,21.8,30.1
2010,"4,310",52.9,100.0,3.1,8.0,7.3,11.8,17.3,22.1,30.4
2011,"4,494",53.1,100.0,3.0,7.9,7.1,11.2,17.2,22.5,31.2
2012,"4,606",53.3,100.0,2.8,7.9,6.9,10.7,17.0,23.1,31.7
2013,"4,642",53.5,100.0,2.6,7.9,6.7,10.2,16.8,23.6,32.2
2014,"4,628",53.7,100.0,2.4,7.9,6.4,9.8,16.4,24.1,33.1
 ,Women,,,,,,,,,
1957,29,57.9,100.0,. . .,. . .,. . .,. . .,25.6,39.2,35.2
1958,48,58.2,100.0,. . .,. . .,. . .,. . .,23.8,37.5,38.6
1959,70,58.4,100.0,. . .,. . .,. . .,. . .,23.4,36.8,39.7
1960,99,56.7,100.0,0.3,3.2,3.2,5.3,19.4,31.4,37.2
1965,254,55.2,100.0,0.6,5.4,6.3,9.8,16.2,27.3,34.3
1970,424,55.0,100.0,1.9,5.1,5.6,10.1,15.9,26.0,35.3
1975,778,54.4,100.0,3.3,6.1,5.3,9.0,16.3,25.5,34.5
