Year,Hospitals,,,Skilled nursing facilities,Home health agencies,Clinical Laboratory Improvement Act/independent laboratories 
,All hospitals,General ,Psychiatric,,,
 ,Facilities,,,,,
1967,"6,829","6,501",328,"4,405","1,890","2,355"
1970,"6,779","6,444",335,"4,494","2,333","2,750"
1975,"6,770","6,383",387,"3,932","2,290","3,174"
1976,"6,774","6,368",406,"3,992","2,353","3,156"
1977,"6,755","6,353",402,"4,461","2,496","3,249"
1978,"6,848","6,432",416,"4,982","2,715","3,384"
1979,"6,780","6,372",408,"5,055","2,858","3,448"
1980,"6,736","6,325",411,"5,155","3,012","3,374"
1981,"6,749","6,335",414,"5,295","3,169","3,511"
1982,"6,737","6,321",416,"5,510","3,627","3,643"
1983,"6,687","6,257",430,"5,760","4,235","3,708"
1984,"6,676","6,228",448,"6,183","5,237","3,890"
1985,"6,710","6,209",501,"6,725","5,932","4,029"
1986,"6,731","6,189",542,"7,148","5,953","4,298"
1987,"6,715","6,130",585,"7,379","5,769","4,487"
1988,"6,658","6,044",614,"7,683","5,673","4,676"
1989,"6,547","5,891",656,"8,688","5,661","4,828"
1990,"6,522","5,848",674,"9,008","5,730","4,881"
1991,"6,471","5,759",712,"10,061","5,963","4,898"
1992,"6,433","5,722",711,"10,910","6,461","4,942"
1993,"6,473","5,738",735,"11,472","7,000","156,117"
1994,"6,414","5,705",709,"12,584","7,827","151,422"
1995,"6,376","5,694",682,"13,452","8,447","156,511"
1996,"6,273","5,627",646,"14,177","9,850","157,876"
1997,"6,293","5,639",654,"14,860","10,807","164,054"
1998,"6,116","5,514",602,"15,032","9,330","166,817"
1999,"5,985","5,415",570,"14,913","7,857","171,018"
2000,"6,031","5,512",519,"14,841","7,099","168,333"
2001,"6,002","5,508",494,"14,755","6,813","173,807"
2002,"6,024","5,537",487,"14,838","6,928","176,947"
2003,"6,057","5,579",478,"14,939","7,138","184,466"
2004,"6,117","5,647",470,"14,986","7,519","189,340"
2005,"6,180","5,707",473,"15,006","8,090","196,296"
2006,"6,177","5,695",482,"15,028","8,618","199,817"
2007,"6,163","5,673",490,"15,054","9,024","206,065"
2008,"6,171","5,680",491,"15,032","9,407","210,872"
2009,"6,172","5,666",506,"15,071","10,184","218,139"
2010,"6,169","5,658",511,"15,084","10,914","224,679"
2011,"6,172","5,663",509,"15,132","11,930","229,611"
2012,"6,170","5,643",527,"15,143","12,253","235,408"
2013,"6,164","5,623",541,"15,156","12,459","244,427"
2014,"6,142","5,591",551,"15,179","12,268","250,247"
 ,Beds,,,,,
1967,"1,141,155","837,211","303,944","308,843",. . .,. . .
1970,"1,190,309","878,509","311,800","325,415",. . .,. . .
1975,"1,136,908","939,717","197,191","287,468",. . .,. . .
1976,"1,169,433","980,805","188,628","332,515",. . .,. . .
1977,"1,130,519","976,465","154,054","381,715",. . .,. . .
1978,"1,154,250","1,015,645","138,605","414,188",. . .,. . .
1979,"1,152,088","1,016,525","135,563","433,715",. . .,. . .
1980,"1,145,245","1,017,794","127,451","448,007",. . .,. . .
1981,"1,152,877","1,032,042","120,835","463,715",. . .,. . .
1982,"1,146,480","1,044,427","102,053","497,056",. . .,. . .
1983,"1,143,544","1,046,674","96,870","519,551",. . .,. . .
1984,"1,146,093","1,050,832","95,261","548,201",. . .,. . .
1985,"1,144,589","1,046,889","97,700",--,. . .,. . .
1986,"1,137,853","1,043,430","94,423","444,326",. . .,. . .
1987,"1,124,928","1,030,556","94,372","449,867",. . .,. . .
1988,"1,115,809","1,022,116","93,693","476,447",. . .,. . .
1989,"1,106,295","1,008,845","97,450","507,475",. . .,. . .
1990,"1,104,703","1,005,480","99,223","512,107",. . .,. . .
1991,"1,102,286","1,003,147","99,139","583,116",. . .,. . .
1992,"1,093,895","997,695","96,200","606,218",. . .,. . .
1993,"1,094,422","994,847","99,575","622,534",. . .,. . .
1994,"1,074,371","985,809","88,562","649,054",. . .,. . .
1995,"1,056,454","970,143","86,311","657,225",. . .,. . .
1996,"1,038,105","955,604","82,501","671,839",. . .,. . .
1997,"1,037,356","954,372","82,984","684,977",. . .,. . .
1998,"1,012,168","934,635","77,533","722,626",. . .,. . .
1999,"993,901","920,326","73,575","836,720",. . .,. . .
2000,"982,616","913,806","68,810","939,364",. . .,. . .
2001,"968,761","901,688","67,073","1,104,978",. . .,. . .
2002,"957,898","897,076","60,822","1,260,625",. . .,. . .
2003,"951,628","894,457","57,171","1,371,815",. . .,. . .
2004,"949,694","894,022","55,672","1,437,254",. . .,. . .
2005,"947,305","892,253","55,052","1,478,277",. . .,. . .
2006,"938,762","884,450","54,312","1,507,368",. . .,. . .
2007,"933,998","796,931","54,251","1,532,267",. . .,. . .
2008,"930,452","876,376","54,076","1,546,721",. . .,. . .
2009,"926,388","870,812","55,576","1,561,299",. . .,. . .
2010,"927,535","871,554","55,981","1,572,511",. . .,. . .
2011,"925,951","872,165","53,786","1,581,549",. . .,. . .
2012,"931,458","876,719","54,739","1,586,378",. . .,. . .
2013,"934,874","879,829","55,045","1,588,797",. . .,. . .
2014,"931,057","874,784","56,273","1,594,927",. . .,. . .
,,,,,,SOURCE: Centers for Medicare & Medicaid Services.
,,,,,,NOTE: . . . = not applicable; -- = not available.
,,,,,,a. Includes short-stay and other long-stay hospitals.
,,,,,,"b. Beginning in 1993, the data include all Clinical Laboratory Improvement Act facilities as of December of each year."
,,,,,,CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.
