Year,Receipts ,,,,,Expenditures,,,,Assets,
,Total,Net payroll tax contributions ,Income from taxation of benefits,Reimbursements from the general fund of the Treasury ,Net interest ,Total,Benefit payments ,Administrative expenses,Transfers to Railroad Retirement program,Net increase during year,Amount at end of year
1957,"8,090","7,527",. . .,. . .,563,"7,567","7,404",164,-2,523,"23,042"
1958,"9,108","8,531",. . .,. . .,577,"8,907","8,576",207,124,201,"23,243"
1959,"9,516","8,943",. . .,. . .,572,"10,793","10,298",234,260,"-1,277","21,966"
1960,"12,445","11,876",. . .,. . .,569,"11,798","11,245",240,314,647,"22,613"
1961,"12,937","12,323",. . .,. . .,614,"13,388","12,749",303,337,-451,"22,162"
1962,"13,699","13,105",. . .,. . .,594,"15,156","14,461",322,372,"-1,457","20,705"
1963,"16,227","15,640",. . .,. . .,587,"16,217","15,427",348,442,10,"20,715"
1964,"17,476","16,843",. . .,. . .,633,"17,020","16,223",375,422,456,"21,172"
1965,"17,857","17,205",. . .,. . .,651,"19,187","18,311",418,459,"-1,331","19,841"
1966,"23,381","22,585",. . .,94,702,"20,913","20,051",393,469,"2,467","22,308"
1967,"26,413","25,424",. . .,94,896,"22,471","21,417",515,539,"3,942","26,250"
1968,"28,493","27,034",. . .,414,"1,045","26,015","24,954",603,458,"2,479","28,729"
1969,"33,346","31,546",. . .,458,"1,342","27,892","26,767",612,513,"5,453","34,182"
1970,"36,993","34,737",. . .,465,"1,791","33,108","31,884",635,589,"3,886","38,068"
1971,"40,908","38,343",. . .,538,"2,027","38,542","37,197",719,626,"2,366","40,434"
1972,"45,622","42,888",. . .,526,"2,208","43,281","41,625",907,749,"2,341","42,775"
1973,"54,787","51,907",. . .,494,"2,386","53,148","51,508",837,802,"1,639","44,414"
1974,"62,066","58,907",. . .,499,"2,660","60,593","58,581","1,082",931,"1,472","45,886"
1975,"67,640","64,259",. . .,515,"2,866","69,184","67,022","1,152","1,010","-1,544","44,342"
1976,"75,034","71,595",. . .,717,"2,722","78,242","75,759","1,244","1,239","-3,209","41,133"
1977,"81,982","78,710",. . .,741,"2,531","87,254","84,667","1,379","1,208","-5,272","35,861"
1978,"91,903","88,883",. . .,757,"2,264","96,018","92,960","1,440","1,618","-4,115","31,746"
1979,"105,864","103,034",. . .,675,"2,155","107,320","104,359","1,483","1,477","-1,456","30,291"
1980,"119,712","116,711",. . .,670,"2,330","123,550","120,598","1,522","1,430","-3,838","26,453"
1981,"142,438","139,364",. . .,843,"2,231","144,352","140,995","1,743","1,614","-1,914","24,539"
1982,"147,913","145,667",. . .,854,"1,391","160,111","156,182","2,109","1,820",f 23,"24,778"
1983,"171,266","156,328",. . .,"6,662","8,276","171,177","166,745","2,153","2,279",89,"24,867"
1984,"186,637","175,019","3,025","5,153","3,440","180,429","175,739","2,264","2,426","6,208","31,075"
1985,"203,540","192,142","3,430","5,227","2,741","190,628","186,075","2,200","2,353","f 11,08","42,163"
1986,"216,833","207,384","3,662","1,916","3,871","201,522","196,667","2,202","2,653","f 4,69","46,861"
1987,"231,039","220,630","3,221","1,850","5,338","209,093","204,106","2,373","2,614","21,946","68,807"
