Year of entitlement,All retired workers,,,,Men,,,,Women,,,,0
,Number,Percentage distribution,Cumulative percentage ,Average monthly benefit (dollars),Number,Percentage distribution,Cumulative percentage ,Average monthly benefit (dollars),Number,Percentage distribution,Cumulative percentage ,Average monthly benefit (dollars),0
Total,"39,008,771",100.0,. . .,"1,328.58","19,601,843",100.0,. . .,"1,488.07","19,406,928",100.0,. . .,"1,167.49",1
2014,"2,542,907",6.5,6.5,"1,362.79","1,299,019",6.6,6.6,"1,538.84","1,243,888",6.4,6.4,"1,178.92",0
2013,"2,657,965",6.8,13.3,"1,376.97","1,364,130",7.0,13.6,"1,554.05","1,293,835",6.7,13.1,"1,190.26",0
2012,"2,548,795",6.5,19.9,"1,372.75","1,303,568",6.7,20.2,"1,552.81","1,245,227",6.4,19.5,"1,184.24",0
2011,"2,366,794",6.1,25.9,"1,350.38","1,210,360",6.2,26.4,"1,525.19","1,156,434",6.0,25.5,"1,167.41",0
2010,"2,367,257",6.1,32.0,"1,357.73","1,221,990",6.2,32.6,"1,532.88","1,145,267",5.9,31.4,"1,170.83",0
2009,"2,423,708",6.2,38.2,"1,355.42","1,260,540",6.4,39.1,"1,532.77","1,163,168",6.0,37.3,"1,163.23",0
2008,"1,969,235",5.0,43.3,"1,359.40","1,006,021",5.1,44.2,"1,542.49","963,214",5.0,42.3,"1,168.17",0
2007,"1,729,915",4.4,47.7,"1,355.70","880,923",4.5,48.7,"1,538.89","848,992",4.4,46.7,"1,165.63",0
2006,"1,652,532",4.2,51.9,"1,344.54","838,597",4.3,53.0,"1,526.24","813,935",4.2,50.9,"1,157.34",0
2005,"1,628,083",4.2,56.1,"1,326.00","826,986",4.2,57.2,"1,499.02","801,097",4.1,55.0,"1,147.39",0
2004,"1,502,162",3.9,60.0,"1,332.34","765,636",3.9,61.1,"1,511.09","736,526",3.8,58.8,"1,146.53",0
2003,"1,387,599",3.6,63.5,"1,342.18","712,668",3.6,64.7,"1,520.52","674,931",3.5,62.3,"1,153.87",0
2002,"1,352,525",3.5,67.0,"1,340.08","700,970",3.6,68.3,"1,513.98","651,555",3.4,65.6,"1,152.98",0
2001,"1,266,667",3.2,70.2,"1,313.46","656,394",3.3,71.7,"1,475.24","610,273",3.1,68.8,"1,139.46",0
2000,"1,331,862",3.4,73.6,"1,338.12","702,360",3.6,75.2,"1,504.52","629,502",3.2,72.0,"1,152.46",0
1999,"1,127,299",2.9,76.5,"1,288.55","580,098",3.0,78.2,"1,436.78","547,201",2.8,74.8,"1,131.41",0
1998,"1,008,737",2.6,79.1,"1,259.67","509,317",2.6,80.8,"1,395.38","499,420",2.6,77.4,"1,121.27",0
1997,"945,279",2.4,81.5,"1,256.36","473,067",2.4,83.2,"1,385.56","472,212",2.4,79.9,"1,126.91",0
1996,"896,354",2.3,83.8,"1,255.49","442,417",2.3,85.5,"1,374.33","453,937",2.3,82.2,"1,139.67",0
1995,"821,213",2.1,85.9,"1,260.66","414,185",2.1,87.6,"1,372.50","407,028",2.1,84.3,"1,146.85",0
1994,"767,496",2.0,87.9,"1,265.02","381,964",1.9,89.5,"1,372.79","385,532",2.0,86.3,"1,158.24",0
1993,"706,332",1.8,89.7,"1,263.20","347,583",1.8,91.3,"1,362.00","358,749",1.8,88.1,"1,167.49",0
1992,"654,117",1.7,91.4,"1,265.97","318,005",1.6,92.9,"1,356.99","336,112",1.7,89.9,"1,179.85",0
1991,"573,734",1.5,92.9,"1,266.13","272,935",1.4,94.3,"1,349.94","300,799",1.5,91.4,"1,190.09",0
1990,"510,784",1.3,94.2,"1,268.89","233,049",1.2,95.5,"1,350.67","277,735",1.4,92.8,"1,200.28",0
