Census division and state or area,Total Medicare enrollees,Medicare Part D,,,,Retiree drug subsidy (RDS) ,Other creditable coverage d (no Part D plan or RDS,"No Part D plan, RDS, or other creditable coverage",0
,,Total,Full low- income subsidy ,Partial low-income subsidy ,No low- income subsidy,,,,0
Total,,,,,,,,,2
All areas,"52,456,086","35,744,630","11,045,256","405,995","24,293,379","3,276,023","5,871,025","7,564,408",3
United States,"51,273,700","35,173,006","11,027,374","405,628","23,740,004","3,257,460","5,807,012","7,036,222",3
New England,"2,626,295","1,716,922","656,708","13,815","1,046,399","262,388","290,338","356,647",0
Connecticut,"607,980","417,370","158,173",600,"258,597","57,124","61,890","71,596",1
Maine,"290,868","199,084","97,824",310,"100,950","10,422","33,636","47,726",1
Massachusetts,"1,158,122","741,845","287,389","7,767","446,689","149,772","120,537","145,968",1
New Hampshire,"249,977","139,068","39,171","1,952","97,945","25,547","35,018","50,344",1
Rhode Island,"195,555","142,110","44,571","1,925","95,614","5,763","24,006","23,676",1
Vermont,"123,793","77,445","29,580","1,261","46,604","13,760","15,251","17,337",1
Middle Atlantic,"7,078,314","5,088,800","1,567,905","56,442","3,464,453","470,895","643,926","874,693",0
New Jersey,"1,430,381","983,038","248,024","12,519","722,495","104,063","139,707","203,573",1
New York,"3,210,858","2,349,654","856,954","20,006","1,472,694","231,631","261,328","368,245",1
Pennsylvania,"2,437,075","1,756,108","462,927","23,917","1,269,264","135,201","242,891","302,875",1
East North Central,"7,930,260","5,509,592","1,481,139","57,291","3,971,162","621,693","742,705","1,056,270",0
Illinois,"1,981,597","1,235,322","394,044","14,939","826,339","262,019","196,341","287,915",1
Indiana,"1,094,134","764,443","202,637","9,536","552,270","73,496","114,195","142,000",1
Michigan,"1,805,155","1,324,027","331,822","13,532","978,673","121,442","138,699","220,987",1
Ohio,"2,055,381","1,529,287","382,327","15,750","1,131,210","106,913","189,744","229,437",1
Wisconsin,"993,993","656,513","170,309","3,534","482,670","57,823","103,726","175,931",1
West North Central,"3,521,902","2,479,876","609,656","26,124","1,844,096","156,232","435,734","450,060",0
Iowa,"548,723","402,553","89,658","3,460","309,435","22,587","63,202","60,381",1
Kansas,"465,410","314,368","75,400","3,790","235,178","13,334","64,504","73,204",1
Minnesota,"862,110","625,946","145,669","4,996","475,281","41,790","99,763","94,611",1
Missouri,"1,085,877","758,257","212,836","10,159","535,262","57,023","125,570","145,027",1
Nebraska,"298,077","201,144","46,093","1,975","153,076","15,051","43,171","38,711",1
North Dakota,"114,377","79,988","17,506",776,"61,706","2,436","15,765","16,188",1
South Dakota,"147,328","97,620","22,494",968,"74,158","4,011","23,759","21,938",1
South Atlantic,"10,507,095","6,920,382","2,212,746","93,481","4,614,155","700,918","1,330,008","1,555,787",0
Delaware,"168,106","116,226","28,872","1,390","85,964","10,283","19,291","22,306",1
District of Columbia,"84,489","45,912","29,822",156,"15,934","3,113","9,150","26,314",1
