Year,Estimated number of workers covered per month (millions),Benefits paid during year (millions of dollars),,,,,,Cost of program as a percentage of covered payroll ,Benefits as a percentage of covered payroll ,0
,,Total,Type of insurance,,,Type of benefits,,,,0
,,,Private carriers ,State and federal funds ,Employers' self-insurance ,Medical and hospitalization,Compensation payments,,,0
1940,24.6,256,135,73,48,95,161,1.19,0.72,0
1946,32.7,434,270,96,68,140,294,0.91,0.54,0
1948,36.0,534,335,121,78,175,359,0.96,0.51,0
1949,35.3,566,353,132,81,185,381,0.98,0.55,0
1950,36.9,615,381,149,85,200,415,0.89,0.54,0
1951,38.7,709,444,170,94,233,476,0.90,0.54,0
1952,39.4,785,491,193,101,260,525,0.94,0.55,0
1953,40.7,841,524,210,107,280,561,0.97,0.55,0
1954,39.8,876,540,225,110,308,568,0.98,0.57,0
1955,41.4,916,563,238,115,325,591,0.91,0.55,0
1956,43.0,"1,002",618,259,125,350,652,0.92,0.55,0
1957,43.3,"1,062",661,271,130,360,702,0.91,0.56,0
1958,42.5,"1,112",694,285,132,375,737,0.91,0.58,0
1959,44.0,"1,210",753,316,141,410,800,0.89,0.58,0
1960,44.9,"1,295",810,325,160,435,860,0.93,0.59,0
1961,45.0,"1,374",851,347,176,460,914,0.95,0.61,0
1962,46.2,"1,489",924,371,194,495,994,0.96,0.62,0
1963,47.3,"1,582",988,388,207,525,"1,057",0.99,0.62,0
1964,48.8,"1,707","1,070",412,226,565,"1,142",1.00,0.63,0
1965,50.8,"1,814","1,124",445,244,600,"1,214",1.00,0.61,0
1966,53.7,"2,000","1,239",486,275,680,"1,320",1.02,0.61,0
1967,55.0,"2,189","1,363",524,303,750,"1,439",1.07,0.63,0
1968,56.8,"2,376","1,482",556,338,830,"1,546",1.07,0.62,0
1969,59.0,"2,634","1,641",607,386,920,"1,714",1.08,0.62,0
1970,59.2,"3,031","1,843",755,432,"1,050","1,981",1.11,0.66,0
1971,59.4,"3,563","2,005","1,098",460,"1,130","2,433",1.11,0.67,0
1972,62.3,"4,061","2,179","1,379",504,"1,250","2,811",1.14,0.68,0
1973,66.3,"5,103","2,514","1,998",592,"1,480","3,623",1.17,0.70,0
1974,68.0,"5,781","2,971","2,086",724,"1,760","4,021",1.24,0.75,0
1975,67.2,"6,598","3,422","2,324",852,"2,030","4,568",1.32,0.83,0
1976,69.6,"7,584","3,976","2,570","1,039","2,380","5,204",1.49,0.87,0
1977,72.1,"8,630","4,629","2,750","1,250","2,680","5,950",1.71,0.92,0
1978,75.6,"9,796","5,256","3,043","1,497","2,980","6,816",1.86,0.94,0
1979,78.6,"12,027","6,157","4,022","1,848","3,520","8,507",1.95,1.01,0
1980,78.8,"13,618","7,029","4,330","2,259","3,947","9,671",1.96,1.07,0
1981,78.3,"15,054","7,876","4,595","2,583","4,431","10,623",1.85,1.08,0
1982,77.0,"16,407","8,647","4,768","2,993","5,058","11,349",1.75,1.16,0
1983,78.0,"17,575","9,265","5,061","3,249","5,681","11,894",1.67,1.17,0
1984,81.9,"19,685","10,610","5,405","3,671","6,424","13,261",1.66,1.21,0
1985,84.3,"22,217","12,341","5,744","4,132","7,498","14,719",1.82,1.30,0
1986,86.0,"24,613","13,827","6,248","4,538","8,642","15,971",1.99,1.37,0
1987,88.4,"27,318","15,453","6,782","5,082","9,912","17,406",2.07,1.43,0
1988,91.3,"30,733","17,512","7,477","5,744","11,518","19,215",2.16,1.49,0
1989,93.7,"34,316","19,918","7,965","6,433","13,424","20,892",2.04,1.46,0
1990,95.1,"38,238","22,222","8,658","7,358","15,187","23,051",2.13,1.57,0
1991,93.6,"42,169","24,515","9,711","7,944","16,832","25,337",2.16,1.65,0
1992,94.6,"44,660","24,030","10,987","9,643","18,252","26,408",2.13,1.69,0
1993,96.1,"42,925","21,773","11,294","9,857","17,521","25,403",2.17,1.62,0
1994,109.4,"43,482","21,391","10,564","11,527","17,194","26,288",2.05,1.47,0
1995,112.8,"42,122","20,106","10,784","11,232","16,733","25,389",1.83,1.35,0
1996,114.8,"41,960","21,024","11,108","9,828","16,739","25,221",1.62,1.26,0
1997,118.1,"41,971","21,676","9,937","10,357","17,397","24,574",1.51,1.17,0
1998,121.5,"43,987","23,579","10,055","10,354","18,622","25,365",1.42,1.13,0
1999,124.3,"46,313","26,383","9,945","9,985","20,055","26,258",1.36,1.12,0
2000,127.1,"47,699","26,874","10,345","10,481","20,933","26,766",1.35,1.06,0
2001,127.0,"50,827","27,905","11,082","11,839","23,137","27,690",1.46,1.10,0
2002,125.6,"52,297","28,085","12,293","11,920","24,203","28,094",1.61,1.13,0
2003,124.7,"54,739","28,395","13,627","12,717","25,733","29,006",1.74,1.16,0
2004,125.9,"56,149","28,632","14,402","13,115","26,079","30,070",1.74,1.13,0
2005,128.2,"57,067","29,039","14,318","13,710","26,361","30,706",1.72,1.09,0
2006,130.3,"54,896","27,946","13,825","13,125","26,206","28,690",1.58,0.99,0
2007,131.7,"56,385","29,410","13,493","13,482","27,105","29,280",1.48,0.96,0
2008,130.6,"58,750","30,725","13,771","14,255","28,987","29,763",1.35,0.99,0
2009 ,124.9,"58,752","31,330","13,450","13,972","28,601","30,152",1.30,1.04,0
