"Age, sex, and race",2000,,,2010,,,2013,,,2014,,
,Total,Fee for service,Managed care,Total,Fee for service,Managed care,Total,Fee for service,Managed care,Total,Fee for service,Managed care
 ,Hospital Insurance and/or Supplementary Medical Insurance,,,,,,,,,,,
Total,"34,247","27,840","6,407","39,631","29,291","10,340","43,614","30,716","12,897","45,073","30,961","14,112"
Age,,,,,,,,,,,,
65–69,"9,166","7,360","1,806","12,096","9,046","3,050","14,121","10,224","3,897","14,825","10,544","4,282"
70–74,"8,609","6,878","1,731","9,138","6,602","2,536","10,431","7,068","3,363","10,875","7,151","3,724"
75–79,"7,284","5,902","1,381","7,169","5,146","2,023","7,526","5,135","2,391","7,751","5,142","2,609"
80–84,"4,868","4,010",859,"5,617","4,145","1,472","5,592","3,887","1,704","5,581","3,765","1,817"
85 or older,"4,320","3,690",630,"5,612","4,352","1,259","5,945","4,402","1,543","6,040","4,360","1,680"
Sex,,,,,,,,,,,,
Men,"14,109","11,421","2,688","17,167","12,770","4,398","19,192","13,680","5,512","19,910","13,888","6,022"
Women,"20,138","16,419","3,719","22,464","16,521","5,943","24,421","17,036","7,385","25,163","17,073","8,090"
Race,,,,,,,,,,,,
White,"29,752","24,251","5,502","33,581","25,020","8,561","36,448","25,937","10,512","37,428","26,031","11,396"
Black,"2,720","2,204",516,"3,330","2,332",999,"3,728","2,456","1,272","3,895","2,472","1,423"
All other races,"1,682","1,305",377,"2,624","1,857",767,"3,059","2,024","1,035","3,232","2,059","1,174"
American Indian or Alaska Native,42,39,3,143,124,18,161,139,22,168,143,25
Asian or Pacific Islander,494,386,108,848,632,216,"1,006",694,312,"1,073",709,364
Hispanic,710,555,155,884,584,301,"1,003",611,393,"1,054",609,445
Other,436,324,112,749,516,232,888,580,308,938,598,340
Unknown,92,81,12,95,82,13,379,300,78,518,399,119
 ,Hospital Insurance,,,,,,,,,,,
Total,"33,827","27,429","6,398","39,283","28,954","10,330","43,285","30,411","12,874","44,740","30,654","14,087"
Age,,,,,,,,,,,,
65–69,"9,074","7,269","1,804","12,000","8,954","3,047","14,030","10,143","3,887","14,729","10,458","4,272"
70–74,"8,505","6,776","1,729","9,063","6,529","2,534","10,360","7,003","3,357","10,805","7,086","3,718"
75–79,"7,188","5,809","1,379","7,106","5,085","2,021","7,466","5,079","2,387","7,691","5,086","2,605"
80–84,"4,805","3,947",857,"5,564","4,093","1,470","5,544","3,843","1,702","5,535","3,721","1,814"
85 or older,"4,256","3,627",629,"5,551","4,293","1,258","5,885","4,344","1,540","5,980","4,303","1,677"
Sex,,,,,,,,,,,,
Men,"13,976","11,291","2,685","17,054","12,660","4,394","19,083","13,580","5,503","19,798","13,786","6,012"
Women,"19,851","16,138","3,713","22,230","16,293","5,936","24,202","16,831","7,371","24,942","16,867","8,075"
Race,,,,,,,,,,,,
White,"29,565","24,068","5,497","33,444","24,889","8,554","36,316","25,823","10,493","37,294","25,917","11,377"
Black,"2,668","2,153",515,"3,283","2,287",997,"3,683","2,414","1,269","3,848","2,429","1,420"
All other races,"1,508","1,133",374,"2,469","1,703",766,"2,924","1,890","1,034","3,101","1,928","1,172"
American Indian or Alaska Native,40,37,3,140,121,18,157,135,22,164,139,25
Asian or Pacific Islander,406,300,106,769,553,215,933,622,311,"1,001",638,363
Hispanic,656,502,154,837,537,300,960,567,393,"1,012",567,445
Other,405,294,111,724,492,232,873,566,308,924,585,340
Unknown,87,75,12,87,74,13,362,284,78,497,380,118
 ,Supplementary Medical Insurance,,,,,,,,,,,
Total,"32,585","26,178","6,407","36,768","26,429","10,340","40,047","27,150","12,897","41,358","27,247","14,112"
Age,,,,,,,,,,,,
65–69,"8,330","6,525","1,806","10,382","7,332","3,050","11,930","8,033","3,897","12,547","8,265","4,282"
70–74,"8,256","6,525","1,731","8,625","6,089","2,536","9,741","6,378","3,363","10,139","6,414","3,724"
75–79,"7,087","5,705","1,381","6,919","4,896","2,023","7,256","4,865","2,391","7,469","4,860","2,609"
80–84,"4,780","3,922",859,"5,474","4,002","1,472","5,433","3,729","1,704","5,419","3,602","1,817"
85 or older,"4,131","3,501",630,"5,368","4,109","1,259","5,688","4,145","1,543","5,785","4,105","1,680"
Sex,,,,,,,,,,,,
Men,"13,203","10,515","2,688","15,579","11,182","4,397","17,186","11,674","5,512","17,806","11,784","6,022"
Women,"19,382","15,663","3,719","21,189","15,247","5,943","22,861","15,476","7,385","23,553","15,463","8,090"
Race,,,,,,,,,,,,
White,"28,428","22,927","5,502","31,316","22,755","8,561","33,669","23,157","10,512","34,557","23,161","11,396"
Black,"2,543","2,027",516,"3,061","2,062",998,"3,405","2,133","1,272","3,557","2,134","1,423"
All other races,"1,542","1,164",377,"2,327","1,560",767,"2,685","1,650","1,035","2,839","1,665","1,174"
American Indian or Alaska Native,39,36,3,128,109,18,141,119,22,147,122,25
Asian or Pacific Islander,470,362,108,766,550,216,896,584,312,953,589,364
Hispanic,665,510,155,799,498,301,897,504,393,943,498,445
Other,368,257,112,635,402,232,752,443,308,796,456,340
Unknown,71,60,12,64,51,13,288,210,78,406,287,119
,,,,,,,,,,,,SOURCE: Centers for Medicare & Medicaid Services.
,,,,,,,,,,,,"NOTES: Characterization of beneficiaries as to Medicare status and demographic categories may differ from that in other tables on enrollment, and in prior editions of this table, because of differences in sources and methodology.
          Totals do not necessarily equal the sum of rounded components.
"
,,,,,,,,,,,,CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.
