Year,Average monthly Social Security benefit in current-payment status,,,,Average monthly Supplemental Security Income amount for—,,Consumer Price Index ,0
,Retired workers,,Widowed mother or father and 2 children,,Aged recipients ,,,0
,Current dollars,2014 dollars,Current dollars,2014 dollars,Current dollars,2014 dollars,,0
1950,43.86,411.93,93.90,881.91,43.05,404.33,25.0,0
1951,42.14,373.38,93.80,831.10,44.55,394.73,26.5,0
1952,49.25,433.10,106.00,932.16,48.80,429.15,26.7,0
1953,51.10,446.03,111.90,976.73,48.90,426.83,26.9,0
1954,59.14,520.08,130.50,"1,147.62",48.70,428.27,26.7,0
1955,61.90,542.32,135.40,"1,186.27",50.05,438.50,26.8,0
1956,63.09,536.72,141.00,"1,199.52",53.25,453.01,27.6,0
1957,64.58,533.92,146.30,"1,209.55",55.50,458.85,28.4,0
1958,66.35,539.07,151.70,"1,232.50",56.95,462.69,28.9,0
1959,72.78,581.25,170.70,"1,363.28",56.70,452.83,29.4,0
1960,74.04,583.38,188.00,"1,481.29",58.90,464.08,29.8,0
1961,75.65,592.09,189.30,"1,481.59",57.60,450.82,30.0,0
1962,76.19,588.47,190.70,"1,472.91",61.55,475.39,30.4,0
1963,76.88,584.19,192.50,"1,462.75",62.80,477.20,30.9,0
1964,77.57,583.76,193.40,"1,455.46",63.65,479.01,31.2,0
1965,83.92,619.64,219.80,"1,622.93",63.10,465.91,31.8,0
1966,84.35,601.99,221.90,"1,583.65",68.05,485.66,32.9,0
1967,85.37,591.29,224.40,"1,554.25",70.15,485.88,33.9,0
1968,98.86,653.87,257.10,"1,700.48",69.55,460.01,35.5,0
1969,100.40,625.30,255.80,"1,593.15",73.90,460.26,37.7,0
1970,118.10,696.73,291.10,"1,717.34",77.65,458.10,39.8,0
1971,132.17,755.07,320.00,"1,828.13",77.50,442.75,41.1,0
1972,162.35,896.94,383.10,"2,116.51",79.95,441.70,42.5,0
1973,166.42,845.79,391.00,"1,987.16",76.15,387.01,46.2,0
1974,188.21,851.48,438.40,"1,983.36",91.06,411.96,51.9,0
1975,207.18,876.50,468.60,"1,982.47",90.93,384.69,55.5,0
