Size of estimate (inflated),Standard error,0
1 percent file,,0
500,250,0
"1,000",300,0
"2,500",500,0
"5,000",800,0
"7,500",900,0
"10,000","1,100",0
"25,000","1,700",0
"50,000","2,400",0
"75,000","3,000",0
"100,000","3,400",0
"250,000","5,400",0
"500,000","7,800",0
"750,000","9,600",0
"1,000,000","11,100",0
"5,000,000","25,800",0
"10,000,000","36,900",0
"25,000,000","57,700",0
"50,000,000","76,100",0
"75,000,000","82,900",0
10 percent file,,0
100,30,0
500,70,0
"1,000",100,0
"5,000",225,0
"10,000",300,0
"50,000",700,0
"100,000","1,000",0
"500,000","2,200",0
"1,000,000","3,200",0
"2,000,000","4,300",0
"3,000,000","5,300",0
"5,000,000","6,500",0
"10,000,000","8,500",0
"20,000,000","9,300",0
 ,,0
