Year,Widowed mothers and fathers,Nondisabled,,Parents,Children,,,,Disabled,
,,Widows,Widowers,,Total,Under age 18,Disabled adult children,Students,Widows,Widowers
1940,19.61,20.28,. . .,13.09,12.22,12.22,. . .,. . .,. . .,. . .
1941,19.50,20.22,. . .,12.97,12.19,12.19,. . .,. . .,. . .,. . .
1942,19.57,20.15,. . .,13.05,12.24,12.24,. . .,. . .,. . .,. . .
1943,19.72,20.15,. . .,13.11,12.31,12.31,. . .,. . .,. . .,. . .
1944,19.80,20.17,. . .,13.08,12.38,12.38,. . .,. . .,. . .,. . .
1945,19.83,20.19,. . .,13.06,12.45,12.45,. . .,. . .,. . .,. . .
1950,34.24,36.54,37.23,36.69,28.43,28.43,. . .,. . .,. . .,. . .
1951,33.24,36.04,30.03,36.68,28.05,28.05,. . .,. . .,. . .,. . .
1952,36.13,40.67,33.09,41.33,31.30,31.30,. . .,. . .,. . .,. . .
1953,37.49,40.88,34.08,41.96,32.28,32.28,. . .,. . .,. . .,. . .
1954,44.52,46.28,39.27,47.44,37.01,37.01,. . .,. . .,. . .,. . .
1955,45.91,48.70,46.51,49.93,38.12,38.12,. . .,. . .,. . .,. . .
1956,47.35,50.14,47.11,50.78,39.36,39.36,. . .,. . .,. . .,. . .
1957,49.05,51.09,47.77,51.87,40.85,40.78,48.38,. . .,. . .,. . .
1958,50.53,51.91,48.84,52.83,42.10,41.98,49.63,. . .,. . .,. . .
1959,57.37,56.73,53.28,58.86,47.48,47.34,52.89,. . .,. . .,. . .
1960,59.29,57.69,53.81,60.31,51.37,51.29,54.10,. . .,. . .,. . .
1961,59.38,64.92,61.66,67.15,52.74,52.64,55.50,. . .,. . .,. . .
1962,59.38,65.88,62.12,68.18,53.57,53.47,55.99,. . .,. . .,. . .
1963,59.43,66.85,63.17,69.11,54.33,54.23,56.58,. . .,. . .,. . .
1964,59.40,67.85,63.49,70.05,54.99,54.87,57.27,. . .,. . .,. . .
1965,65.46,73.75,69.68,76.03,61.26,60.21,62.14,72.98,. . .,. . .
1966,65.59,74.11,70.52,76.52,61.84,60.37,62.67,71.71,. . .,. . .
1967,65.86,74.99,71.22,77.23,62.57,60.99,63.37,72.33,. . .,. . .
1968,74.93,86.54,82.14,88.21,70.85,68.90,73.11,81.76,72.27,72.40
1969,75.06,87.48,83.08,88.96,71.10,69.11,73.77,81.93,71.02,66.50
1970,86.51,102.02,96.50,103.21,82.23,79.82,85.79,94.77,81.99,73.10
1971,95.61,113.57,106.13,114.26,90.94,88.12,95.03,104.80,90.11,83.10
1972,115.45,138.19,127.98,138.95,110.36,106.87,115.25,126.63,109.50,98.80
1973,118.20,157.40,146.70,140.60,111.70,108.20,116.20,128.50,111.20,101.70
1974,134.20,177.30,164.30,157.50,126.48,122.52,130.33,144.79,125.90,118.60
1975,147.25,193.92,178.27,171.86,139.40,135.00,142.26,157.81,137.70,128.10
1976,159.77,208.99,191.78,185.07,151.94,147.49,152.88,169.80,147.00,133.80
1977,173.80,224.30,177.10,198.30,a 165.7,a 161.5,a 163.6,a 183.1,156.20,131.60
1978,190.40,241.40,186.10,214.00,182.20,178.30,176.20,200.80,165.70,129.70
1979,212.60,269.80,209.00,238.70,205.60,201.70,195.90,226.60,180.80,133.40
1980,246.20,311.50,239.40,276.00,239.50,235.30,226.40,265.40,205.40,145.70
1981,276.70,349.80,266.80,310.40,270.90,265.70,254.00,301.70,227.20,158.80
1982,302.80,379.30,285.60,335.40,285.40,291.50,279.90,260.70,242.80,165.50
1983,308.70,397.10,295.70,349.80,298.00,307.20,289.00,233.40,251.10,166.20
1984,321.50,416.10,306.80,363.90,314.30,320.70,302.60,257.20,307.70,190.70
1985,332.50,434.00,317.80,378.20,330.50,332.60,315.50,360.80,316.60,191.80
1986,338.30,444.90,324.80,386.30,336.80,338.70,323.10,375.70,321.30,195.50
1987,352.70,468.90,340.60,407.30,352.40,353.90,340.00,400.10,335.60,202.30
1988,367.90,493.40,359.50,428.40,367.60,368.00,357.40,424.70,350.00,211.30
1989,387.60,522.60,382.00,453.50,384.90,384.30,378.10,447.90,368.90,223.60
1990,409.10,557.40,408.40,482.20,405.50,403.80,402.50,471.00,391.30,238.40
1991,424.10,584.50,428.00,506.10,420.10,417.00,421.50,486.20,409.40,260.60
1992,437.70,608.70,443.60,526.40,432.30,427.60,438.30,504.10,425.30,273.30
1993,448.40,631.70,461.50,547.20,443.10,437.00,453.70,515.00,436.90,286.20
1994,464.40,656.60,481.40,569.50,456.20,448.70,470.80,532.20,449.20,299.90
1995,477.90,681.20,500.20,590.80,468.70,459.80,487.40,546.50,461.50,307.60
1996,514.90,708.30,520.70,613.50,487.20,478.20,506.10,560.80,474.30,318.00
1997,532.00,732.50,534.50,635.70,500.00,490.10,521.30,569.60,483.90,326.90
1998,545.10,750.30,549.10,651.10,509.60,498.90,532.80,579.90,491.00,332.90
1999,565.70,776.10,572.40,673.90,526.30,515.00,550.40,595.80,503.90,340.30
2000,595.00,811.80,606.90,703.90,550.10,538.30,574.70,628.70,523.80,361.70
2001,620.80,842.50,636.80,728.60,570.80,558.90,595.20,643.60,541.20,374.80
2002,640.20,862.80,662.80,752.70,584.60,572.90,608.40,649.40,553.00,384.70
2003,663.70,889.50,697.70,779.20,603.10,591.40,626.10,667.00,569.10,400.80
2004,689.40,921.90,736.00,809.70,625.30,613.80,647.90,688.10,588.50,416.60
2005,724.50,968.40,785.30,850.60,656.30,644.50,679.40,720.20,615.50,441.50
2006,756.60,"1,009.80",829.10,892.20,683.70,671.10,708.00,747.50,637.40,455.00
2007,781.80,"1,042.60",864.50,918.00,704.30,691.30,728.70,765.20,652.70,468.80
2008,834.90,"1,114.70",937.90,978.90,745.40,737.40,755.20,812.50,691.80,498.00
2009,841.60,"1,125.90",961.50,987.80,747.40,742.30,751.20,805.10,691.50,497.30
2010,848.90,"1,136.40",977.90,998.20,751.80,747.00,755.10,805.40,690.90,498.70
2011,883.54,"1,187.53","1,027.72","1,044.74",783.14,778.04,786.85,839.52,714.29,515.31
2012,900.32,"1,218.45","1,057.42","1,072.76",799.08,792.56,805.03,859.56,723.14,521.97
2013,917.69,"1,247.51","1,084.19","1,094.20",813.80,805.87,822.02,880.44,729.33,526.48
2014,934.90,"1,279.52","1,114.36","1,120.76",830.73,821.39,840.85,904.56,737.33,535.69
,,,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data."
,,,,,,,,,,NOTE: . . . = not applicable.
,,,,,,,,,,a. Estimated.
,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
