Total benefits paid in calendar year 2014, ,0
Hospital Insurance (Part A),$264.9 billion,1
Supplementary Medical Insurance (Part B),$339.6 billion,1
Number of enrollees in July 2014 (one or both of Parts A and B),54.1 million,0
Aged,45.1 million,1
Disabled,9.0 million,1
"Administrative costs, 2014", ,0
Hospital Insurance, ,1
Amount,$4.5 billion,2
As a percentage of total benefits paid,1.7 percent,2
Supplementary Medical Insurance, ,1
Amount,$4.4 billion,2
As a percentage of total benefits paid,1.3 percent,2
