AMW (dollars),April 1952,Sept. 1952,Sept. 1954,January 1959,January 1965,February 1968,January 1970,January 1971,Sept. 1972,June 1974,June 1975,June 1976,June 1977,June 1978,June 1979,June 1980,June 1981,June 1982,Dec. 1983,Dec. 1984,Dec. 1985,Dec. 1986,Dec. 1987,Dec. 1988,Dec. 1989,Dec. 1990,Dec. 1991,Dec. 1992,Dec. 1993,Dec. 1994,Dec. 1995,Dec. 1996,Dec. 1997,Dec. 1998,Dec. 1999,Dec. 2000,Dec. 2001,Dec. 2002,Dec. 2003,Dec. 2004,Dec. 2005,Dec. 2006,Dec. 2007,Dec. 2008,Dec. 2009,Dec. 2010,Dec. 2011,Dec. 2012,Dec. 2013,Dec. 2014
First 110,a 50.0,a 55.0,55.00,58.85,62.97,71.16,81.83,90.01,108.01,119.89,129.48,137.77,145.90,155.38,170.76,195.18,217.04,233.10,241.26,249.70,257.44,260.79,271.74,282.61,295.89,311.87,323.41,333.11,341.77,351.34,360.47,370.93,378.72,383.64,393.23,407.00,417.58,423.43,432.32,443.99,462.19,477.45,488.43,516.76,516.76,516.76,535.36,544.46,552.63,562.02
Next 290,b 15.0,b 15.0,c 20.0,21.40,22.90,25.88,29.76,32.74,39.29,43.61,47.10,50.10,53.06,56.51,62.10,70.98,78.93,84.77,87.74,90.81,93.62,94.84,98.82,102.77,107.60,113.42,117.62,121.15,124.30,127.78,131.10,134.90,137.73,139.52,143.01,148.02,151.87,153.99,157.23,161.47,168.09,173.64,177.63,187.93,187.93,187.93,194.70,198.01,200.98,204.40
Next 150,. . .,. . .,. . .,. . .,21.40,24.18,27.81,30.59,36.71,40.75,44.01,46.82,49.58,52.81,58.04,66.34,73.77,79.23,82.00,84.87,87.50,88.64,92.36,96.05,100.56,105.99,109.91,113.21,116.15,119.40,122.50,126.06,128.71,130.38,133.64,138.32,141.91,143.90,146.92,150.89,157.08,162.26,165.99,175.62,175.62,175.62,181.94,185.03,187.81,191.00
Next 100,. . .,. . .,. . .,. . .,. . .,28.43,32.69,35.96,43.15,47.90,51.73,55.05,58.30,62.09,68.24,78.00,86.74,93.16,96.42,99.79,102.88,104.22,108.60,112.94,118.25,124.64,129.25,133.13,136.59,140.41,144.06,148.24,151.35,153.32,157.15,162.65,166.88,169.22,172.77,177.44,184.71,190.81,195.20,206.52,206.52,206.52,213.95,217.59,220.85,224.60
Next 100,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,24.00,26.64,28.77,30.61,32.42,34.53,37.95,43.38,48.24,51.81,53.62,55.50,57.22,57.96,60.39,62.81,65.76,69.31,71.87,74.03,75.95,78.08,80.11,82.43,84.16,85.26,87.39,90.45,92.80,94.10,96.07,98.67,102.71,106.10,108.54,114.84,114.84,114.84,118.97,120.99,122.80,124.89
Next 250,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,d 20.0,22.20,23.98,25.51,27.02,28.78,31.63,36.15,40.20,43.17,44.68,46.24,47.67,48.29,50.32,52.33,54.79,57.75,59.89,61.69,63.29,65.06,66.75,68.69,70.13,71.04,72.82,75.37,77.33,78.41,80.06,82.22,85.59,88.41,90.45,95.69,95.69,95.69,99.13,100.82,102.33,104.07
Next 175,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,e 20.0,21.60,22.98,24.34,25.92,28.49,32.56,36.21,38.89,40.25,41.66,42.95,43.51,45.34,47.15,49.37,52.04,53.97,55.59,57.04,58.64,60.16,61.91,63.21,64.03,65.63,67.93,69.70,70.67,72.16,74.10,77.14,79.69,81.52,86.25,86.25,86.25,89.36,90.88,92.24,93.81
Next 100,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,21.28,22.54,24.01,26.39,30.16,33.54,36.02,37.28,38.58,39.78,40.30,41.99,43.67,45.72,48.19,49.97,51.47,52.81,54.29,55.70,57.32,58.52,59.28,60.77,62.89,64.53,65.43,66.81,68.61,71.42,73.78,75.48,79.85,79.85,79.85,82.72,84.13,85.39,86.84
Next 100,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,21.18,22.56,24.79,28.33,31.50,33.83,35.01,36.24,37.36,37.85,39.44,41.02,42.95,45.27,46.94,48.35,49.61,51.00,52.33,53.84,54.97,55.69,57.08,59.08,60.61,61.46,62.75,64.44,67.09,69.30,70.89,75.01,75.01,75.01,77.71,79.03,80.22,81.58
Next 100,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.00,21.30,23.41,26.76,29.76,31.96,33.08,34.24,35.30,35.76,37.26,38.75,40.57,42.76,44.34,45.67,46.86,48.17,49.42,50.86,51.93,52.60,53.92,55.81,57.26,58.06,59.28,60.88,63.37,65.46,66.97,70.85,70.85,70.85,73.40,74.65,75.77,77.06
