Year,Number a (thousands,,Wage and salary,,,,,Self-employed,,,,
,,Total in covered employment b (millions of dollars,Reported taxable,,Average per worker (dollars),,Total in covered employment d (millions of dollars,Reported taxable,,Average per worker (dollars),,
,Wage and salary,,Self- employed,Amount c (millions of dollars,Percent- age of total wages,Total wages ,,Reported taxable ,Amount c (millions of dollars,Percentage of total self- employment,Total earnings ,Reported taxable 
1951,"54,630","4,190","132,500","111,250",84.0,"2,425","2,036","16,400","9,520",58.0,"3,914","2,272"
1952,"56,060","4,240","143,500","118,880",82.8,"2,560","2,121","16,400","9,760",59.5,"3,868","2,302"
1953,"57,220","4,340","156,000","125,840",80.7,"2,726","2,199","17,000","10,030",59.0,"3,917","2,311"
1954,"55,940","4,350","155,100","123,410",79.6,"2,773","2,206","16,800","10,110",60.2,"3,862","2,324"
1955,"59,560","6,810","171,600","141,810",82.6,"2,881","2,381","24,500","15,730",64.2,"3,598","2,310"
1956,"61,560","7,390","188,500","153,010",81.2,"3,062","2,486","28,300","17,710",62.6,"3,829","2,396"
1957,"64,730","7,150","205,500","163,990",79.8,"3,175","2,533","28,400","17,390",61.2,"3,972","2,432"
1958,"64,040","7,130","208,000","163,140",78.4,"3,248","2,547","28,500","17,580",61.7,"3,997","2,466"
1959,"66,000","7,060","225,100","183,620",81.6,"3,411","2,782","29,900","18,690",62.5,"4,235","2,647"
1960,"66,980","6,870","236,000","188,580",79.9,"3,523","2,815","29,200","18,420",63.1,"4,250","2,681"
1961,"67,360","6,790","240,700","190,850",79.3,"3,573","2,833","30,000","18,790",62.6,"4,418","2,767"
1962,"68,890","6,720","257,700","200,130",77.7,"3,741","2,905","31,300","18,920",60.4,"4,658","2,815"
1963,"70,310","6,590","270,600","206,840",76.4,"3,849","2,942","31,700","18,710",59.0,"4,810","2,839"
1964,"72,230","6,480","290,900","217,430",74.7,"4,027","3,010","33,600","18,960",56.4,"5,185","2,926"
1965,"75,430","6,550","311,400","230,830",74.1,"4,128","3,060","40,300","19,900",49.4,"6,153","3,038"
1966,"79,460","6,630","346,700","287,860",83.0,"4,363","3,623","44,000","24,680",56.1,"6,637","3,722"
1967,"82,020","6,470","377,500","305,670",81.0,"4,603","3,727","44,800","24,290",54.2,"6,924","3,754"
1968,"84,470","6,570","413,600","348,500",84.3,"4,896","4,126","46,400","27,340",58.9,"7,062","4,161"
1969,"87,200","6,350","455,700","375,010",82.3,"5,226","4,301","47,100","27,540",58.5,"7,417","4,337"
1970,"88,180","6,270","483,600","388,680",80.4,"5,484","4,408","48,000","26,920",56.1,"7,656","4,293"
1971,"88,460","6,290","509,000","399,550",78.5,"5,754","4,517","50,700","27,410",54.1,"8,060","4,358"
1972,"91,220","6,600","563,300","452,050",80.3,"6,175","4,956","54,600","32,060",58.7,"8,273","4,858"
1973,"94,610","7,100","624,400","523,450",83.8,"6,600","5,533","62,300","38,400",61.6,"8,775","5,408"
1974,"96,190","7,040","681,600","594,400",87.2,"7,086","6,179","65,200","42,360",65.0,"9,261","6,017"
1975,"94,900","7,000","717,200","621,100",86.6,"7,557","6,545","70,400","43,560",61.9,"10,057","6,223"
1976,"97,230","7,400","797,200","689,200",86.4,"8,199","7,088","76,800","48,500",63.2,"10,378","6,554"
1977,"100,450","7,480","879,500","763,600",86.8,"8,935","7,602","80,600","52,950",65.7,"10,775","7,079"
1978,"104,810","8,040","998,900","856,100",85.7,"9,531","8,168","93,700","59,500",63.5,"11,654","7,400"
1979,"106,900","8,200","1,122,000","997,500",88.9,"10,496","9,331","100,200","69,500",69.4,"12,220","8,476"
1980,"107,200","8,200","1,231,000","1,109,000",90.1,"11,483","10,345","97,800","71,700",73.3,"11,927","8,744"
1981,"107,300","8,250","1,352,000","1,220,000",90.2,"12,600","11,370","98,900","74,100",74.9,"11,988","8,982"
1982,"105,800","8,550","1,418,000","1,290,000",91.0,"13,403","12,193","98,600","75,300",76.4,"11,532","8,807"
1983,"105,900","9,200","1,502,000","1,369,000",91.1,"14,183","12,927","113,200","85,100",75.2,"12,304","9,250"
1984,"109,900","9,900","1,671,500","1,515,000",90.6,"15,209","13,785","129,300","93,800",72.5,"13,061","9,475"
1985,"113,100","10,600","1,794,500","1,621,000",90.3,"15,866","14,332","142,300","101,600",71.4,"13,425","9,585"
1986,"115,900","11,200","1,921,000","1,730,800",90.1,"16,575","14,934","160,800","113,600",70.6,"14,357","10,143"
1987,"118,200","12,000","2,057,100","1,835,100",89.2,"17,404","15,525","179,900","124,900",69.4,"14,992","10,408"
1988,"122,100","12,400","2,224,700","1,952,000",87.7,"18,220","15,987","208,100","136,400",65.5,"16,782","11,000"
1989,"123,900","12,900","2,367,800","2,096,000",88.5,"19,111","16,917","210,900","143,500",68.0,"16,349","11,124"
1990,"126,100","12,500","2,510,000","2,222,000",88.5,"19,905","17,621","193,800","136,000",70.2,"15,504","10,880"
1991,"125,200","12,800","2,565,000","2,283,000",89.0,"20,487","18,235","195,500","139,500",71.4,"15,273","10,898"
1992,"126,000","13,100","2,711,000","2,386,000",88.0,"21,516","18,937","206,800","146,600",71.0,"15,786","11,214"
1993,"128,100","13,200","2,808,900","2,483,400",88.4,"21,927","19,386","214,000","152,700",71.4,"16,212","11,568"
1994,"130,100","13,300","2,964,100","2,624,500",88.5,"22,783","20,173","232,900","160,700",69.0,"17,511","12,083"
1995,"132,800","13,500","3,159,100","2,754,300",87.2,"23,788","20,740","242,700","164,800",67.9,"17,978","12,207"
1996,"135,100","13,900","3,331,900","2,901,700",87.1,"24,662","21,478","255,700","171,800",67.2,"18,396","12,360"
1997,"137,765","14,020","3,586,721","3,104,300",86.5,"26,035","22,533","272,000","180,700",66.4,"19,401","12,889"
1998,"140,386","14,230","3,882,341","3,333,700",85.9,"27,655","23,747","290,300","191,200",65.9,"20,401","13,436"
1999,"142,703","14,500","4,159,210","3,547,300",85.3,"29,146","24,858","307,900","202,300",65.7,"21,234","13,952"
2000,"146,097","14,675","4,494,170","3,798,400",84.5,"30,762","25,999","325,700","210,100",64.5,"22,194","14,317"
2001,"146,596","14,930","4,586,990","3,950,100",86.1,"31,290","26,945","332,546","217,800",65.5,"22,274","14,588"
2002,"145,793","15,249","4,596,694","4,021,800",87.5,"31,529","27,586","341,600","228,300",66.8,"22,401","14,971"
2003,"145,101","15,969","4,708,439","4,114,000",87.4,"32,449","28,353","360,478","241,000",66.9,"22,574","15,092"
2004,"146,662","16,496","4,973,650","4,295,900",86.4,"33,912","29,291","396,895","258,600",65.2,"24,060","15,677"
2005,"148,530","17,098","5,231,330","4,490,500",85.8,"35,221","30,233","437,400","275,500",63.0,"25,582","16,113"
2006,"150,787","17,724","5,585,095","4,751,700",85.1,"37,040","31,513","464,624","291,700",62.8,"26,214","16,458"
2007,"152,474","18,214","5,900,235","4,973,300",84.3,"38,697","32,617","481,071","294,900",61.3,"26,412","16,191"
2008,"152,225","17,973","6,021,007","5,140,600",85.4,"39,553","33,770","475,173","292,200",61.5,"26,438","16,258"
2009,"147,375","17,901","5,735,498","4,985,700",86.9,"38,918","33,830","449,016","285,500",63.6,"25,083","15,949"
2010,"146,734","17,944","5,858,149","5,021,200",85.7,"39,924","34,220","453,830","285,900",63.0,"25,291","15,933"
2011 ,"147,920","18,801","6,090,485","5,175,800",85.0,"41,174","34,991","495,364","309,800",62.5,"26,348","16,478"
2012 ,"150,144","19,044","6,380,698","5,382,000",84.3,"42,497","35,846","538,292","326,600",60.7,"28,266","17,150"
2013 ,"152,378","18,609","6,547,005","5,581,000",85.2,"42,966","36,626","570,969","355,714",62.3,"30,682","19,115"
2014 ,"154,762","18,621","6,864,890","5,798,197",84.5,"44,358","37,465","590,074","365,268",61.9,"31,689","19,616"
,,,,,,,,,,,,"SOURCES: Social Security Administration, Master Earnings File, 1 percent sample; Bureau of Economic Analysis; and Bureau of Labor Statistics."
,,,,,,,,,,,,NOTE: See Table 4.B1 for wage and salary data before 1951.
,,,,,,,,,,,,a. Represents total number in specified type of employment. Persons with both types of covered employment during the year are included in each type.
,,,,,,,,,,,,"b. Total wages, including estimated amounts above the taxable limit."
,,,,,,,,,,,,c. Includes Social Security taxable wages as reported by employers and Social Security taxable self-employment income as reported by self-employed individuals. See Table 2.A3 for annual maximum taxable earnings.
,,,,,,,,,,,,d. Reported self-employment net earnings.
,,,,,,,,,,,,e. Preliminary data.
,,,,,,,,,,,,f. Taxable earnings are preliminary estimates based on Social Security data; employment data are preliminary estimates based on data from Bureau of Labor Statistics.
,,,,,,,,,,,,g. Preliminary estimates based on data from Bureau of Labor Statistics and the Bureau of Economic Analysis.
,,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
