Basis of entitlement and age,Wives,Husbands,Total,Of retired workers,Of disabled workers,Number,Average monthly benefit a (dollars),Number.1,Average monthly benefit a (dollars).1,Number.2,Average monthly benefit a (dollars).2,Number.3,Average monthly benefit a (dollars).3
All wives and husbands,385663,553.78,346721,576.93,38942,347.63,42340,523.54,,,,,
,By age,,,,,,,,,,,,
By basis of entitlement,,,,,,,,,,,,,
Care of children,17712,392.58,8221,564.89,9491,243.33,652,227.41,,,,,
Under 35,3358,218.69,421,486.55,2937,180.29,127,140.84,,,,,
35–39,2311,283.94,532,503.53,1779,218.27,118,189.91,,,,,
40–44,2663,346.97,914,522.70,1749,255.14,106,198.69,,,,,
45–49,2880,414.05,1411,545.11,1469,288.16,106,208.65,,,,,
50–54,2703,486.16,1743,575.13,960,324.64,91,240.65,,,,,
55–59,2051,571.24,1659,621.24,392,359.62,54,358.09,,,,,
60–61,839,605.24,749,635.45,90,353.82,21,554.38,,,,,
62–64,907,499.31,792,524.38,115,326.65,29,411.06,,,,,
Age,367951,561.54,338500,577.23,29451,381.25,41688,528.17,,,,,
62–64,184703,398.60,159592,406.11,25111,350.81,7819,292.79,,,,,
62,108809,370.51,88851,378.52,19958,334.82,3435,239.18,,,,,
63,32273,383.79,29842,384.29,2431,377.68,1568,290.99,,,,,
64,43621,479.62,40899,481.99,2722,443.99,2816,359.17,,,,,
65–69,169807,749.58,165818,754.03,3989,564.89,28362,631.96,,,,,
65,41090,509.10,39432,511.26,1658,457.72,3343,388.18,,,,,
66,97570,888.35,95870,891.65,1700,702.14,16394,723.74,,,,,
67,16382,655.02,16058,658.18,324,498.62,4097,576.85,,,,,
68,8227,602.40,8056,605.72,171,446.06,2322,534.50,,,,,
69,6538,612.19,6402,615.36,136,463.04,2206,524.26,,,,,
70–74,10386,437.60,10104,436.53,282,476.06,3470,332.67,,,,,
75 or older,3055,382.48,2986,380.77,69,456.44,2037,319.55,,,,,
,By sex,,,,,,,,,,,,
Wives,,,,,,,,,,,,,
Not divorced,332075,544.72,297616,568.27,34459,341.37,. . .,. . .,,,,,
Divorced,53588,609.91,49105,629.46,4483,395.75,. . .,. . .,,,,,
Husbands of—,,,,,,,,,,,,,
Retired workers,. . .,. . .,. . .,. . .,. . .,. . .,38673,541.71,,,,,
Disabled workers,. . .,. . .,. . .,. . .,. . .,. . .,3667,331.92,,,,,
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.","NOTES: Effective 2006, age is based on date of entitlement and not date of award. Entitlement can be retroactive and thus precede the date of award.","Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",. . . = not applicable.,a. Benefits awarded before the December cost-of-living increase are converted to the December rates before averages are computed.,CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,
