Year enacted,Provision,0
1946,Fully insured status and average monthly wage of $160 for World War II veterans who died within 3 years after discharge.,0
1950,"Wage credits of $160 per month of military service during World War II period (September 16, 1940–July 24, 1947).",0
1952,"Wage credits of $160 per month of military service to December 31, 1953.",0
1953,"Wage credits of $160 per month of military service to June 30, 1955.",0
1955,"Wage credits of $160 per month of military service to March 31, 1956.",0
1956,"Wage credits of $160 per month of military service to December 31, 1956.",0
1967,"For uniformed services, wage credits of $100 for each $100 (or fraction thereof) of basic pay not in excess of $300 per calendar quarter, beginning in 1968.",0
1972,"For uniformed services, wage credits of $300 per calendar quarter of service after 1956. (Supersedes 1967 provision.) For U.S. citizens of Japanese ancestry, wage credits for the period they were interned by the U.S. government during World War II period (December 7, 1941–December 31, 1946) and who were aged 18 or older.",0
1977,"For uniformed services, wage credits of $100 for each $300 of basic pay up to maximum credit of $1,200 per calendar year after 1977.",0
2002,"For uniformed services, deemed wage credits are eliminated for all years after calendar year 2001. Deemed wage credits will continue to be given for appropriate earnings for periods prior to calendar year 2002.",0
,"SOURCES: Social Security Act of 1935 (the Act), as amended through December 31, 2014; regulations issued under the Act; and precedential case decisions (rulings). See the Social Security Program Rules page (https://www.socialsecurity.gov/regulations/index.htm) for specific laws, regulations, rulings, legislation, and a link to the Federal Register.",0
,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
