Monthly family benefit a (dollars),Retired worker only,Retired worker and wife,"Retired worker, wife, and—",Disabled worker only,"Disabled worker, wife, and—",Men,Women,1 child,2 or more children,Men.1,Women.1,1 child.1,2 or more children.1
Total,,,,,,,,,,,,,
Number,17057389,19236231,2077835,69850,14192,3835216,3870812,26710,35542,,,,
Percent,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
Less than 200.00,0.8,0.9,0.5,0.1,(L),0.2,0.4,(L),(L),,,,
200.00–249.90,0.7,0.6,0.3,0.1,0.1,0.4,0.7,(L),(L),,,,
250.00–299.90,0.8,0.8,0.4,0.1,0.1,0.6,1.2,(L),(L),,,,
300.00–349.90,0.8,0.8,0.5,0.2,0.2,0.8,1.5,(L),(L),,,,
350.00–399.90,0.8,0.9,0.6,0.2,0.2,1.0,1.8,(L),(L),,,,
400.00–449.90,0.8,1.0,0.6,0.3,0.3,1.2,2.1,(L),(L),,,,
450.00–499.90,0.7,1.1,0.7,0.2,0.3,1.2,2.2,(L),(L),,,,
500.00–549.90,0.8,1.3,0.6,0.3,0.4,1.3,2.3,(L),(L),,,,
550.00–599.90,1.1,2.1,0.6,0.3,0.4,1.5,2.5,(L),(L),,,,
600.00–649.90,1.3,2.7,0.6,0.3,0.3,2.0,3.2,0.1,0.1,,,,
650.00–699.90,1.4,3.4,0.6,0.4,0.5,2.3,3.6,0.2,0.1,,,,
700.00–749.90,1.5,4.1,0.7,0.4,0.5,3.3,5.4,0.3,0.3,,,,
750.00–799.90,1.6,4.5,0.7,0.4,0.5,3.9,6.4,0.8,0.9,,,,
800.00–849.90,1.6,4.7,0.8,0.5,0.5,3.9,6.0,1.0,1.2,,,,
850.00–899.90,1.7,4.7,0.9,0.5,0.5,3.9,5.7,1.0,1.3,,,,
900.00–949.90,1.8,4.4,1.0,0.7,0.9,3.9,5.3,1.4,1.5,,,,
950.00–999.90,1.9,4.0,1.1,0.9,1.3,3.8,5.0,1.4,1.6,,,,
"1,000.00–1,049.90",2.0,3.8,1.1,0.9,1.4,3.8,4.6,1.5,1.7,,,,
"1,050.00–1,099.90",2.2,3.7,1.1,1.0,1.3,3.7,4.2,1.5,1.8,,,,
"1,100.00–1,149.90",2.3,3.5,1.1,1.0,1.2,3.6,3.8,1.7,2.0,,,,
"1,150.00–1,199.90",2.5,3.5,1.1,1.0,1.5,3.5,3.5,1.7,2.1,,,,
"1,200.00–1,249.90",2.7,3.4,1.1,1.0,1.4,3.4,3.2,1.8,2.0,,,,
"1,250.00–1,299.90",2.8,3.3,1.1,1.0,1.3,3.2,2.8,1.8,2.2,,,,
"1,300.00–1,349.90",3.0,3.3,1.1,0.8,1.2,3.1,2.5,2.0,2.1,,,,
"1,350.00–1,399.90",3.4,3.1,1.1,0.8,1.0,3.0,2.3,2.1,2.2,,,,
"1,400.00–1,449.90",3.7,3.2,1.1,0.8,1.1,2.8,2.0,2.1,2.4,,,,
"1,450.00–1,499.90",3.6,2.9,1.1,0.8,0.9,2.7,1.8,2.1,2.2,,,,
"1,500.00–1,549.90",3.9,2.7,1.2,0.8,0.9,2.6,1.6,2.2,2.4,,,,
"1,550.00–1,599.90",4.3,2.7,1.2,0.7,1.0,2.4,1.4,2.3,2.7,,,,
"1,600.00–1,649.90",4.3,2.4,1.3,0.7,1.0,2.3,1.2,3.0,3.2,,,,
"1,650.00–1,699.90",4.1,2.2,1.3,0.8,1.1,2.1,1.1,3.3,3.5,,,,
"1,700.00–1,749.90",4.0,2.0,1.4,0.9,1.0,2.1,1.0,2.9,3.7,,,,
"1,750.00–1,799.90",3.7,1.8,1.4,0.9,1.0,1.9,0.9,2.8,3.4,,,,
"1,800.00–1,849.90",3.2,1.5,1.5,0.8,1.1,1.8,0.8,2.8,3.5,,,,
"1,850.00–1,899.90",2.7,1.3,1.6,0.9,1.0,1.6,0.7,2.8,3.2,,,,
"1,900.00–1,949.90",2.3,1.1,1.7,0.9,0.8,1.5,0.7,2.6,3.0,,,,
"1,950.00–1,999.90",2.1,1.0,1.8,0.9,1.0,1.4,0.6,2.8,2.7,,,,
"2,000.00–2,049.90",2.0,0.9,2.2,1.0,1.0,1.7,0.7,2.5,2.7,,,,
"2,050.00–2,099.90",1.9,0.8,2.5,1.0,0.8,1.9,0.7,2.2,2.7,,,,
"2,100.00–2,149.90",1.7,0.7,2.6,1.0,1.0,1.7,0.6,2.3,2.3,,,,
"2,150.00–2,199.90",1.6,0.6,2.5,1.2,1.0,1.4,0.5,2.1,2.2,,,,
"2,200.00–2,249.90",1.4,0.5,2.5,1.2,1.2,1.2,0.4,2.0,2.0,,,,
"2,250.00–2,299.90",1.3,0.4,2.6,1.3,1.0,1.0,0.3,2.1,2.0,,,,
"2,300.00–2,349.90",1.1,0.3,2.5,1.3,1.0,0.8,0.2,1.8,1.8,,,,
"2,350.00–2,399.90",1.0,0.3,2.5,1.4,1.3,0.7,0.2,1.7,1.5,,,,
"2,400.00–2,449.90",0.9,0.2,2.5,1.6,1.2,0.6,0.1,1.7,1.6,,,,
"2,450.00–2,499.90",0.8,0.2,2.5,1.8,1.5,0.5,0.1,1.7,1.4,,,,
"2,500.00–2,549.90",0.8,0.2,2.5,1.9,1.5,0.4,0.1,1.4,1.3,,,,
"2,550.00–2,599.90",0.7,0.1,2.4,2.0,1.6,0.3,0.1,1.7,1.2,,,,
"2,600.00–2,649.90",0.7,0.1,2.3,2.0,1.6,0.2,(L),1.4,1.2,,,,
"2,650.00–2,699.90",0.4,0.1,2.2,2.2,1.6,0.1,(L),1.3,1.0,,,,
"2,700.00–2,749.90",0.1,(L),2.0,2.2,1.7,(L),(L),1.2,1.1,,,,
"2,750.00–2,799.90",0.1,(L),1.9,2.2,1.8,(L),(L),1.1,0.9,,,,
"2,800.00–2,849.90",0.1,(L),1.7,2.3,1.9,(L),(L),1.1,0.8,,,,
"2,850.00–2,899.90",0.1,(L),1.6,2.2,1.8,(L),(L),1.2,0.8,,,,
"2,900.00–2,949.90",0.1,(L),1.5,2.0,1.5,(L),(L),1.1,0.7,,,,
"2,950.00–2,999.90",0.1,(L),1.4,2.1,1.5,(L),(L),1.1,0.7,,,,
"3,000.00–3,049.90",(L),(L),1.4,2.1,1.6,(L),(L),1.3,0.8,,,,
"3,050.00–3,099.90",(L),(L),1.3,2.1,1.6,(L),(L),1.3,1.0,,,,
"3,100.00–3,149.90",(L),(L),1.2,2.2,1.8,(L),(L),1.2,1.0,,,,
"3,150.00–3,199.90",(L),(L),1.1,2.1,1.8,(L),(L),1.2,0.9,,,,
"3,200.00–3,249.90",(L),(L),1.0,2.1,1.9,(L),(L),1.1,0.8,,,,
"3,250.00–3,299.90",(L),(L),1.0,1.9,1.7,(L),(L),0.8,0.7,,,,
"3,300.00 or more",0.2,(L),11.4,30.3,32.9,(L),(L),8.4,5.7,,,,
Average monthly family benefit (dollars),1484.19,1168.57,2209.42,2747.97,2743.74,1275.98,1020.16,2078.03,1956.10,,,,
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",NOTES: Totals do not necessarily equal the sum of rounded components.,(L) = less than 0.05 percent.,a. Cases involving actuarial reduction may be represented in all benefit intervals for which values are shown.,CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,
