State or area,Total,Retirement,,,Survivors,,Disability,,,0
,,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,0
All areas,"71,693,353","51,826,267","1,550,839","411,405","5,212,795","1,571,821","10,435,524","46,852","637,848",2
Alabama,"1,276,223","823,373","23,474","7,769","97,577","33,776","271,434","1,228","17,593",0
Alaska,"103,133","74,885","1,823","1,052","6,209","3,728","14,511",53,871,0
Arizona,"1,517,597","1,151,231","31,269","7,984","97,841","28,882","188,778",794,"10,818",0
Arkansas,"761,036","504,047","12,098","4,286","54,543","19,215","155,919",624,"10,304",0
California,"6,701,027","4,971,892","174,226","46,479","467,517","138,705","849,092","4,235","48,881",0
Colorado,"977,802","729,047","23,289","4,988","66,154","20,177","126,656",417,"7,074",0
Connecticut,"885,983","685,515","16,760","4,940","55,495","17,456","99,133",263,"6,420",0
Delaware,"254,374","192,052","4,322","1,083","15,998","5,034","33,934",81,"1,871",0
District of Columbia,"89,987","64,809","1,493",493,"4,991","2,408","15,189",11,592,0
Florida,"5,190,945","3,934,274","100,867","27,063","340,571","88,299","660,234","2,603","37,034",0
Georgia,"2,006,085","1,414,361","33,754","11,997","137,785","52,602","333,487","1,257","20,842",0
Hawaii,"310,833","249,659","5,545","2,456","18,365","5,419","27,647",130,"1,612",0
Idaho,"365,258","269,559","8,021","2,110","24,938","7,558","49,817",243,"3,011",0
Illinois,"2,707,116","1,992,822","58,671","15,921","210,800","62,626","344,156","1,446","20,673",0
Indiana,"1,626,829","1,164,483","31,012","8,522","123,396","38,426","244,866","1,021","15,103",0
Iowa,"758,169","573,066","15,231","3,767","59,233","15,306","86,519",257,"4,791",0
Kansas,"653,569","483,719","12,785","3,442","48,188","14,371","85,621",284,"5,160",0
Kentucky,"1,081,642","680,486","22,957","5,620","90,825","28,188","236,818","1,614","15,134",0
Louisiana,"944,524","585,536","28,784","6,247","101,083","32,427","177,395","1,342","11,709",0
Maine,"368,682","259,403","7,195","1,843","24,797","6,871","64,121",235,"4,217",0
Maryland,"1,203,106","898,988","23,497","6,235","79,283","28,064","157,549",351,"9,140",0
Massachusetts,"1,517,385","1,093,577","30,809","8,408","96,781","30,719","239,183",584,"17,324",0
