Monthly benefit (dollars),Total,,Men,,Women,
,Number,Percent,Number,Percent,Number,Percent
All disabled workers,"778,796",100.0,"412,855",100.0,"365,941",100.0
Less than 100.00,"3,236",0.4,"1,784",0.4,"1,452",0.4
100.00–149.90,745,0.1,322,0.1,423,0.1
150.00–199.90,"1,838",0.2,716,0.2,"1,122",0.3
200.00–249.90,"3,749",0.5,"1,403",0.3,"2,346",0.6
250.00–299.90,"5,727",0.7,"2,248",0.5,"3,479",1.0
300.00–349.90,"7,572",1.0,"2,990",0.7,"4,582",1.3
350.00–399.90,"8,168",1.0,"3,069",0.7,"5,099",1.4
400.00–449.90,"8,857",1.1,"3,279",0.8,"5,578",1.5
450.00–499.90,"9,656",1.2,"3,506",0.8,"6,150",1.7
500.00–549.90,"10,079",1.3,"3,626",0.9,"6,453",1.8
550.00–599.90,"10,515",1.4,"3,688",0.9,"6,827",1.9
600.00–649.90,"11,224",1.4,"3,930",1.0,"7,294",2.0
650.00–699.90,"11,712",1.5,"4,141",1.0,"7,571",2.1
700.00–749.90,"18,713",2.4,"6,454",1.6,"12,259",3.3
750.00–799.90,"32,754",4.2,"11,395",2.8,"21,359",5.8
800.00–849.90,"33,659",4.3,"12,197",3.0,"21,462",5.9
850.00–899.90,"34,109",4.4,"12,989",3.1,"21,120",5.8
900.00–949.90,"34,264",4.4,"13,802",3.3,"20,462",5.6
950.00–999.90,"33,128",4.3,"14,003",3.4,"19,125",5.2
"1,000.00–1,049.90","32,337",4.2,"14,328",3.5,"18,009",4.9
"1,050.00–1,099.90","31,472",4.0,"14,554",3.5,"16,918",4.6
"1,100.00–1,149.90","29,855",3.8,"14,557",3.5,"15,298",4.2
"1,150.00–1,199.90","28,926",3.7,"14,625",3.5,"14,301",3.9
"1,200.00–1,249.90","27,943",3.6,"14,848",3.6,"13,095",3.6
"1,250.00–1,299.90","25,898",3.3,"14,204",3.4,"11,694",3.2
"1,300.00–1,349.90","25,093",3.2,"14,178",3.4,"10,915",3.0
"1,350.00–1,399.90","23,268",3.0,"13,585",3.3,"9,683",2.6
"1,400.00–1,449.90","21,909",2.8,"13,376",3.2,"8,533",2.3
"1,450.00–1,499.90","20,797",2.7,"12,864",3.1,"7,933",2.2
"1,500.00–1,549.90","19,316",2.5,"12,307",3.0,"7,009",1.9
"1,550.00–1,599.90","18,056",2.3,"11,786",2.9,"6,270",1.7
"1,600.00–1,649.90","16,267",2.1,"10,888",2.6,"5,379",1.5
"1,650.00–1,699.90","15,131",1.9,"10,315",2.5,"4,816",1.3
"1,700.00–1,749.90","14,200",1.8,"9,762",2.4,"4,438",1.2
"1,750.00–1,799.90","12,947",1.7,"9,011",2.2,"3,936",1.1
"1,800.00–1,849.90","12,227",1.6,"8,623",2.1,"3,604",1.0
"1,850.00–1,899.90","10,705",1.4,"7,592",1.8,"3,113",0.9
"1,900.00–1,949.90","10,335",1.3,"7,390",1.8,"2,945",0.8
"1,950.00–1,999.90","9,573",1.2,"6,885",1.7,"2,688",0.7
"2,000.00–2,049.90","9,885",1.3,"7,195",1.7,"2,690",0.7
"2,050.00–2,099.90","13,909",1.8,"10,191",2.5,"3,718",1.0
"2,100.00 or more","69,042",8.9,"54,249",13.1,"14,793",4.0
Average benefit (dollars),"1,256.64",,"1,396.35",,"1,099.02",
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,
NOTES: Totals do not necessarily equal the sum of rounded components.,,,,,,
Benefits awarded before the December cost-of-living increase are converted to the December rates before percentages are computed.,,,,,,
"Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,
