State or area,Percentage with Social Security benefits,Average monthly Social Security benefit (dollars),Total,Category,Age,Total.1,Category.1,Age.1,Aged,Blind,Disabled,Under 18,18–64,65 or older a,Aged.1,Blind.1,Disabled.1,Under 18.1,18–64.1,65 or older a.1
All areas,33.1,55.9,35.5,29.4,7.5,30.1,55.6,510.77,492.98,532.2,516.04,226.73,536.48,502.01,,,,,,
Alabama,36.1,82.6,39.0,33.3,9.8,33.2,73.5,518.36,538.15,528.05,515.44,236.28,533.39,526.45,,,,,,
Alaska,34.7,65.7,48.6,29.4,7.2,28.1,63.2,512.27,525.77,524.75,507.0,228.81,519.8,516.64,,,,,,
Arizona,32.2,60.8,30.4,27.8,6.3,28.5,59.9,486.63,460.38,519.37,495.11,235.88,519.64,468.23,,,,,,
Arkansas,34.2,86.2,40.0,31.4,9.2,35.0,78.7,511.61,549.73,513.01,506.04,213.7,533.28,534.76,,,,,,
California,38.4,53.5,38.4,32.5,4.6,32.7,51.7,557.39,503.22,603.6,591.11,262.57,617.3,521.6,,,,,,
Colorado,32.7,51.4,32.9,30.1,6.1,30.6,55.5,512.91,504.84,507.79,514.94,230.89,529.65,505.53,,,,,,
Connecticut,31.3,51.4,30.5,29.0,7.1,29.4,51.5,490.67,471.54,473.92,494.86,226.8,511.56,480.69,,,,,,
Delaware,29.8,57.5,27.8,27.6,7.0,30.0,60.2,506.89,493.6,524.65,509.01,242.53,531.32,500.48,,,,,,
District of Columbia,24.5,63.2,32.3,21.4,5.5,20.3,57.6,502.96,505.42,501.44,502.38,261.26,517.54,503.18,,,,,,
Florida,32.1,47.7,36.6,27.4,7.1,29.6,50.2,484.94,467.35,491.7,494.01,227.73,522.84,473.63,,,,,,
Georgia,32.8,67.9,34.2,29.0,6.7,29.2,67.0,519.6,522.14,512.42,519.03,240.52,538.52,519.6,,,,,,
Hawaii,35.0,57.1,32.7,28.3,6.8,25.6,56.1,546.99,525.26,584.84,559.96,245.09,577.62,530.61,,,,,,
Idaho,33.7,73.4,35.7,31.2,8.6,33.2,70.9,507.02,527.61,515.92,503.85,213.02,521.92,519.52,,,,,,
Illinois,27.5,47.0,30.0,25.1,6.7,25.8,45.8,487.15,457.2,484.86,494.23,225.73,507.38,481.3,,,,,,
Indiana,30.6,67.4,35.9,28.9,8.2,31.3,65.5,508.42,516.15,499.1,507.69,232.2,525.27,517.6,,,,,,
Iowa,36.3,70.4,37.3,34.0,7.4,36.7,68.0,522.65,541.77,535.06,519.8,219.77,532.82,534.08,,,,,,
Kansas,33.8,64.2,35.8,31.9,8.8,34.8,63.8,512.64,514.73,509.68,512.4,231.21,531.74,517.51,,,,,,
Kentucky,34.0,76.8,35.2,31.7,9.9,30.6,68.8,506.19,536.26,501.42,502.27,231.41,522.12,511.99,,,,,,
Louisiana,32.6,80.0,37.5,29.0,8.0,29.4,71.4,498.47,522.01,497.25,493.7,230.89,514.68,508.79,,,,,,
