Year of entitlement,Number (thousands),Average age,Percentage distribution by age at month of entitlement,,,,,,,,,,,,0
,,,"Total, all ages",62,63,64,65 ,,,66 ,,Disability conversions ,67–69,70 or older,0
,,,,,,,Before FRA,At FRA,After FRA,At FRA,After FRA,,,,0
 ,Men,,,,,,,,,,,,,,0
1998,902,63.4,100.0,50.8,6.7,10.6,. . .,12.1,2.5,. . .,1.4,12.7,2.1,1.1,0
1999,964,63.5,100.0,49.0,6.8,10.8,. . .,12.3,3.2,. . .,1.8,12.3,2.7,1.2,0
2000,"1,092",63.6,100.0,44.8,6.1,9.7,. . .,15.5,4.5,. . .,2.8,11.6,4.2,0.8,0
2001,977,63.4,100.0,48.3,6.6,12.3,. . .,16.2,1.3,. . .,0.7,12.9,1.1,0.7,0
2002,998,63.4,100.0,47.7,6.8,13.6,. . .,15.8,1.2,. . .,0.6,12.6,0.9,0.6,0
2003,973,63.3,100.0,49.6,6.9,13.1,3.8,11.5,1.2,. . .,0.6,11.7,0.9,0.6,0
2004,"1,012",63.3,100.0,50.3,7.2,11.1,5.3,11.5,1.1,. . .,0.7,11.3,0.9,0.7,0
2005,"1,058",63.4,100.0,49.6,7.1,9.5,7.3,11.4,1.0,. . .,0.9,10.9,1.2,1.0,0
2006,"1,042",63.5,100.0,45.7,7.8,9.3,9.9,11.3,0.8,. . .,1.0,12.3,1.1,0.8,0
2007,"1,069",63.6,100.0,42.6,7.5,9.4,12.2,11.8,0.6,. . .,1.4,12.5,1.3,0.8,0
2008,"1,191",63.6,100.0,42.6,7.1,8.4,13.5,12.0,0.3,. . .,1.7,12.4,1.3,0.7,0
2009,"1,454",63.8,100.0,44.0,7.2,7.3,11.7,. . .,. . .,13.5,1.9,12.1,1.5,0.8,0
2010,"1,384",63.9,100.0,42.6,8.3,6.9,10.6,. . .,. . .,13.5,2.2,13.0,2.0,0.9,0
2011,"1,348",64.0,100.0,41.3,7.1,7.5,10.3,. . .,. . .,14.3,2.4,13.4,2.4,1.2,0
2012,"1,421",64.2,100.0,37.0,6.4,6.6,11.4,. . .,. . .,16.5,2.6,15.3,2.7,1.4,0
2013,"1,458",64.3,100.0,34.7,6.0,6.1,10.7,. . .,. . .,17.7,3.2,16.8,3.0,1.7,0
2014,"1,359",64.3,100.0,35.5,6.2,6.0,10.6,. . .,. . .,16.7,2.5,17.8,2.8,1.7,0
 ,Women,,,,,,,,,,,,,,0
1998,727,63.5,100.0,55.9,6.0,9.6,. . .,9.7,1.9,. . .,1.2,9.7,2.6,3.4,0
1999,755,63.3,100.0,55.4,6.2,10.0,. . .,10.3,2.2,. . .,1.4,9.9,2.5,2.1,0
2000,837,63.5,100.0,52.7,6.0,9.5,. . .,11.6,3.1,. . .,1.8,9.8,3.3,2.1,0
2001,785,63.3,100.0,54.6,6.1,11.4,. . .,11.4,1.1,. . .,0.7,11.0,1.8,1.8,0
2002,817,63.4,100.0,53.3,6.2,12.5,. . .,11.2,1.2,. . .,0.6,11.1,1.6,2.2,0
2003,823,63.3,100.0,54.5,6.5,12.3,3.2,7.7,1.1,. . .,0.7,10.3,1.8,2.0,0
2004,879,63.3,100.0,54.9,6.7,10.6,4.5,7.5,1.0,. . .,0.8,10.0,2.0,1.9,0
2005,939,63.4,100.0,54.1,6.8,9.5,6.2,7.5,0.8,. . .,0.9,9.7,2.1,2.3,0
2006,938,63.5,100.0,50.4,7.6,9.5,8.5,7.6,0.7,. . .,1.0,10.6,2.2,2.0,0
2007,965,63.6,100.0,47.5,7.3,10.0,10.6,7.5,0.5,. . .,1.2,11.1,2.0,2.2,0
2008,"1,077",63.6,100.0,48.0,6.8,8.8,11.6,7.5,0.2,. . .,1.6,11.2,1.9,2.4,0
2009,"1,280",63.7,100.0,49.9,6.5,7.2,10.2,. . .,. . .,9.3,1.6,11.5,2.0,1.6,0
2010,"1,246",63.7,100.0,47.9,8.1,7.0,9.8,. . .,. . .,9.3,1.7,12.3,2.1,1.8,0
2011,"1,245",63.8,100.0,46.5,7.2,8.0,9.8,. . .,. . .,9.9,1.9,12.3,2.4,2.1,0
2012,"1,323",64.0,100.0,42.1,6.8,7.4,11.3,. . .,. . .,11.3,2.0,14.0,2.6,2.5,0
2013,"1,352",64.1,100.0,40.2,6.4,6.9,10.7,. . .,. . .,12.4,2.4,15.4,2.7,2.9,0
2014,"1,279",64.1,100.0,40.8,6.7,6.9,10.6,. . .,. . .,11.6,1.8,16.2,2.5,2.8,0
,,,,,,,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",0
,,,,,,,,,,,,,,"NOTES: The data in this table differ from those in table 6.B5 because awards are summarized here by the year in which entitlement began rather than by the year the award action was posted on the Master Beneficiary Record. The year of entitlement often precedes the year of action because of retroactive entitlements, delayed award actions, and other reasons. Because entitlements can be awarded retroactively, data for current and prior years are subject to revision with each annual update of this table.",0
,,,,,,,,,,,,,,"Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",0
,,,,,,,,,,,,,,Totals do not necessarily equal the sum of rounded components.,0
,,,,,,,,,,,,,,. . . = not applicable; FRA = full retirement age.,0
,,,,,,,,,,,,,,"a. FRA is 65 for workers attaining age 65 before 2003, and increases by 2 months per year for workers attaining age 65 in a year after 2002, until it becomes 66 for workers attaining age 65 between 2008 and 2019.",0
,,,,,,,,,,,,,,b. Disabled worker benefit automatically converts to a retired worker benefit in the month the worker attains FRA.,0
,,,,,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
