Type of benefit,All OASDI beneficiaries,Number receiving SSI,,,Percentage of all OASDI beneficiaries,,
,,Total,Aged,Blind and disabled,Total,Aged,Blind and disabled
Total,"59,007,158","2,808,597","648,027","2,160,570",4.8,1.1,3.7
Retirement,"41,947,747","1,194,022","576,853","617,169",2.8,1.4,1.5
Workers aged 65 or older,"35,943,475","863,558","510,572","352,986",2.4,1.4,1.0
Men,"18,139,561","372,786","219,978","152,808",2.1,1.2,0.8
Women,"17,803,914","490,772","290,594","200,178",2.8,1.6,1.1
Workers aged 62–64,"3,065,296","75,742",0,"75,742",2.5,0.0,2.5
Men,"1,462,282","47,414",0,"47,414",3.2,0.0,3.2
Women,"1,603,014","28,328",0,"28,328",1.8,0.0,1.8
Spouses,"2,303,480","140,609","66,265","74,344",6.1,2.9,3.2
Aged 65 or older,"2,116,904","130,195","66,265","63,930",6.2,3.1,3.0
Aged 62–64,"152,982","9,749",0,"9,749",6.4,0.0,6.4
Under age 62 with children,"33,594",665,0,665,2.0,0.0,2.0
Disabled adult children,"287,762","109,596",16,"109,580",38.1,(L),38.1
Aged 65 or older,"1,719",703,16,687,40.9,0.9,40.0
Aged 18–64,"286,043","108,893",0,"108,893",38.1,0.0,38.1
Children under age 18 and students aged 18–19,"347,734","4,517",0,"4,517",1.3,0.0,1.3
Survivors,"6,128,319","384,046","69,258","314,788",6.3,1.1,5.1
Nondisabled widow(er)s,"3,834,531","145,248","67,572","77,676",3.8,1.8,2.0
Aged 65 or older,"3,401,851","139,601","67,572","72,029",4.1,2.0,2.1
Aged 60–64,"432,680","5,647",0,"5,647",1.3,0.0,1.3
Disabled widow(er)s,"257,871","37,115",24,"37,091",14.4,(L),14.4
Widowed mothers and fathers,"142,509","2,920",36,"2,884",2.0,(L),2.0
Parents,"1,309",41,38,3,3.1,2.9,0.2
Disabled adult children,"641,497","175,142","1,588","173,554",27.3,0.2,27.1
Aged 65 or older,"86,599","21,914","1,588","20,326",25.3,1.8,23.5
Aged 18–64,"554,898","153,228",0,"153,228",27.6,0.0,27.6
Children under age 18 and students aged 18–19,"1,250,602","23,580",0,"23,580",1.9,0.0,1.9
Disability,"10,931,092","1,230,529","1,916","1,228,613",11.3,(L),11.2
Workers,"8,954,518","1,060,985",504,"1,060,481",11.8,(L),11.8
Men,"4,627,675","439,824",187,"439,637",9.5,(L),9.5
Women,"4,326,843","621,161",317,"620,844",14.4,(L),14.3
Spouses,"148,955","12,230","1,412","10,818",8.2,0.9,7.3
Aged 65 or older,"44,058","5,582","1,412","4,170",12.7,3.2,9.5
Aged 62–64,"42,794","3,148",0,"3,148",7.4,0.0,7.4
Under age 62 with children,"62,103","3,500",0,"3,500",5.6,0.0,5.6
Disabled adult children aged 18–64,"119,620","84,319",0,"84,319",70.5,0.0,70.5
Children under age 18 and students aged 18–19,"1,707,999","72,995",0,"72,995",4.3,0.0,4.3
"SOURCES: Social Security Administration, Master Beneficiary Record and Supplemental Security Record, 100 percent data.",,,,,,,
NOTES: Totals do not necessarily equal the sum of rounded components.,,,,,,,
"OASDI = Old-Age, Survivors, and Disability Insurance; (L) = less than 0.05 percent.",,,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,
