Characteristic,All grade levels,GS 1–4,GS 5–8,GS 9–12,GS 13–15,SES
 ,Number,,,,,
Total ,"b 64,83",343,"18,151","33,923","10,538",147
 ,Percentage of total,,,,,
Women,66.5,59.8,69.0,70.4,56.3,42.9
Minorities,51.7,60.9,60.7,52.6,38.4,35.8
Black,28.9,33.8,36.9,27.4,22.6,23.1
Hispanic,14.9,16.3,16.6,16.6,8.1,6.8
Asian/Pacific Islander,6.3,9.6,5.4,6.9,6.4,4.1
American Indian/Alaska Native,1.3,0.3,1.3,1.4,1.1,1.4
Employees with targeted disabilities,2.0,10.5,3.6,1.5,0.9,0.7
,,,,,,SOURCE: Social Security Administration's Human Resources Management Information System.
,,,,,,"NOTES: Totals do not necessarily equal the sum of rounded components.
          GS = General Schedule; SES = Senior Executive Service.
"
,,,,,,a. Includes all full-time and part-time permanent employees.
,,,,,,"b. Includes 1,736 permanent agency employees in the 7 pay plans that are not part of the GS or SES classifications."
,,,,,,CONTACT: Milton C. McGaskey (410) 965-0739 or statistics@ssa.gov.
