Sex and primary insurance amount (dollars),Total,,With reduction for early retirement,,Without reduction for early retirement,,0
,Number,Percent,Number,Percent,Number,Percent,0
All retired workers,"39,008,771",100.0,"28,164,909",100.0,"10,843,862",100.0,2
Less than 300.00,"1,107,521",2.8,"834,885",3.0,"272,636",2.5,0
300.00–349.90,"492,573",1.3,"394,543",1.4,"98,030",0.9,0
350.00–399.90,"505,506",1.3,"404,897",1.4,"100,609",0.9,0
400.00–449.90,"526,290",1.3,"413,920",1.5,"112,370",1.0,0
450.00–499.90,"505,783",1.3,"400,704",1.4,"105,079",1.0,0
500.00–549.90,"496,126",1.3,"391,882",1.4,"104,244",1.0,0
550.00–599.90,"524,354",1.3,"410,179",1.5,"114,175",1.1,0
600.00–649.90,"706,775",1.8,"537,015",1.9,"169,760",1.6,0
650.00–699.90,"774,278",2.0,"580,674",2.1,"193,604",1.8,0
700.00–749.90,"971,529",2.5,"736,435",2.6,"235,094",2.2,0
750.00–799.90,"1,142,980",2.9,"882,021",3.1,"260,959",2.4,0
800.00–849.90,"1,129,431",2.9,"866,131",3.1,"263,300",2.4,0
850.00–899.90,"1,102,310",2.8,"835,822",3.0,"266,488",2.5,0
900.00–949.90,"1,065,770",2.7,"802,176",2.8,"263,594",2.4,0
950.00–999.90,"1,043,569",2.7,"780,601",2.8,"262,968",2.4,0
"1,000.00–1,049.90","1,024,860",2.6,"760,279",2.7,"264,581",2.4,0
"1,050.00–1,099.90","1,016,964",2.6,"748,233",2.7,"268,731",2.5,0
"1,100.00–1,149.90","989,895",2.5,"726,515",2.6,"263,380",2.4,0
"1,150.00–1,199.90","974,607",2.5,"710,954",2.5,"263,653",2.4,0
"1,200.00–1,249.90","962,786",2.5,"699,483",2.5,"263,303",2.4,0
"1,250.00–1,299.90","943,716",2.4,"685,993",2.4,"257,723",2.4,0
"1,300.00–1,349.90","936,400",2.4,"677,412",2.4,"258,988",2.4,0
"1,350.00–1,399.90","921,218",2.4,"667,302",2.4,"253,916",2.3,0
"1,400.00–1,449.90","918,511",2.4,"664,826",2.4,"253,685",2.3,0
"1,450.00–1,499.90","908,874",2.3,"659,396",2.3,"249,478",2.3,0
"1,500.00–1,549.90","911,534",2.3,"659,628",2.3,"251,906",2.3,0
"1,550.00–1,599.90","921,075",2.4,"667,829",2.4,"253,246",2.3,0
"1,600.00–1,649.90","919,316",2.4,"662,607",2.4,"256,709",2.4,0
"1,650.00–1,699.90","942,036",2.4,"677,129",2.4,"264,907",2.4,0
"1,700.00–1,749.90","1,064,113",2.7,"762,535",2.7,"301,578",2.8,0
"1,750.00–1,799.90","1,057,768",2.7,"761,626",2.7,"296,142",2.7,0
"1,800.00–1,849.90","974,863",2.5,"699,325",2.5,"275,538",2.5,0
"1,850.00–1,899.90","908,783",2.3,"638,641",2.3,"270,142",2.5,0
"1,900.00–1,949.90","838,757",2.2,"579,342",2.1,"259,415",2.4,0
"1,950.00–1,999.90","780,819",2.0,"536,531",1.9,"244,288",2.3,0
"2,000.00–2,049.90","939,330",2.4,"648,075",2.3,"291,255",2.7,0
"2,050.00–2,099.90","1,003,285",2.6,"717,974",2.5,"285,311",2.6,0
"2,100.00–2,149.90","942,009",2.4,"678,752",2.4,"263,257",2.4,0
"2,150.00–2,199.90","839,032",2.2,"605,443",2.1,"233,589",2.2,0
"2,200.00 or more","4,273,425",11.0,"2,597,194",9.2,"1,676,231",15.5,0
Average primary insurance amount (dollars),"1,391.53",,"1,353.87",,"1,489.35",,0
Men,"19,601,843",100.0,"13,644,248",100.0,"5,957,595",100.0,1
Less than 300.00,"334,337",1.7,"224,566",1.6,"109,771",1.8,0
300.00–349.90,"136,101",0.7,"100,375",0.7,"35,726",0.6,0
350.00–399.90,"140,508",0.7,"104,242",0.8,"36,266",0.6,0
400.00–449.90,"142,972",0.7,"103,441",0.8,"39,531",0.7,0
450.00–499.90,"134,964",0.7,"99,034",0.7,"35,930",0.6,0
500.00–549.90,"129,440",0.7,"94,751",0.7,"34,689",0.6,0
550.00–599.90,"130,232",0.7,"94,384",0.7,"35,848",0.6,0
600.00–649.90,"154,280",0.8,"106,584",0.8,"47,696",0.8,0
650.00–699.90,"166,477",0.8,"112,802",0.8,"53,675",0.9,0
700.00–749.90,"213,616",1.1,"148,287",1.1,"65,329",1.1,0
750.00–799.90,"264,959",1.4,"191,453",1.4,"73,506",1.2,0
800.00–849.90,"267,601",1.4,"192,107",1.4,"75,494",1.3,0
850.00–899.90,"272,731",1.4,"193,798",1.4,"78,933",1.3,0
900.00–949.90,"273,419",1.4,"193,806",1.4,"79,613",1.3,0
950.00–999.90,"279,925",1.4,"198,315",1.5,"81,610",1.4,0
"1,000.00–1,049.90","288,811",1.5,"204,576",1.5,"84,235",1.4,0
"1,050.00–1,099.90","303,060",1.5,"213,365",1.6,"89,695",1.5,0
"1,100.00–1,149.90","313,494",1.6,"222,306",1.6,"91,188",1.5,0
"1,150.00–1,199.90","329,211",1.7,"233,938",1.7,"95,273",1.6,0
"1,200.00–1,249.90","348,620",1.8,"248,024",1.8,"100,596",1.7,0
