Census division and state or area,2000,2010,2013,Covered admissions a,Program payments (thousands of dollars),Program payments per admission (dollars) b,Covered admissions a.1,Program payments (thousands of dollars).1,Program payments per admission (dollars) b.1,Covered admissions a.2,Program payments (thousands of dollars).2,Program payments per admission (dollars) b.2
Total,,,,,,,,,,,,
All areas,1936127,10651274,5511,2542541,27454045,10808.0,2477660.0,28114051.0,11357.0,,,
United States,1932134,10635515,5514,2540694,27439911,10811.0,2475867.0,28098565.0,11359.0,,,
New England,137383,849428,6194,175964,1953174,11105.0,168187.0,1867241.0,11109.0,,,
Connecticut,34452,254218,7387,48443,540283,11157.0,43930.0,507787.0,11564.0,,,
Maine,13391,66702,4983,15774,156059,9899.0,15474.0,146052.0,9447.0,,,
Massachusetts,64946,389016,6003,80521,905645,11254.0,77960.0,854963.0,10973.0,,,
New Hampshire,10243,59904,5859,14791,171224,11578.0,14910.0,180067.0,12082.0,,,
Rhode Island,9452,54095,5757,9947,107017,10765.0,9137.0,97643.0,10692.0,,,
Vermont,4899,25492,5207,6488,72946,11248.0,6776.0,80729.0,11932.0,,,
Middle Atlantic,290974,1937835,6677,380134,4171432,10982.0,358068.0,4367074.0,12203.0,,,
New Jersey,68638,412488,6014,113972,1280984,11243.0,107023.0,1297343.0,12125.0,,,
New York,110292,931412,8465,147187,1687582,11472.0,139181.0,1898772.0,13651.0,,,
Pennsylvania,112044,593935,5322,118975,1202866,10124.0,111864.0,1170960.0,10477.0,,,
East North Central,374369,2014281,5382,481136,5126375,10669.0,458201.0,5136036.0,11217.0,,,
Illinois,104203,515307,4946,147185,1559820,10603.0,140232.0,1668184.0,11903.0,,,
Indiana,59020,330466,5600,69921,811368,11611.0,68077.0,821591.0,12075.0,,,
Michigan,57347,374014,6526,93831,995036,10646.0,89669.0,954048.0,10651.0,,,
Ohio,107475,555817,5173,122318,1233107,10089.0,114418.0,1182137.0,10339.0,,,
Wisconsin,46324,238678,5153,47881,527044,11022.0,45805.0,510076.0,11147.0,,,
West North Central,190486,756598,3973,219843,2015228,9177.0,211989.0,2072038.0,9787.0,,,
Iowa,33702,110449,3277,38254,319680,8368.0,36739.0,348343.0,9496.0,,,
Kansas,27334,99927,3657,32862,320051,9753.0,32587.0,340685.0,10474.0,,,
Minnesota,42888,199933,4662,44978,422675,9408.0,45147.0,439989.0,9758.0,,,
Missouri,50515,216975,4297,62488,564750,9049.0,58033.0,536451.0,9255.0,,,
Nebraska,18766,71141,3793,22604,222826,9863.0,22071.0,240135.0,10894.0,,,
North Dakota,7790,23998,3081,8396,67273,8019.0,7673.0,68911.0,8988.0,,,
South Dakota,9491,34175,3603,10261,97973,9551.0,9739.0,97526.0,10025.0,,,
South Atlantic,351271,1962427,5597,501914,5359990,10685.0,506310.0,5398524.0,10669.0,,,
Delaware,4938,31158,6319,9137,111129,12163.0,9779.0,118375.0,12110.0,,,
District of Columbia,3745,23113,6175,5216,61576,11812.0,5197.0,65594.0,12626.0,,,
Florida,139057,813328,5866,187538,2156069,11501.0,183850.0,2051823.0,11166.0,,,
Georgia,36847,195450,5309,52699,528536,10039.0,52787.0,542492.0,10286.0,,,
Maryland,38562,194644,5065,56562,585864,10360.0,57702.0,631890.0,10953.0,,,
North Carolina,50008,270927,5422,73593,753582,10249.0,77623.0,782491.0,10091.0,,,
South Carolina,24069,130669,5430,34373,360369,10488.0,35406.0,374710.0,10590.0,,,
Virginia,36536,217418,5952,64246,634720,9886.0,66252.0,664995.0,10043.0,,,
West Virginia,17509,85720,4897,18550,168144,9080.0,17714.0,166153.0,9387.0,,,
East South Central,131017,665240,5081,177560,1758671,9911.0,175565.0,1735329.0,9892.0,,,
Alabama,29268,164159,5614,41831,371952,8899.0,41962.0,365300.0,8713.0,,,
Kentucky,35891,167196,4659,47157,450243,9552.0,45908.0,435548.0,9497.0,,,
Mississippi,20560,95372,4648,30670,332958,10865.0,31185.0,351709.0,11285.0,,,
Tennessee,45298,238514,5267,57902,603518,10428.0,56510.0,582771.0,10320.0,,,
West South Central,183161,869345,4757,255317,2555424,10019.0,242395.0,2673668.0,11045.0,,,
Arkansas,22862,83236,3644,29669,245575,8289.0,26981.0,256912.0,9536.0,,,
Louisiana,27165,120360,4433,35333,346586,9814.0,33298.0,354928.0,10666.0,,,
Oklahoma,26004,105867,4072,31116,270167,8697.0,31853.0,290856.0,9150.0,,,
Texas,107130,559882,5245,159199,1693097,10646.0,150263.0,1770972.0,11801.0,,,
Mountain,87157,435051,5004,105187,1128681,10743.0,108311.0,1203849.0,11133.0,,,
Arizona,20256,95244,4742,25381,252844,9977.0,26851.0,285392.0,10645.0,,,
Colorado,18993,99687,5256,26415,296144,11226.0,25905.0,295780.0,11435.0,,,
Idaho,10396,50995,4909,8767,92792,10593.0,9045.0,95237.0,10544.0,,,
Montana,9410,36201,3847,8782,80925,9219.0,8520.0,92871.0,10921.0,,,
Nevada,6348,37209,5867,11071,143694,12991.0,11698.0,148353.0,12736.0,,,
New Mexico,6130,31929,5213,9119,94673,10405.0,9654.0,103348.0,10712.0,,,
Utah,11672,65662,5627,11181,122528,10966.0,12398.0,132965.0,10735.0,,,
Wyoming,3952,18123,4586,4471,45080,10083.0,4240.0,49904.0,11773.0,,,
Pacific,186316,1145310,6174,243639,3370936,13861.0,246841.0,3644805.0,14783.0,,,
Alaska,991,6406,6477,1229,20023,16305.0,1175.0,21970.0,18714.0,,,
California,137485,875847,6395,184255,2639123,14341.0,186530.0,2852291.0,15306.0,,,
Hawaii,2173,14886,6898,3384,44348,13608.0,3346.0,48106.0,14512.0,,,
Oregon,13964,67421,4844,15143,167579,11076.0,15981.0,190464.0,11923.0,,,
Washington,31703,180749,5742,39628,499862,12634.0,39809.0,531974.0,13388.0,,,
Outlying areas c,3993,15760,3948,1847,14134,7661.0,1793.0,15487.0,8666.0,,,
SOURCE: Centers for Medicare & Medicaid Services.,"NOTES: Medicare program payments represent fee-for-service only and exclude amounts paid for managed care services. Swing-bed hospital services are included in the total use and cost of Medicare skilled nursing facility services.
          Totals do not necessarily equal the sum of rounded components.
        ",a. Includes skilled nursing facility admissions with at least one day of covered care under Medicare.,b. The denominator used to calculate the average program payment per covered admission includes only those bills with Medicare reimbursement greater than zero.,c. Includes unknown residence.,CONTACT: Maria Diacogiannis (410) 786-0178 or statistics@ssa.gov.,,,,,,,
