Monthly benefit (dollars),"Total, 60 or older",60–61,62–64,65–69,70–74,75–79,80–84,85–89,90 or older,0
Total, ,,,,,,,,,1
Number,"3,834,531","120,340","312,340","668,873","514,641","537,942","612,695","584,380","483,320",2
Percent,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2
Less than 300.00,1.8,2.5,3.0,1.6,1.7,1.9,1.8,1.7,0.9,0
300.00–349.90,0.7,0.9,0.8,0.5,0.7,0.8,0.8,0.8,0.8,0
350.00–399.90,0.8,0.9,0.8,0.6,0.7,0.8,0.8,0.9,1.2,0
400.00–449.90,0.9,1.0,1.0,0.7,0.8,0.9,0.9,1.0,1.3,0
450.00–499.90,1.1,1.2,1.1,0.8,1.1,1.2,1.1,1.1,1.2,0
500.00–549.90,1.4,1.8,1.3,1.1,1.3,1.5,1.5,1.4,1.4,0
550.00–599.90,1.6,2.5,1.8,1.3,1.5,1.7,1.6,1.6,1.6,0
600.00–649.90,1.8,2.7,2.1,1.5,1.8,1.9,1.9,1.8,1.7,0
650.00–699.90,1.9,2.8,2.3,1.6,1.9,2.1,2.0,1.9,1.9,0
700.00–749.90,2.0,2.9,2.4,1.8,1.9,2.1,2.0,2.0,2.1,0
750.00–799.90,2.2,3.1,2.6,1.9,2.1,2.3,2.2,2.1,2.3,0
800.00–849.90,2.4,3.2,2.8,2.0,2.2,2.4,2.4,2.5,2.8,0
850.00–899.90,2.6,3.4,2.8,2.2,2.2,2.5,2.6,2.7,2.9,0
900.00–949.90,2.8,3.5,3.0,2.3,2.4,2.7,2.8,2.8,3.2,0
950.00–999.90,3.0,3.7,3.2,2.5,2.5,3.0,3.1,3.3,3.7,0
"1,000.00–1,049.90",3.2,3.8,3.4,2.7,2.7,3.3,3.4,3.5,3.8,0
"1,050.00–1,099.90",3.5,3.9,3.5,2.9,2.9,3.5,3.6,3.8,4.1,0
"1,100.00–1,149.90",3.8,3.9,3.6,3.0,3.1,3.8,4.1,4.5,4.5,0
"1,150.00–1,199.90",4.2,3.8,3.7,3.2,3.4,4.1,4.6,5.2,4.9,0
"1,200.00–1,249.90",4.6,3.9,3.8,3.5,3.8,5.1,5.7,5.4,5.2,0
"1,250.00–1,299.90",4.8,3.9,3.8,3.7,4.1,5.6,5.5,5.3,5.9,0
"1,300.00–1,349.90",4.6,3.5,3.7,3.6,4.1,5.3,5.0,5.4,5.5,0
"1,350.00–1,399.90",4.5,3.5,3.6,3.7,4.1,4.8,4.8,5.5,4.6,0
"1,400.00–1,449.90",4.6,3.4,3.6,3.9,4.3,4.8,5.7,5.6,4.1,0
"1,450.00–1,499.90",4.4,4.4,4.2,4.3,4.5,4.6,5.3,4.5,3.3,0
"1,500.00–1,549.90",3.9,4.8,4.3,4.3,4.3,4.1,4.0,3.3,2.9,0
"1,550.00–1,599.90",3.5,4.5,4.2,4.2,4.1,3.5,3.1,2.9,2.8,0
"1,600.00–1,649.90",3.3,3.8,4.0,4.2,3.8,2.9,2.7,2.9,2.8,0
"1,650.00–1,699.90",3.0,3.2,3.8,4.1,3.6,2.5,2.4,2.6,2.4,0
"1,700.00–1,749.90",2.9,2.8,3.5,3.9,3.2,2.5,2.5,2.3,2.1,0
"1,750.00–1,799.90",2.4,2.3,3.0,3.4,2.8,2.2,2.1,1.8,1.9,0
"1,800.00–1,849.90",2.0,2.0,2.7,2.8,2.4,1.9,1.6,1.4,1.4,0
"1,850.00–1,899.90",1.6,1.4,2.0,2.4,2.1,1.5,1.2,1.1,1.2,0
"1,900.00–1,949.90",1.3,0.6,1.3,2.1,1.9,1.2,0.9,0.9,1.0,0
"1,950.00–1,999.90",1.1,0.2,1.0,1.9,1.7,0.9,0.7,0.6,0.9,0
"2,000.00–2,049.90",0.9,0.1,0.7,1.8,1.5,0.8,0.5,0.5,0.7,0
"2,050.00–2,099.90",0.8,0.0,0.6,1.5,1.3,0.6,0.4,0.4,0.6,0
"2,100.00–2,149.90",0.7,0.0,0.4,1.3,1.1,0.5,0.4,0.4,0.5,0
"2,150.00–2,199.90",0.6,0.0,0.2,1.1,0.9,0.4,0.3,0.3,0.5,0
"2,200.00 or more",2.6,0.0,0.4,4.2,3.5,1.9,2.1,2.4,3.5,0
Average benefit (dollars),"1,275.60","1,157.40","1,227.90","1,383.20","1,336.30","1,245.90","1,239.10","1,237.50","1,247.80",0
,,,,,,,,,"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",0
,,,,,,,,,NOTE: Totals do not necessarily equal the sum of rounded components.,0
,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.,0
