"Age, sex, and type of benefit",Nondisabled,,,,Disabled widow(er)s,,Widowed mothers and fathers,,0
,Widows,,Widowers,,,,,,0
,Number,Average monthly benefit a (dollars,Number,Average monthly benefit a (dollars,Number,Average monthly benefit a (dollars,Number,Average monthly benefit a (dollars,0
All widow(er)s,"472,689","1,032.55","44,728",783.21,"29,673",696.02,"25,319",909.70,2
 ,By age,,,,,,,,0
Under 25,. . .,. . .,. . .,. . .,. . .,. . .,623,706.45,0
25–29,. . .,. . .,. . .,. . .,. . .,. . .,"1,727",742.90,0
30–34,. . .,. . .,. . .,. . .,. . .,. . .,"2,989",782.00,0
35–39,. . .,. . .,. . .,. . .,. . .,. . .,"4,368",818.46,0
40–44,. . .,. . .,. . .,. . .,. . .,. . .,"5,310",913.95,0
45–49,. . .,. . .,. . .,. . .,. . .,. . .,"4,941",991.98,0
50–54,. . .,. . .,. . .,. . .,"13,359",685.52,"3,339","1,065.97",0
55–59,. . .,. . .,. . .,. . .,"16,162",704.01,"1,433","1,059.48",0
60–64,"142,538","1,185.23","19,444",957.40,146,769.77,508,955.12,0
60,"62,342","1,174.20","7,195",913.15,72,682.80,162,965.15,1
61,"23,200","1,222.88","4,905",936.46,33,983.69,112,928.14,1
62,"21,494","1,194.47","3,111","1,035.75",21,816.64,89,909.61,1
63,"16,331","1,165.76","1,967",975.18,13,844.35,59,982.96,1
64,"19,171","1,181.82","2,266","1,020.22",7,376.68,86,999.38,1
65–69,"105,835","1,118.41","10,714",937.72,6,744.78,81,986.65,0
65,"26,701","1,299.83","3,364","1,079.36",6,744.78,81,986.65,1
66,"40,115","1,213.14","3,919","1,056.89",. . .,. . .,. . .,. . .,1
67,"14,690",920.99,"1,343",696.05,. . .,. . .,. . .,. . .,1
68,"11,905",887.07,999,638.26,. . .,. . .,. . .,. . .,1
69,"12,424",877.75,"1,089",644.10,. . .,. . .,. . .,. . .,1
70–74,"64,603",837.15,"4,084",481.87,. . .,. . .,. . .,. . .,0
70,"12,807",840.13,968,501.66,. . .,. . .,. . .,. . .,1
71,"13,463",846.92,893,491.40,. . .,. . .,. . .,. . .,1
72,"12,876",841.54,755,473.99,. . .,. . .,. . .,. . .,1
73,"12,627",829.69,731,460.69,. . .,. . .,. . .,. . .,1
74,"12,830",826.88,737,473.41,. . .,. . .,. . .,. . .,1
75–79,"62,026",853.61,"3,785",425.49,. . .,. . .,. . .,. . .,0
75,"12,724",839.74,781,462.17,. . .,. . .,. . .,. . .,1
76,"12,663",838.30,698,425.16,. . .,. . .,. . .,. . .,1
77,"12,373",851.16,724,414.15,. . .,. . .,. . .,. . .,1
78,"12,127",862.32,803,422.71,. . .,. . .,. . .,. . .,1
79,"12,139",877.95,779,402.42,. . .,. . .,. . .,. . .,1
80 or older,"97,687",959.56,"6,701",416.45,. . .,. . .,. . .,. . .,0
 ,By sex,,,,,,,,0
Men,. . .,. . .,"44,728",783.21,"3,018",536.65,"3,131",756.84,0
Women,"472,689","1,032.55",. . .,. . .,"26,655",714.06,"22,188",931.27,0
Widow or mother,"405,218","1,025.16",. . .,. . .,"22,450",708.11,"19,722",929.14,1
Surviving divorced wife or mother,"67,471","1,076.94",. . .,. . .,"4,205",745.84,"2,466",948.31,1
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,0
"NOTES: Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",,,,,,,,,0
"Effective 2006, age is based on date of entitlement and not date of award. Entitlement can be retroactive and thus precede the date of award.",,,,,,,,,0
. . . = not applicable.,,,,,,,,,0
a. Benefits awarded before the December cost-of-living increase are converted to the December rates before averages are computed.,,,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,0
