Year,Number,Average age,"Percentage distribution, by age",,,,,,,,,,0
,,,"Total, all ages",Under 30,30–39,40–44,45–49,50–54,55–59,60–61,62–64,65 ,0
 ,Men,,,,,,,,,,,,0
1957,"148,376",59.2,100.0,. . .,. . .,. . .,. . .,17.1,28.0,17.0,33.8,4.1,0
1958,"107,003",59.0,100.0,. . .,. . .,. . .,. . .,19.7,27.5,15.2,28.9,8.7,0
1959,"146,547",58.9,100.0,. . .,. . .,. . .,. . .,21.1,27.4,14.8,28.8,7.8,0
1960,"168,466",54.5,100.0,0.8,7.0,6.5,10.5,16.7,20.0,11.8,21.3,5.4,0
1965,"186,808",53.0,100.0,1.8,8.2,7.9,11.1,17.1,25.7,14.0,13.0,1.0,0
1970,"258,072",52.1,100.0,6.7,7.6,6.5,10.1,14.7,23.5,12.3,16.1,2.6,0
1975,"408,531",51.5,100.0,7.7,8.6,6.2,9.5,15.7,23.1,12.1,14.6,2.5,0
1980,"275,185",51.2,100.0,8.3,9.7,6.0,8.4,14.7,24.6,12.3,14.2,1.8,0
1981,"244,984",50.8,100.0,8.6,10.2,6.2,8.4,14.5,24.3,13.0,13.1,1.7,0
1982,"207,453",50.9,100.0,8.4,10.4,6.3,8.4,14.1,24.6,12.9,13.6,1.2,0
1983,"217,422",50.2,100.0,9.5,11.7,6.6,8.4,13.6,23.4,12.2,13.3,1.3,0
1984,"247,833",50.0,100.0,9.2,12.8,7.1,8.7,13.4,22.6,12.2,12.7,1.3,0
1985,"274,400",50.1,100.0,8.7,13.3,7.0,9.9,14.6,23.1,12.4,10.6,0.3,0
1986,"273,700",48.7,100.0,10.7,15.3,8.1,9.4,14.3,21.3,11.1,9.5,0.3,0
1987,"265,900",49.0,100.0,9.4,16.0,8.6,9.3,13.9,20.8,10.9,11.0,0.2,0
1988,"265,700",49.2,100.0,8.4,16.0,9.7,9.0,14.6,21.3,10.5,10.2,0.2,0
1989,"268,600",49.0,100.0,8.7,16.0,9.5,10.2,14.2,20.6,9.7,10.8,0.3,0
1990,"293,300",48.1,100.0,10.9,16.9,9.4,9.5,13.5,20.5,10.3,8.8,0.1,0
1991,"322,700",47.9,100.0,9.5,17.7,10.6,11.0,14.1,18.4,9.4,9.1,0.2,0
1992,"395,600",47.8,100.0,9.5,18.5,10.8,11.0,13.0,18.6,9.8,8.7,0.2,0
1993,"391,800",47.7,100.0,9.2,18.9,10.1,11.7,14.7,18.8,8.6,7.8,0.2,0
1994,"379,300",48.4,100.0,6.8,18.4,10.8,12.7,15.4,19.3,9.0,7.6,0.1,0
1995,"368,400",48.9,100.0,7.2,16.3,10.7,11.5,15.7,20.4,8.9,9.1,0.2,0
1996,"347,100",48.7,100.0,6.9,16.2,10.8,13.2,16.2,19.9,9.3,7.5,0.1,0
1997,"311,100",49.3,100.0,6.3,14.6,10.8,13.5,16.1,21.6,8.8,8.2,0.1,0
1998,"331,400",49.2,100.0,6.3,14.3,11.1,12.4,18.3,21.6,8.1,7.8,0.2,0
1999,"338,900",49.6,100.0,6.2,13.1,11.4,12.4,18.3,21.7,8.8,8.0,0.3,0
2000,"329,800",49.6,100.0,6.8,12.9,10.7,12.7,17.7,21.0,9.1,8.8,0.2,0
2001,"364,500",49.4,100.0,7.5,13.2,9.9,12.2,17.4,22.6,9.2,7.9,0.1,0
2002,"406,336",49.4,100.0,7.8,12.0,10.3,12.7,17.5,22.5,9.2,7.9,0.1,0
2003,"421,598",49.7,100.0,7.0,11.8,10.2,12.8,17.6,22.8,9.6,7.9,0.3,0
2004,"428,672",50.0,100.0,6.8,11.3,9.9,12.8,17.6,23.4,9.6,8.2,0.4,0
2005,"444,312",50.2,100.0,6.6,10.8,9.8,13.0,17.8,23.5,8.8,8.9,0.7,0
2006,"425,285",48.4,100.0,8.2,11.2,10.1,13.1,18.2,23.6,8.4,6.8,0.4,0
2007,"428,836",49.1,100.0,8.2,10.7,9.7,12.8,18.3,23.7,8.9,7.2,0.5,0
2008,"466,966",49.2,100.0,8.4,10.3,9.3,12.7,18.6,23.4,9.5,7.0,0.7,0
2009,"521,424",49.2,100.0,8.5,10.3,8.9,12.5,19.1,23.6,9.3,7.0,0.7,0
2010,"555,999",49.5,100.0,7.8,10.0,8.6,12.4,19.5,24.2,9.4,7.4,0.7,0
2011,"540,107",50.3,100.0,6.7,9.4,7.9,11.6,19.8,25.8,9.8,8.2,0.8,0
2012,"511,370",50.5,100.0,6.3,9.3,7.7,11.2,19.7,26.6,9.9,8.4,0.9,0
2013,"459,732",50.9,100.0,6.1,8.8,7.2,10.4,19.4,27.6,10.6,8.9,1.0,0
2014,"412,855",51.3,100.0,6.0,8.2,6.6,9.4,19.0,29.0,11.2,9.4,1.0,0
 ,Women,,,,,,,,,,,,0
1957,"30,426",57.4,100.0,. . .,. . .,. . .,. . .,25.5,38.9,19.8,15.3,0.5,0
1958,"24,379",57.2,100.0,. . .,. . .,. . .,. . .,28.6,37.2,17.8,15.2,1.2,0
1959,"31,264",57.0,100.0,. . .,. . .,. . .,. . .,30.2,36.9,17.6,14.2,1.1,0
1960,"39,339",52.5,100.0,0.7,8.1,8.0,13.3,21.9,24.6,12.4,10.1,0.8,0
1965,"66,691",53.2,100.0,1.1,6.5,7.4,11.7,19.3,28.3,14.1,10.9,0.6,0
1970,"92,312",52.8,100.0,4.2,6.3,6.1,11.0,17.5,27.2,13.0,12.9,1.7,0
1975,"183,518",52.1,100.0,6.1,7.3,6.1,10.1,17.7,25.5,12.2,12.9,2.1,0
1980,"121,374",51.1,100.0,7.4,9.7,6.4,9.3,16.3,25.5,11.7,12.2,1.5,0
1981,"106,863",50.8,100.0,7.8,10.2,6.5,9.5,16.4,25.1,12.0,11.1,1.4,0
1982,"89,678",50.5,100.0,8.0,10.9,6.8,9.5,15.6,24.9,11.7,11.4,1.1,0
1983,"94,127",49.8,100.0,9.0,12.2,7.4,9.5,14.8,23.5,10.9,11.6,1.1,0
1984,"114,165",49.7,100.0,8.3,13.2,7.9,9.7,14.9,22.8,10.9,11.7,1.2,0
1985,"134,500",49.7,100.0,8.6,12.9,8.0,10.6,15.8,23.3,10.1,10.5,0.1,0
1986,"135,700",48.8,100.0,9.0,15.5,10.4,10.5,14.8,21.3,9.6,8.6,0.2,0
1987,"143,700",49.5,100.0,7.5,15.2,8.1,11.2,15.8,23.4,9.6,8.8,0.3,0
1988,"147,000",49.3,100.0,8.5,14.0,8.8,10.9,16.1,23.5,10.5,7.4,0.3,0
1989,"146,900",49.1,100.0,7.8,14.8,10.4,11.9,13.8,21.2,10.8,8.9,0.3,0
1990,"168,500",48.4,100.0,8.5,16.3,9.8,13.1,14.2,22.3,8.9,6.5,0.4,0
1991,"190,400",48.4,100.0,8.5,16.8,10.1,12.2,16.2,19.5,8.9,7.4,0.4,0
1992,"241,300",47.7,100.0,8.6,17.7,12.0,12.4,15.6,17.6,8.4,7.5,0.2,0
1993,"237,900",48.1,100.0,7.5,17.5,11.2,13.1,16.5,19.7,6.8,7.4,0.2,0
1994,"234,000",48.2,100.0,7.4,16.9,11.1,12.9,17.0,20.8,7.3,6.4,0.2,0
1995,"263,200",48.5,100.0,6.4,16.7,11.4,13.8,17.2,20.5,7.6,6.3,0.1,0
1996,"256,900",49.1,100.0,5.3,15.1,11.3,14.0,19.0,21.2,8.3,5.8,0.1,0
1997,"250,200",48.4,100.0,6.2,16.3,12.2,14.1,19.0,19.0,6.8,6.2,0.2,0
1998,"271,900",48.9,100.0,5.4,14.9,12.2,14.5,19.1,20.4,7.6,5.7,0.2,0
1999,"266,900",48.7,100.0,5.7,14.6,12.5,15.3,18.2,20.6,6.6,6.2,0.3,0
2000,"282,400",49.2,100.0,5.8,13.7,12.3,13.5,18.7,21.6,8.1,6.1,0.2,0
2001,"304,800",48.4,100.0,7.9,14.0,12.1,13.8,18.5,20.1,7.6,5.9,0.1,0
2002,"343,667",48.7,100.0,7.3,13.4,11.6,14.3,18.4,21.0,7.7,6.3,0.1,0
2003,"355,863",49.0,100.0,6.8,13.2,11.4,14.2,18.4,21.5,8.0,6.3,0.2,0
2004,"367,103",49.7,100.0,6.5,12.6,11.1,14.1,18.5,21.9,8.1,6.7,0.4,0
2005,"385,375",49.6,100.0,6.2,12.2,10.9,14.1,18.9,22.2,7.6,7.4,0.5,0
2006,"373,390",48.1,100.0,7.6,12.9,11.4,14.6,19.2,21.8,7.1,5.2,0.3,0
2007,"375,951",48.4,100.0,7.5,12.3,11.1,14.4,19.4,22.0,7.4,5.6,0.3,0
2008,"410,260",48.4,100.0,7.6,12.2,10.7,14.2,19.9,21.7,7.8,5.4,0.5,0
2009,"449,272",48.4,100.0,7.8,12.1,10.3,14.3,20.4,21.8,7.7,5.3,0.4,0
2010,"470,989",48.8,100.0,7.3,11.9,9.8,13.9,20.6,22.2,7.8,5.9,0.5,0
2011,"458,872",49.5,100.0,6.4,11.2,9.0,13.1,20.9,24.0,8.2,6.7,0.6,0
2012,"448,836",49.9,100.0,5.8,10.8,8.8,12.6,20.9,25.0,8.4,6.9,0.7,0
2013,"409,233",50.3,100.0,5.5,10.2,8.4,11.7,20.9,26.4,9.0,7.3,0.7,0
2014,"365,941",50.7,100.0,5.3,9.6,7.8,10.9,20.8,27.8,9.5,7.5,0.7,0
"SOURCE: Social Security Administration, Master Beneficiary Record. Data for 1985–2001 are based on a 1 percent sample. All other years are 100 percent data.",,,,,,,,,,,,,0
