Age and basis of entitlement,Total,,Male,,Female,,0
,Number,Average monthly benefit a (dollars,Number,Average monthly benefit a (dollars,Number,Average monthly benefit a (dollars,0
 ,Retired workers ,,,,,,0
Total,"2,771,933","1,363.30","1,432,653","1,542.82","1,339,280","1,171.26",3
62–64,"1,380,803","1,104.34","667,382","1,248.14","713,421",969.82,0
65–69,"1,317,140","1,601.17","735,784","1,782.67","581,356","1,371.44",0
70 or older,"73,990","1,961.60","29,487","2,227.18","44,503","1,785.63",0
 ,Disabled workers,,,,,,0
Total,"778,796","1,256.64","412,855","1,396.35","365,941","1,099.02",3
Under 30,"44,431",756.42,"24,921",765.56,"19,510",744.73,0
30–39,"69,253","1,049.63","34,034","1,105.25","35,219",995.88,0
40–49,"134,854","1,179.82","66,349","1,294.66","68,505","1,068.60",0
50–54,"154,584","1,244.18","78,517","1,393.32","76,067","1,090.22",0
55–59,"221,399","1,345.61","119,826","1,510.56","101,573","1,151.03",0
60 or older,"154,275","1,445.58","89,208","1,608.51","65,067","1,222.20",0
 ,Spouses,,,,,,0
Total,"428,003",550.79,"42,340",523.54,"385,663",553.78,3
 ,Spouses of retired workers,,,,,,0
Subtotal,"385,394",573.40,"38,673",541.71,"346,721",576.93,2
Entitlement based on care of children,"8,289",564.80,68,553.24,"8,221",564.89,0
Entitlement based on age,"377,105",573.59,"38,605",541.69,"338,500",577.23,0
62–64,"165,785",402.40,"6,193",306.54,"159,592",406.11,1
65–69,"192,886",737.71,"27,068",637.76,"165,818",754.03,1
70 or older,"18,434",395.90,"5,344",327.54,"13,090",423.81,1
 ,Spouses of disabled workers,,,,,,0
Subtotal,"42,609",346.28,"3,667",331.92,"38,942",347.63,2
Entitlement based on care of children,"10,075",240.20,584,189.47,"9,491",243.33,0
Entitlement based on age,"32,534",379.13,"3,083",358.90,"29,451",381.25,0
 ,Children,,,,,,0
Total,"810,075",553.30,"420,332",554.61,"389,743",551.89,3
By age, ,,,,,,0
Under age 18,"479,380",498.63,"242,566",497.97,"236,814",499.30,1
"Disabled, aged 18 or older","60,902",542.92,"35,416",541.51,"25,486",544.87,1
Students aged 18–19,"269,793",652.79,"142,350",654.38,"127,443",651.01,1
By basis of entitlement, ,,,,,,0
Children of retired workers,"134,070",606.36,"69,995",604.11,"64,075",608.82,1
Children of deceased workers,"282,492",827.62,"146,455",829.44,"136,037",825.66,1
Children of disabled workers,"393,513",338.30,"203,882",340.19,"189,631",336.26,1
 ,Widowed mothers and fathers,,,,,,0
Total,"25,319",909.70,"3,131",756.84,"22,188",931.27,3
By age, ,,,,,,0
Under 30,"2,350",733.23,158,586.04,"2,192",743.84,1
30–39,"7,357",803.65,762,675.36,"6,595",818.47,1
40–49,"10,251",951.56,"1,290",764.86,"8,961",978.44,1
50–59,"4,772","1,064.02",827,854.36,"3,945","1,107.97",1
60 or older,589,959.46,94,736.27,495,"1,001.84",1
 ,Nondisabled widow(er)s,,,,,,0
Total,"517,417","1,010.99","44,728",783.21,"472,689","1,032.55",3
By age, ,,,,,,0
60–64,"161,982","1,157.89","19,444",957.40,"142,538","1,185.23",1
65–69,"116,549","1,101.80","10,714",937.72,"105,835","1,118.41",1
70–74,"68,687",816.03,"4,084",481.87,"64,603",837.15,1
75 or older,"170,199",887.69,"10,486",419.71,"159,713",918.42,1
 ,Disabled widow(er)s,,,,,,0
Total,"29,673",696.02,"3,018",536.65,"26,655",714.06,3
By age, ,,,,,,0
50–54,"13,359",685.52,"1,284",524.42,"12,075",702.65,1
55–59,"16,162",704.01,"1,717",543.67,"14,445",723.07,1
60 or older,152,768.78,17,751.79,135,770.92,1
 ,Parents,,,,,,0
All ages,77,"1,046.68",13,"1,083.33",64,"1,039.24",0
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,0
"NOTES: Because of differences in data sources and calculation methods, statistics reported in this table may differ from those reported by the Office of the Chief Actuary.",,,,,,,0
"Effective 2006, age is based on date of entitlement and not date of award. Entitlement can be retroactive and thus precede the date of award.",,,,,,,0
a. Benefits awarded before the December cost-of-living increase are converted to the December rates before averages are computed.,,,,,,,0
b. Includes conversions from nondisabled widow(er)'s benefits to higher retired-worker benefits.,,,,,,,0
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,0
