Year,Your earnings,Maximum taxable earnings ($),Lower of columns 2 or 3,Indexing factor,Column 4 times column 5,Highest indexed earnings,0
1,2,3,4,5,6,7,0
1954, ,"3,600", , , , ,0
1955, ,"4,200", , , , ,0
1956, ,"4,200", , , , ,0
1957, ,"4,200", , , , ,0
1958, ,"4,200", , , , ,0
1959, ,"4,800", , , , ,0
1960, ,"4,800", , , , ,0
1961, ,"4,800", , , , ,0
1962, ,"4,800", , , , ,0
1963, ,"4,800", , , , ,0
1964, ,"4,800", , , , ,0
1965, ,"4,800", , , , ,0
1966, ,"6,600", , , , ,0
1967, ,"6,600", , , , ,0
1968, ,"7,800", , , , ,0
1969, ,"7,800", , , , ,0
1970, ,"7,800", , , , ,0
1971, ,"7,800", , , , ,0
1972, ,"9,000", , , , ,0
1973, ,"10,800", , , , ,0
1974, ,"13,200", , , , ,0
1975, ,"14,100", , , , ,0
1976, ,"15,300", , , , ,0
1977, ,"16,500", , , , ,0
1978, ,"17,700", , , , ,0
1979, ,"22,900", , , , ,0
1980, ,"25,900", , , , ,0
1981, ,"29,700", , , , ,0
1982, ,"32,400", , , , ,0
1983, ,"35,700", , , , ,0
1984, ,"37,800", , , , ,0
1985, ,"39,600", , , , ,0
1986, ,"42,000", , , , ,0
1987, ,"43,800", , , , ,0
1988, ,"45,000", , , , ,0
1989, ,"48,000", , , , ,0
1990, ,"51,300", , , , ,0
1991, ,"53,400", , , , ,0
1992, ,"55,500", , , , ,0
1993, ,"57,600", , , , ,0
1994, ,"60,600", , , , ,0
1995, ,"61,200", , , , ,0
1996, ,"62,700", , , , ,0
1997, ,"65,400", , , , ,0
1998, ,"68,400", , , , ,0
1999, ,"72,600", , , , ,0
2000, ,"76,200", , , , ,0
2001, ,"80,400", , , , ,0
2002, ,"84,900", , , , ,0
2003, ,"87,000", , , , ,0
2004, ,"87,900", , , , ,0
2005, ,"90,000", , , , ,0
2006, ,"94,200", , , , ,0
2007, ,"97,500", , , , ,0
2008, ,"102,000", , , , ,0
2009, ,"106,800", , , , ,0
2010, ,"106,800", , , , ,0
2011, ,"106,800", , , , ,0
2012, ,"110,100", , , , ,0
2013, ,"113,700", , , , ,0
2014, ,"117,000", , , , ,0
