Type of coverage and service,1990,1995,2000,2005,2010,2013,0
 ,Persons enrolled (fee-for-service and managed care) (thousands),,,,,,0
Hospital Insurance and/or Supplementary Medical Insurance,"3,255","4,393","5,371","6,723","8,033","8,843",0
Hospital Insurance,"3,255","4,393","5,370","6,722","8,032","8,842",1
Supplementary Medical Insurance,"2,943","3,942","4,768","5,951","7,185","7,993",1
 ,Persons enrolled (fee-for-service only) (thousands),,,,,,0
Hospital Insurance and/or Supplementary Medical Insurance,--,--,"4,907","6,286","6,619","6,871",0
Hospital Insurance,--,--,"4,907","6,285","6,619","6,870",1
Supplementary Medical Insurance,--,--,"4,304","5,514","5,772","6,021",1
 ,Persons served (thousands) ,,,,,,0
Hospital Insurance and/or Supplementary Medical Insurance,"2,390","3,333","4,096","5,436","5,939","6,255",0
Hospital Insurance,680,933,964,"1,291","1,410","1,324",1
Inpatient hospital,644,844,942,"1,255","1,362","1,263",2
Skilled nursing services,23,54,78,128,157,175,2
Home health services ,122,272,119,178,215,218,2
Hospice services,--,--,27,46,62,73,2
Supplementary Medical Insurance,"2,365","3,299","4,057","5,384","5,809","6,194",1
Physicians' and other medical services,"2,249","3,184","3,917","5,241","5,651","6,010",2
Outpatient services,"1,496","2,281","2,870","3,987","4,419","4,791",2
Home health services ,c,c,110,156,258,269,2
 ,"Persons served per 1,000 enrollees",,,,,,0
Hospital Insurance and/or Supplementary Medical Insurance,734,759,835,865,897,910,0
Hospital Insurance,209,212,196,205,213,193,1
Inpatient hospital,198,192,192,200,206,184,2
Skilled nursing services,7,12,16,20,24,25,2
Home health services ,38,62,24,28,32,32,2
Hospice services ,--,--,5,7,8,8,2
Supplementary Medical Insurance,804,837,943,976,"1,007","1,029",1
Physicians' and other medical services,764,808,910,950,979,998,2
Outpatient services,508,579,667,723,766,796,2
Home health services ,c,c,26,28,45,45,2
 ,Amount reimbursed (millions of dollars),,,,,,0
Hospital Insurance and/or Supplementary Medical Insurance,"11,239","21,024","25,773","46,550","63,434","68,385",0
Hospital Insurance,"6,694","12,752","14,114","23,399","31,553","33,120",1
Inpatient hospital,"6,346","11,079","13,156","21,091","27,668","28,786",2
Skilled nursing services,85,374,555,"1,297","2,371","2,696",2
Home health services ,264,"1,300",239,583,853,835,2
Hospice services,--,--,164,428,661,803,2
Supplementary Medical Insurance,"4,545","8,272","11,660","23,151","31,881","35,265",1
Physicians' and other medical services,"2,831","4,888","6,968","13,727","17,528","18,357",2
Outpatient services,"1,714","3,384","4,198","8,547","12,598","15,258",2
Home health services ,c,c,493,877,"1,755","1,649",2
 ,Amount reimbursed per person served (dollars),,,,,,0
Hospital Insurance and/or Supplementary Medical Insurance,"4,703","6,308","6,292","8,563","10,680","10,932",0
Hospital Insurance,"9,847","13,666","14,641","18,124","22,377","25,020",1
Inpatient hospital,"9,849","13,126","13,966","16,808","20,315","22,798",2
Skilled nursing services,"3,702","6,959","7,115","10,127","15,130","15,444",2
Home health services ,"2,156","4,777","2,008","3,280","3,975","3,829",2
Hospice services,--,--,"6,074","9,223","10,683","11,067",2
Supplementary Medical Insurance,"1,922","2,507","2,874","4,229","5,488","5,693",1
Physicians' and other medical services,"1,259","1,535","1,779","2,619","3,102","3,055",2
Outpatient services,"1,146","1,483","1,463","2,144","2,851","3,185",2
Home health services ,c,c,"4,482","5,631","6,789","6,133",2
 ,Amount reimbursed per enrollee (dollars),,,,,,0
Hospital Insurance and/or Supplementary Medical Insurance,"3,453","4,786","5,252","7,405","9,583","9,953",0
Hospital Insurance,"2,057","2,903","2,876","3,723","4,767","4,821",1
Inpatient hospital,"1,950","2,522","2,681","3,356","4,180","4,190",2
Skilled nursing services,26,85,113,206,358,392,2
Home health services ,81,296,49,93,129,121,2
Hospice services ,--,--,30,64,82,91,2
Supplementary Medical Insurance,"1,544","2,098","2,709","4,199","5,524","5,857",1
Physicians' and other medical services,962,"1,240","1,619","2,489","3,037","3,049",2
Outpatient services,582,858,975,"1,550","2,183","2,534",2
Home health services ,c,c,115,159,304,274,2
SOURCE: Centers for Medicare & Medicaid Services.,,,,,,,0
