Census division and state or area,2000,2010,2013,2014,Total,Fee for service,Managed care,Total.1,Fee for service.1,Managed care.1,Total.2,Fee for service.2,Managed care.2,Total.3,Fee for service.3,Managed care.3
Total,,,,,,,,,,,,,,,,
All areas,34247,27840,6407,39631.0,29291.0,10340,43614.0,30716.0,12897,45073.0,30961.0,14112,,,,
United States a,33540,27137,6403,38742.0,28736.0,10006,42636.0,30135.0,12500,44072.0,30373.0,13699,,,,
New England,1836,1449,387,1996.0,1595.0,401,2175.0,1707.0,468,2236.0,1737.0,499,,,,
Connecticut,457,356,101,489.0,393.0,96,525.0,395.0,130,536.0,399.0,136,,,,
Maine,180,178,2,209.0,178.0,31,231.0,182.0,49,239.0,183.0,57,,,,
Massachusetts,828,601,227,875.0,679.0,196,954.0,749.0,205,981.0,765.0,216,,,,
New Hampshire,147,145,2,183.0,167.0,16,204.0,190.0,14,212.0,195.0,17,,,,
Rhode Island,148,94,54,149.0,91.0,58,159.0,97.0,62,163.0,98.0,65,,,,
Vermont,76,76,(F),91.0,87.0,5,102.0,93.0,8,105.0,97.0,9,,,,
Middle Atlantic,5263,4078,1186,5560.0,3841.0,1720,5955.0,3961.0,1994,6092.0,3999.0,2093,,,,
New Jersey,1067,905,162,1146.0,997.0,149,1234.0,1035.0,199,1262.0,1066.0,196,,,,
New York,2334,1871,463,2499.0,1693.0,806,2687.0,1727.0,961,2751.0,1715.0,1036,,,,
Pennsylvania,1863,1302,561,1915.0,1151.0,764,2034.0,1200.0,834,2078.0,1217.0,861,,,,
East North Central,5541,4948,593,6092.0,4721.0,1370,6576.0,4733.0,1843,6757.0,4647.0,2110,,,,
Illinois,1435,1263,172,1564.0,1406.0,158,1684.0,1489.0,195,1726.0,1402.0,324,,,,
Indiana,735,703,32,827.0,684.0,143,894.0,692.0,202,920.0,703.0,217,,,,
Michigan,1201,1128,73,1344.0,1103.0,240,1457.0,1014.0,443,1499.0,995.0,504,,,,
Ohio,1478,1206,272,1586.0,1002.0,583,1703.0,1005.0,699,1749.0,1013.0,736,,,,
Wisconsin,693,649,43,771.0,526.0,246,838.0,533.0,305,863.0,535.0,328,,,,
West North Central,2518,2252,266,2753.0,2101.0,652,2958.0,2128.0,830,3039.0,2147.0,892,,,,
Iowa,426,410,16,446.0,384.0,62,472.0,402.0,70,483.0,410.0,73,,,,
Kansas,347,319,28,366.0,324.0,42,392.0,339.0,53,403.0,346.0,57,,,,
Minnesota,582,496,86,674.0,361.0,312,738.0,328.0,410,761.0,321.0,440,,,,
Missouri,736,612,124,812.0,625.0,187,873.0,642.0,231,896.0,644.0,252,,,,
Nebraska,227,217,10,240.0,211.0,29,256.0,225.0,31,263.0,232.0,31,,,,
North Dakota,93,92,1,95.0,87.0,8,99.0,85.0,15,102.0,85.0,16,,,,
South Dakota,106,106,1,119.0,109.0,10,128.0,108.0,20,132.0,109.0,23,,,,
South Atlantic,6430,5510,920,7802.0,6087.0,1715,8733.0,6503.0,2231,9076.0,6519.0,2557,,,,
