Year of entitlement,Number,Percentage distribution,Cumulative percentage a,Average monthly benefit (dollars),Unnamed: 5
Total,3834531,100.0,. . .,1275.61,
2014,261546,6.8,6.8,1331.53,
2013,271640,7.1,13.9,1334.63,
2012,253454,6.6,20.5,1342.41,
2011,234312,6.1,26.6,1339.36,
2010,213818,5.6,32.2,1337.73,
2009,199916,5.2,37.4,1341.87,
2008,180873,4.7,42.1,1350.10,
2007,166331,4.3,46.5,1340.73,
2006,151630,4.0,50.4,1327.04,
2005,142534,3.7,54.1,1315.98,
2004,134495,3.5,57.6,1311.72,
2003,130743,3.4,61.1,1301.70,
2002,123003,3.2,64.3,1284.81,
2001,116064,3.0,67.3,1269.07,
2000,111011,2.9,70.2,1260.45,
1999,104688,2.7,72.9,1243.58,
1998,98791,2.6,75.5,1230.61,
1997,92555,2.4,77.9,1217.45,
1996,88248,2.3,80.2,1209.97,
1995,83781,2.2,82.4,1205.23,
1994,79698,2.1,84.5,1192.69,
1993,74403,1.9,86.4,1183.34,
1992,70332,1.8,88.2,1167.81,
1991,64181,1.7,89.9,1149.85,
1990,59612,1.6,91.5,1134.88,
1989,53276,1.4,92.9,1119.54,
1988,48406,1.3,94.1,1101.56,
1987,43199,1.1,95.3,1086.79,
1986,37772,1.0,96.2,1070.14,
1985,32312,0.8,97.1,1053.92,
1984,27078,0.7,97.8,1035.58,
1983,22721,0.6,98.4,1017.99,
1982,17465,0.5,98.8,1009.30,
1981,13937,0.4,99.2,986.82,
1980,9817,0.3,99.5,967.27,
1979,6807,0.2,99.6,949.79,
1978,4578,0.1,99.8,936.89,
1977,2937,0.1,99.8,904.77,
1976,2338,0.1,99.9,876.81,
Before 1976,4229,0.1,100.0,849.76,
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.","NOTES: Because entitlements can be awarded retroactively, data for current and prior years are subject to revision with each annual update of this table.",Totals do not necessarily equal the sum of rounded components.,. . . = not applicable.,a. Represents those entitled in specified year or later.,CONTACT: (410) 965-0090 or statistics@ssa.gov.
