State or area,Number,Percentage distribution by dollar amount of benefit,,,,,,,,,,,Monthly benefit (dollars),
,,Total,Less than 600.00,600.00–699.90,700.00–799.90,800.00–899.90,900.00–999.90,"1,000.00–1,099.90","1,100.00–1,199.90","1,200.00–1,299.90","1,300.00–1,399.90","1,400.00 or more",Average,Median
All areas,"8,954,518",100.0,9.9,4.9,9.1,10.2,9.4,8.5,7.5,6.5,5.6,28.2,"1,165.39","1,073.00"
Alabama,"236,857",100.0,8.8,4.9,9.4,11.0,10.3,9.3,8.1,6.9,5.8,25.6,"1,145.98","1,060.00"
Alaska,"12,641",100.0,11.5,5.7,10.2,10.1,9.0,8.1,7.0,6.0,5.1,27.2,"1,147.96","1,041.00"
Arizona,"156,217",100.0,8.1,4.4,8.2,9.6,9.2,8.5,7.7,6.9,6.0,31.2,"1,208.44","1,123.90"
Arkansas,"140,453",100.0,9.2,5.1,9.8,11.2,10.5,9.7,8.7,7.2,6.0,22.7,"1,110.11","1,042.00"
California,"709,509",100.0,11.1,5.0,8.8,9.4,8.4,7.6,6.7,6.0,5.3,31.6,"1,196.73","1,095.00"
Colorado,"107,158",100.0,9.0,4.8,8.8,9.9,9.3,8.7,7.8,6.7,5.8,29.2,"1,181.95","1,094.00"
Connecticut,"81,799",100.0,9.6,4.9,8.4,9.3,8.5,7.8,7.1,6.2,5.7,32.5,"1,211.91","1,120.00"
Delaware,"27,404",100.0,8.0,4.1,7.7,9.0,8.8,8.2,7.5,6.9,6.1,33.7,"1,238.28","1,153.00"
District of Columbia,"14,732",100.0,14.2,6.1,11.4,12.7,10.1,8.7,7.7,6.4,4.8,17.8,"1,030.99",951.00
Florida,"560,856",100.0,8.7,4.7,8.8,10.3,9.6,8.8,7.9,6.9,5.9,28.4,"1,177.19","1,089.00"
Georgia,"285,394",100.0,8.2,4.6,8.7,10.3,9.8,9.0,8.3,7.3,6.4,27.5,"1,168.51","1,093.90"
Hawaii,"23,174",100.0,9.1,4.7,8.7,9.1,8.7,8.2,7.6,7.1,6.3,30.5,"1,193.02","1,116.00"
Idaho,"43,820",100.0,10.6,5.1,9.8,10.6,9.7,8.5,7.4,6.3,5.7,26.3,"1,136.85","1,048.00"
Illinois,"289,730",100.0,10.4,5.0,8.9,9.9,8.8,7.9,7.0,6.2,5.4,30.6,"1,187.85","1,088.00"
Indiana,"208,645",100.0,9.3,4.8,8.8,10.0,9.3,8.7,7.8,6.9,5.9,28.6,"1,173.60","1,089.90"
Iowa,"78,016",100.0,11.5,5.6,9.7,10.6,9.6,8.6,7.6,6.6,5.5,24.6,"1,108.99","1,033.00"
Kansas,"75,123",100.0,9.8,5.2,9.4,10.6,9.9,8.8,7.8,6.8,5.8,26.1,"1,139.74","1,058.00"
Kentucky,"208,016",100.0,10.8,5.3,9.7,10.7,9.4,8.5,7.4,6.5,5.4,26.3,"1,138.46","1,048.00"
Louisiana,"157,558",100.0,12.2,5.3,10.1,11.1,9.5,8.2,7.0,5.8,4.8,25.9,"1,125.90","1,019.90"
Maine,"59,093",100.0,10.7,5.8,10.3,11.7,10.8,9.4,8.1,6.6,5.3,21.3,"1,085.09","1,007.00"
Maryland,"130,696",100.0,9.3,4.6,8.3,9.4,9.1,8.0,7.4,6.6,5.8,31.6,"1,205.46","1,118.00"
Massachusetts,"205,642",100.0,9.8,5.1,9.3,10.4,9.5,8.5,7.6,6.6,5.6,27.7,"1,163.11","1,069.00"
Michigan,"353,522",100.0,10.2,4.8,8.7,9.6,8.6,7.6,6.6,5.9,5.2,32.7,"1,215.29","1,106.00"
Minnesota,"127,364",100.0,10.3,5.2,9.1,10.1,9.4,8.4,7.5,6.6,5.6,27.9,"1,156.84","1,068.90"
Mississippi,"132,596",100.0,9.0,5.2,9.7,11.4,11.0,9.8,8.4,6.9,5.9,22.9,"1,112.89","1,037.00"
Missouri,"222,218",100.0,10.2,5.1,9.6,10.7,9.9,8.9,7.7,6.6,5.6,25.7,"1,136.23","1,048.90"
Montana,"27,807",100.0,11.5,5.7,10.3,11.4,10.1,8.8,7.3,6.3,5.1,23.5,"1,101.51","1,010.90"
Nebraska,"42,347",100.0,10.6,5.6,9.8,11.2,10.3,9.0,7.9,6.7,5.9,23.0,"1,101.93","1,026.90"
Nevada,"64,243",100.0,7.3,3.9,7.8,9.3,9.4,8.9,7.9,7.1,6.3,32.1,"1,227.93","1,142.90"
New Hampshire,"48,091",100.0,7.4,4.0,8.4,10.2,9.6,9.3,8.1,7.5,6.4,29.1,"1,191.70","1,112.00"
New Jersey,"203,208",100.0,8.7,4.2,7.8,8.6,8.1,7.4,6.7,5.9,5.4,37.2,"1,279.54","1,176.00"
New Mexico,"64,694",100.0,11.2,5.5,10.0,11.2,9.8,8.8,7.6,6.5,5.6,23.8,"1,109.26","1,023.90"
New York,"516,900",100.0,11.7,5.2,9.0,9.5,8.4,7.4,6.5,5.7,5.0,31.6,"1,199.82","1,081.90"
North Carolina,"332,173",100.0,7.8,4.3,8.3,10.0,10.0,9.6,8.9,7.9,6.7,26.6,"1,164.83","1,100.90"
North Dakota,"14,048",100.0,12.1,5.9,10.6,11.5,10.2,8.6,7.8,5.9,5.0,22.4,"1,079.52",997.00
Ohio,"356,270",100.0,12.1,5.6,9.9,10.6,9.3,8.1,7.0,6.0,5.1,26.2,"1,126.46","1,028.90"
Oklahoma,"127,712",100.0,10.7,5.2,10.0,10.8,9.8,8.6,7.6,6.6,5.7,25.2,"1,121.83","1,038.90"
Oregon,"109,329",100.0,9.7,5.1,9.2,10.2,9.4,8.5,7.5,6.5,5.5,28.3,"1,163.87","1,074.00"
Pennsylvania,"409,608",100.0,10.4,4.9,8.9,10.0,9.2,8.3,7.3,6.4,5.7,29.0,"1,168.43","1,079.00"
Rhode Island,"37,422",100.0,10.1,5.3,9.7,10.8,9.8,8.9,7.6,6.4,5.4,26.0,"1,135.13","1,045.90"
South Carolina,"179,872",100.0,7.4,4.2,8.1,9.8,9.7,9.4,8.6,7.8,6.7,28.3,"1,182.88","1,115.90"
South Dakota,"19,250",100.0,12.0,5.6,9.8,11.5,10.2,8.6,8.1,6.5,5.5,22.0,"1,081.92","1,008.90"
Tennessee,"252,231",100.0,8.7,4.9,9.2,11.0,10.3,9.5,8.2,7.2,6.1,24.8,"1,136.63","1,060.00"
Texas,"574,012",100.0,10.5,4.8,9.4,10.6,9.6,8.6,7.6,6.7,5.7,26.5,"1,144.21","1,057.00"
Utah,"47,947",100.0,10.5,5.2,9.4,10.2,9.2,8.3,7.2,6.4,5.5,28.1,"1,161.76","1,064.90"
Vermont,"22,600",100.0,10.8,5.4,9.8,10.9,10.4,9.5,8.2,7.0,5.8,22.2,"1,096.79","1,027.00"
Virginia,"212,945",100.0,9.0,4.6,8.7,9.9,9.5,8.9,7.9,7.1,6.1,28.3,"1,173.44","1,092.90"
Washington,"179,192",100.0,9.8,4.9,9.0,10.2,9.2,8.3,7.3,6.3,5.4,29.5,"1,179.81","1,081.00"
West Virginia,"93,837",100.0,11.1,5.1,9.2,9.9,8.8,7.8,6.7,5.9,5.2,30.3,"1,181.83","1,075.40"
Wisconsin,"161,894",100.0,10.5,5.1,8.9,10.0,9.2,8.4,7.4,6.4,5.7,28.3,"1,159.15","1,073.90"
Wyoming,"13,170",100.0,10.4,5.4,9.6,10.7,9.5,8.2,6.8,6.1,5.3,28.0,"1,158.77","1,053.90"
Outlying areas, ,,,,,,,,,,,,,
American Samoa,"1,318",100.0,21.7,8.0,17.2,11.5,9.4,7.2,6.5,6.1,3.8,8.6,874.72,821.00
Guam,"1,618",100.0,15.1,5.0,11.9,11.9,10.1,8.7,6.9,6.6,5.6,18.2,"1,025.15",950.45
Northern Mariana Islands,254,100.0,28.7,11.8,14.6,14.6,11.0,7.5,3.1,2.4,2.0,4.3,776.02,769.45
Puerto Rico,"179,266",100.0,9.1,5.7,11.9,14.4,13.5,10.9,8.2,6.2,4.4,15.6,"1,036.12",963.90
U.S. Virgin Islands,"1,710",100.0,9.0,5.3,8.4,8.8,9.4,8.5,8.4,7.7,6.0,28.5,"1,180.09","1,106.40"
Foreign countries,"11,151",100.0,17.3,5.7,7.6,8.2,7.8,7.1,6.9,5.5,5.5,28.5,"1,106.42","1,048.00"
Unknown,166,100.0,9.6,6.6,6.0,9.6,9.0,6.6,9.0,5.4,9.0,28.9,"1,171.15","1,119.95"
"SOURCES: Social Security Administration, Master Beneficiary Record, 100 percent data; and U.S. Postal Service geographic data.",,,,,,,,,,,,,,
NOTE: Totals do not necessarily equal the sum of rounded components.,,,,,,,,,,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,,
