Total combined monthly benefit (dollars),Number,Percentage distribution by dollar amount of retired-worker benefit,,,,,,,,,,,,
,,Total,Less than 200.00,200.00–249.90,250.00–299.90,300.00–349.90,350.00–399.90,400.00–449.90,450.00–499.90,500.00–549.90,550.00–599.90,600.00–649.90,650.00–699.90,700.00 or more
 ,Dually entitled wives and husbands,,,,,,,,,,,,,
All,"a 3,082,71",100.0,4.4,4.4,5.3,5.6,5.8,5.7,5.8,7.1,10.7,10.3,9.1,25.8
Less than 200.00,"5,683",100.0,99.8,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
200.00–249.90,"5,831",100.0,68.1,31.8,0.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
250.00–299.90,"12,206",100.0,43.6,33.4,22.9,0.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
300.00–349.90,"20,022",100.0,30.6,25.1,28.0,16.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
350.00–399.90,"27,452",100.0,22.5,19.4,22.8,22.5,12.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .
400.00–449.90,"36,200",100.0,17.1,15.5,18.9,19.9,18.4,10.1,. . .,. . .,. . .,. . .,. . .,. . .
450.00–499.90,"47,959",100.0,13.8,13.1,15.5,16.5,17.0,15.5,8.5,. . .,. . .,. . .,. . .,. . .
500.00–549.90,"65,555",100.0,11.0,10.7,13.1,13.9,14.5,14.0,13.6,9.2,. . .,. . .,. . .,. . .
550.00–599.90,"97,239",100.0,8.4,8.7,10.4,11.3,11.4,11.3,11.9,14.7,11.9,. . .,. . .,. . .
600.00–649.90,"150,557",100.0,6.6,7.2,8.4,8.7,8.9,9.1,9.8,13.0,18.5,9.9,. . .,. . .
650.00–699.90,"246,918",100.0,5.2,5.8,6.9,7.3,7.7,7.7,8.4,11.7,16.1,15.4,7.8,. . .
700.00 or more,"2,367,092",100.0,2.4,2.8,3.6,4.2,4.5,4.8,5.0,6.3,10.6,11.2,11.1,33.6
 ,Dually entitled widow(er)s,,,,,,,,,,,,,
All,"b 3,893,23",100.0,2.7,2.8,3.4,3.4,3.5,3.3,4.0,5.6,6.3,6.4,6.3,52.2
Less than 200.00,"1,719",100.0,99.8,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
200.00–249.90,"1,735",100.0,70.1,29.6,0.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
250.00–299.90,"2,648",100.0,50.9,28.5,20.4,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
300.00–349.90,"3,727",100.0,37.2,23.4,24.5,14.7,0.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .
350.00–399.90,"5,256",100.0,28.1,19.0,20.8,18.9,13.1,0.1,. . .,. . .,. . .,. . .,. . .,. . .
400.00–449.90,"6,431",100.0,22.0,16.6,17.3,17.3,17.4,9.3,. . .,. . .,. . .,. . .,. . .,. . .
450.00–499.90,"7,618",100.0,18.7,13.8,15.9,15.0,15.1,13.3,8.2,. . .,. . .,. . .,. . .,. . .
500.00–549.90,"11,866",100.0,15.8,11.7,13.5,12.7,13.1,11.7,12.8,8.6,. . .,. . .,. . .,. . .
550.00–599.90,"16,268",100.0,13.7,10.1,11.1,10.5,10.8,10.4,11.6,14.3,7.5,. . .,. . .,. . .
600.00–649.90,"22,170",100.0,10.2,8.2,9.6,9.6,9.8,9.1,10.6,12.7,13.2,6.9,. . .,. . .
650.00–699.90,"28,117",100.0,8.6,7.2,8.1,8.2,8.3,8.2,9.2,12.0,12.2,11.9,6.0,. . .
700.00–749.90,"33,706",100.0,7.0,5.8,7.1,7.2,7.2,6.8,8.1,10.9,11.6,11.5,11.1,5.7
750.00–799.90,"39,187",100.0,6.0,5.1,6.1,5.9,6.4,6.1,7.4,9.8,10.9,11.3,10.5,14.4
800.00–849.90,"47,157",100.0,5.2,4.6,5.6,5.5,5.7,5.6,6.8,8.8,9.9,10.4,10.2,21.9
850.00–899.90,"54,935",100.0,4.5,4.0,4.9,5.1,5.2,5.0,5.9,8.3,9.1,9.7,9.7,28.6
900.00–949.90,"62,857",100.0,3.8,3.6,4.3,4.6,4.8,4.7,5.5,7.6,9.0,9.1,9.4,33.6
950.00–999.90,"73,931",100.0,3.6,3.4,4.1,4.4,4.4,4.4,5.0,6.8,7.9,8.6,8.8,38.6
