Item,2007,2008,2009,2010,2011,2012,2013,2014,0
 ,Accuracy rates (percent),,,,,,,,0
OASI payments,,,,,,,,,0
Payment review/stewardship results,,,,,,,,,1
Excess payments,99.9,99.8,99.8,99.7,99.9,99.9,99.8,99.5,2
Underpayments,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,2
SSI payments,,,,,,,,,0
Payment review/stewardship results,,,,,,,,,1
Excess payments,90.9,89.7,91.6,93.3,92.7,93.7,92.4,93.0,2
Underpayments,98.5,98.3,98.4,97.6,98.2,98.2,98.3,98.5,2
Disability Insurance benefits ,,,,,,,,,0
Initial claims,93.8,94.4,94.9,96.8,95.5,96.3,96.0,95.8,1
Allowances,96.5,97.7,98.0,98.6,98.5,98.2,97.6,97.8,2
Denials,92.3,92.5,93.0,95.9,94.0,95.4,95.2,94.9,2
Reconsideration of denials,91.9,92.1,94.3,95.9,95.3,95.1,95.3,94.7,1
Reversals,97.5,97.8,97.9,98.3,97.9,98.4,97.3,97.0,2
Affirmations,91.0,91.2,93.7,95.6,94.9,94.6,95.0,94.4,2
 ,National 800 number network (1-800-772-1213) ,,,,,,,,0
Network calls received (millions),79.9,82.6,85.8,82.2,76.8,79.0,84.7,81.0,0
Average wait for live agent service (minutes),4.2,5.4,4.1,3.4,3.0,4.9,10.3,22.1,0
,,,,,,,,"SOURCES: Social Security Administration, Office of Quality Performance and Office of Central Operations, Office of Telephone Services.",0
,,,,,,,,a. Represents cases free of decisional and documentation errors.,0
,,,,,,,,b. Data for 2007 may not match those in previous editions of this table because of the introduction in 2008 of new measurements of call volume and processing time.,0
,,,,,,,,"CONTACT: Shane Rossman (410) 965-1692, Roy Harper (410) 966-5997, or statistics@ssa.gov.",0
