Sex,"Total, all ages ",Under 20,20–29,30–39,40–49,50–59,60–61,62–64,65–69,70 or older
 ,Social Security (OASDI) taxable earnings (in millions of dollars),,,,,,,,,
All workers,"5,936,714","38,315","769,239","1,325,131","1,539,371","1,521,986","223,226","234,275","191,552","93,597"
Men,"3,533,518","20,221","431,753","783,999","930,096","906,999","134,375","140,157","121,550","64,356"
Women,"2,403,196","18,095","337,487","541,132","609,275","614,988","88,851","94,118","70,001","29,241"
 ,"Percentage distribution, by age",,,,,,,,,
All workers,100,1,13,22,26,26,4,4,3,2
Men,100,1,12,22,26,26,4,4,3,2
Women,100,1,14,23,25,26,4,4,3,1
 ,"Percentage distribution, by sex",,,,,,,,,
All workers,100,100,100,100,100,100,100,100,100,100
Men,60,53,56,59,60,60,60,60,63,69
Women,40,47,44,41,40,40,40,40,37,31
,,,,,,,,,,"SOURCE: Social Security Administration, Master Earnings File, 1 percent sample."
,,,,,,,,,,NOTES: Includes Social Security taxable wages as reported by employers and Social Security taxable self-employment income as reported by self-employed individuals.
,,,,,,,,,,Totals do not necessarily equal the sum of rounded components.
,,,,,,,,,,a. Includes workers of unknown age.
,,,,,,,,,,CONTACT: (410) 965-0090 or statistics@ssa.gov.
