Year,"Total, all ages",Under 20,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–61,62–64,65–69,70–71,72 or older
 ,All workers,,,,,,,,,,,,,,
1937,761,170,570,829,998,"1,061","1,126","1,121","1,177","1,020","1,010",927,a 51,. . .,. . .
1940,746,140,498,764,934,"1,041","1,064","1,110","1,071","1,018",978,963,874,924,788
1945,"1,159",288,669,818,"1,383","1,617","1,842","2,026","1,874","1,821","1,782","1,739","1,482","1,341","1,307"
1950,"1,926",385,"1,376","1,971","2,312","2,456","2,473","2,517","2,442","2,394","2,492","2,252","1,973","1,916","1,589"
1955,"2,438",443,"1,601","2,689","3,173","3,233","3,196","3,068","2,966","2,728","2,525","2,427","1,736","1,279","1,149"
1960,"2,894",561,"1,917","3,138","3,738","3,903","3,891","3,785","3,643","3,452","3,166","3,052","1,590","1,140","1,252"
1965,"3,414",613,"2,326","3,919","4,540","4,747","4,756","4,665","4,526","4,304","4,087","3,767","1,791","1,171","1,326"
1970,"4,375",810,"2,988","5,334","6,156","6,339","6,357","6,292","6,105","5,831","5,473","5,047","2,099","1,578","1,683"
1975,"5,803","1,070","4,187","6,795","8,249","8,629","8,725","8,810","8,748","8,299","7,779","6,620","2,524","2,105","2,137"
1980,"8,549","1,646","6,205","9,593","11,510","12,540","12,690","12,784","12,794","12,309","11,606","9,651","4,451","3,306","3,140"
1985,"11,265","1,647","7,136","12,453","14,886","16,458","16,984","16,849","16,528","15,831","14,724","11,907","5,974","4,330","3,729"
1990,"13,898","1,937","8,054","14,687","17,482","19,296","20,664","20,958","20,157","18,584","17,163","13,021","6,812","5,375","4,536"
1995,"16,108","2,076","8,392","16,134","19,654","21,629","23,468","24,690","24,090","21,320","19,136","12,961","7,551","5,816","4,681"
1996,"16,712","2,140","8,562","16,664","20,327","22,311","24,116","25,317","25,176","22,083","19,718","13,408","7,692","6,217","4,861"
1997,"17,562","2,310","9,074","17,596","21,261","23,279","24,979","26,264","26,415","23,398","20,514","14,284","8,056","6,387","5,033"
1998,"18,513","2,515","9,763","18,666","22,453","24,345","25,971","27,390","27,609","24,688","21,372","15,229","8,431","6,747","5,302"
1999,"19,265","2,610","10,163","19,563","23,469","25,173","26,788","28,315","28,643","25,577","22,151","15,902","8,935","6,780","5,271"
2000,"20,225","2,716","10,721","20,597","24,817","26,385","27,814","29,403","29,529","26,698","22,884","16,499","9,465","7,295","5,376"
2001,"20,905","2,718","10,703","20,981","25,601","27,228","28,544","30,128","30,414","27,685","23,679","17,736","10,556","7,861","5,743"
2002,"21,193","2,677","10,353","20,945","25,904","27,724","28,992","30,338","30,998","28,380","24,470","18,563","11,158","8,192","5,911"
2003,"21,610","2,633","10,320","21,044","26,464","28,331","29,484","30,910","31,562","29,126","25,452","19,302","11,875","8,698","5,965"
2004,"22,335","2,715","10,689","21,496","27,312","29,513","30,533","31,931","32,730","30,376","26,463","20,740","12,585","9,173","6,313"
2005,"22,985","2,758","11,009","22,031","27,926","30,521","31,377","32,639","33,682","31,463","27,702","21,935","13,321","9,638","6,630"
2006,"23,857","2,824","11,447","22,867","28,837","31,762","32,718","33,807","34,812","32,763","29,165","23,320","14,012","10,174","6,957"
2007,"24,595","2,914","11,671","23,512","29,720","32,771","33,745","34,906","35,714","34,049","30,294","24,668","14,727","10,927","7,234"
2008,"25,206","2,944","11,546","23,957","30,253","33,538","34,472","35,566","36,314","34,937","31,321","26,081","15,455","11,493","7,482"
2009,"24,807","2,775","10,562","22,963","29,422","32,957","34,111","34,822","35,688","34,461","31,303","26,347","15,980","11,284","7,527"
2010,"24,921","2,713","10,407","22,530","29,406","33,194","34,853","35,349","36,000","35,013","31,938","26,988","16,404","11,461","7,649"
2011 ,"25,510","2,778","10,635","22,753","29,952","33,780","35,836","36,368","36,849","36,118","33,444","28,452","17,876","12,396","7,999"
2012 ,"26,098","2,837","10,980","23,196","30,446","34,742","36,771","37,257","37,724","37,030","34,726","29,845","19,500","13,037","8,485"
2013 ,"26,605","2,920","11,237","23,582","31,035","35,453","37,690","38,279","38,680","37,800","35,828","31,018","20,277","13,511","8,761"
 ,Men,,,,,,,,,,,,,,
1937,945,174,647,"1,117","1,202","1,286","1,338","1,308","1,232","1,137","1,131","1,008",a 56,. . .,. . .
1940,935,147,550,928,"1,143","1,289","1,306","1,320","1,238","1,153","1,088","1,058",950,917,899
