Country,Effective dates,0
Australia,2002,0
Austria,"1991, 1997",0
Belgium,1984,0
Canada,"1984, 1997",0
Chile,2001,0
Czech Republic,2009,0
Denmark,2008,0
Finland,1992,0
France,1988,0
Germany,"1979, 1988, 1996",0
Greece,1994,0
Ireland,1993,0
Italy,"1978, 1986",0
Japan,2005,0
Korea (South),2001,0
Luxembourg,1993,0
Netherlands,"1990, 2003",0
Norway,"1984, 2003",0
Poland,2009,0
Portugal,1989,0
Slovak Republic,2012,0
Spain,1988,0
Sweden,"1987, 2007",0
Switzerland,"1980, 1989",0
United Kingdom,"1985, 1997",0
 ,,0
