Year ,Average primary insurance amount for retired workers (dollars),,,Average monthly benefit (dollars),,,,,,,0
,,Retired workers,,,Disabled workers,,,Non-disabled widows,,,0
,All,Men,Women,All,Men,Women,All,,Men,Women,0
1940,22.71,23.26,18.38,22.71,23.26,18.38,. . .,. . .,. . .,20.36,0
1945,25.11,25.71,19.99,25.11,25.71,19.99,. . .,. . .,. . .,20.17,0
1950 (Jan.–Aug.),29.03,30.16,22.98,29.03,30.16,22.98,. . .,. . .,. . .,21.65,0
1950 (Sept.–Dec.),33.24,35.32,26.85,33.24,35.32,26.85,. . .,. . .,. . .,36.89,0
1955,69.74,75.86,56.05,69.74,75.86,56.05,. . .,. . .,. . .,49.68,0
1960,83.87,92.03,69.23,81.73,92.03,63.26,91.16,94.02,78.91,62.12,0
1965 (Jan.–Aug.),88.57,96.56,74.99,82.69,90.89,68.78,93.26,97.89,80.27,73.81,0
1965 (Sept.–Dec.),99.36,108.79,82.34,89.20,99.90,71.26,101.30,106.51,86.75,75.37,0
1970,133.94,146.99,113.69,123.82,136.80,103.67,139.79,148.39,115.74,106.95,0
1975 (Jan.–May),216.56,242.76,176.76,196.42,220.35,160.50,220.60,241.48,175.27,185.34,0
1975 (June–Dec.),235.13,264.67,191.56,213.68,241.05,173.31,243.47,266.08,192.13,198.88,0
1980 (Jan.–May),353.80,411.70,270.50,321.10,374.00,244.90,352.10,388.80,269.70,277.50,0
1980 (June–Dec.),396.30,465.50,301.00,359.80,422.90,272.90,396.50,437.90,301.00,312.80,0
1981 (Jan.–May),400.10,467.50,302.60,363.60,424.20,276.00,389.80,431.40,295.00,313.00,0
1981 (June–Dec.),438.80,514.50,332.60,400.10,468.00,304.80,425.60,471.30,320.70,346.30,0
1982 (Jan.–May),425.60,504.20,315.10,388.40,457.50,291.40,416.90,462.40,312.70,350.80,0
1982 (June–Dec.),447.10,532.70,328.50,408.60,483.00,305.50,441.10,489.50,328.00,375.30,0
1983 (Jan.–Nov.),448.00,531.60,330.00,408.20,480.30,306.50,432.40,480.30,317.90,385.10,0
1983 (Dec.),451.20,546.40,325.50,410.20,491.80,302.50,445.30,496.80,333.20,400.50,0
1984 (Jan.–Nov.),457.10,544.40,335.60,414.70,489.40,310.90,443.00,494.00,332.20,406.80,0
1984 (Dec.),471.00,565.70,343.00,429.50,511.30,318.90,461.10,516.50,342.90,428.00,0
1985 (Jan.–Nov.),475.70,566.20,348.00,432.00,509.60,322.20,459.20,514.00,345.00,431.10,0
1985 (Dec.),487.60,588.30,352.00,443.10,530.00,326.10,477.60,535.90,357.20,436.90,0
1986 (Jan.–Nov.),500.30,596.90,363.50,453.10,536.00,335.70,471.50,527.60,358.20,452.10,0
1986 (Dec.),504.60,611.00,361.70,456.90,548.40,334.00,489.00,546.90,369.60,446.20,0
1987 (Jan.–Nov.),516.80,618.90,374.10,466.10,553.60,343.90,487.00,546.80,368.90,462.00,0
1987 (Dec.),536.90,648.80,386.80,484.00,580.00,355.20,517.10,583.40,391.80,477.40,0
1988 (Jan.–Nov.),540.70,648.60,390.40,487.80,580.30,359.00,517.20,581.90,392.60,488.80,0
